06年10月 1日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年10月 1日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.5,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.1,,,,,■ 7R  芝1500m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.9,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,すずらん賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｆフライングアップル, 45,藤田伸,, 59,*-19,* 19, 2,  2.6,①①①, 1, 1,Ｃマイネルマルス, 56,山口竜,, 56,  -1,* -6, 3,  6.4,⑤③④, 1, 3,Ｎキタサンメッセｰジ, 42,小島太,, 85,* 12,   9,10, 62.0,①①①,10, 2,Ｂクｰヴェルチュｰル, 66,塚田祥, 0.0, 73,  10,   3, 1,  1.5, ④③
 2, 6,Ｂトｰセンクラウン, 55,大野拓, 0.1, 56,*-21,* 17, 5, 13.7,②②②, 2, 4,Ｂヤマニンリュクス, 57,藤田伸, 0.1, 55,*  0,* -8, 2,  3.5,⑤③②, 2,10,Ｂエアコムロｰ, 67,川島信, 0.5, 78,   5,* 15, 1,  3.0,⑩⑩⑥, 1, 3,Ａベリｰベリナイス, 71,菊沢隆,, 71,* 12,  -4, 3,  6.2, ①①
 3, 3,Ａヒラボクロイヤル, 58,武幸四, 0.1, 61,*-20,* 20, 1,  2.4,③④③, 3,11,Ｅグランドタイガｰ, 50,大野拓, 0.6, 50,*  0, -14, 5, 24.3,②②②, 3, 9,Ｃプレシャスレディｰ, 64,小林徹, 0.5, 78,   8,  10, 9, 35.8,⑧⑥④, 2, 8,Ｃバクシンヒロイン, 61,本田優, 0.3, 62,   1,*  5, 2,  6.2, ⑥⑥
 4, 4,Ｄグランメルヴィｰユ, 48,五十嵐, 1.0, 43, -23,  13, 3,  6.9,⑤⑧⑧, 4, 3,Ｆマリンブルｰ, 49,四位洋, 1.0, 48,  -1, -15, 4,  8.0,④③④, 4, 6,Ｅニシノツキカゲ, 63,大野拓, 1.1, 70,* 11,  -6, 2,  5.1,③②②, 3,11,Ｆタカラタロウ, 49,川島雅, 0.5, 58,  -3,*  6,10, 83.4, ⑨⑦
 5, 5,Ｃマイネルドナｰル, 51,柴山雄, 1.3, 42, -26,  14, 8, 45.4,⑨⑫⑨, 5, 9,Ｈトｰアキンボシ, 44,服部茂, 1.3, 45,  -2, -15,11,211.4,⑧⑦④, 5, 2,Ｊホトダｰ, 58,塚田祥, 1.1, 65,   3,   6,13,114.3,⑩⑪⑨, 4, 7, モエレスプライト,---,五十嵐, 0.7, 56,  -2,   2, 7, 46.1, ⑧⑩
 6, 2,Ｈイｰガデザイア, 44,川島信, 1.5, 31, -23,   5, 7, 35.5,⑦⑧⑥, 6, 6,Ｇマイティマイン, 49,本田優, 1.4, 45,  -4, -13, 8, 49.0,⑫⑪⑦, 6, 8,Ａセトノゼディタブ, 70,古川吉, 1.2, 70,  10,  -3, 3,  5.6,⑤④④, 5, 4,Ｄトウカイファイン, 60,柴山雄, 0.9, 59,* 11, -13, 4, 12.2, ②②
 7,10,Ｅドリｰムサンデｰ, 45,本田優, 1.7, 30, -22,  -1, 4, 10.8,⑤⑥⑤, 7, 5,Ｋスプリングシャモニ, 39,川島信, 1.5, 43,  -2, -17,10,124.4,⑦⑦⑦, 7, 7,Ｋカブキメｰク, 56,武幸四, 1.3, 64,   1,   9, 8, 21.3,⑬⑬⑪, 6, 6,Ｇリバｰムｰン, 32,佐々木, 1.0, 51,  -3,  -1, 9, 67.0, ⑨⑦
 8,14,Ｎノボスコｰピオ, -7,菊沢隆, 1.8, 31, -27,   8,13,264.7,⑬⑭⑭, 8, 2,Ａロｰランラムズ, 63,武幸四, 1.7, 43,*  1, -24, 1,  2.0,②①①, 8,12,Ｇタイキデスティニｰ, 62,柴山雄, 1.4, 64,  -2,* 12, 7, 19.4,⑭⑭⑨, 7, 5, キｰプザチェンジ,---,服部茂, 1.3, 47,   1, -10,11,237.4, ⑥⑦
