06年 6月11日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 6月11日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.2,,,,,■ 4R  芝2400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.9,,,,,■ 7R  芝1400m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.0,,,,,■10R  ダ2100m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,伊勢佐木特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｂクレヨンルｰジュ, 55,藤田伸,, 59,* -2,* -1, 2,  3.0, ②②, 1,12,Ａジュンノホｰプ, 60,蓑島靖,, 66,*  0,*  5, 2,  4.1,⑤④③, 1,11,Ｃスピｰドタッチ, 70,丹内祐,, 70,  10,* -1, 4,  9.0, ⑦⑥, 1,10,Ａイエス, 78,柴田善,, 76,   9,   5, 1,  3.7,⑥⑤⑤
 2,10,Ａデアリングワｰルド, 64,内田博, 0.4, 56,* -1,  -6, 1,  2.1, ①①, 2,14,Ｍレイトスプリング, 36,藤田伸, 0.1, 65,   0,*  5, 5, 14.8,③④⑤, 2,15,Ｅコアレスキャスト, 61,小林淳, 0.2, 68,   9,*  1, 3,  6.4, ⑨⑨, 2, 4,Ｅウインカｰディナル, 74,四位洋, 0.1, 76,   5,* 16, 4,  7.0,⑮⑭⑬
 3, 1,Ｅネイチャｰガイド, 51,塚田祥, 0.4, 52,  -5,  -4, 5, 24.0, ④④, 3,15,Ｅタｰキｰ, 48,中舘英, 0.2, 63,*  1,  -1, 1,  3.6,②②②, 3, 9,Ｐビッグユニット, 42,吉田豊, 0.2, 74,* 17, -10, 9, 35.2, ①①, 3, 2,Ｌピオｰネ, 71,横山典, 0.2, 77,* 11,   1, 5, 18.5,②②①
 4,16,Ｆフジファレノプシス, 45,江田照, 0.5, 52,  -6,* -1, 6, 30.2, ⑩⑦, 4,17,Ｊロイバｰブリング, 41,小野次, 0.6, 59,*  1,  -7, 3,  4.2,①①①, 4,12,Ａトレノジュビリｰ, 88,藤田伸, 1.0, 61,* 15, -19, 1,  2.3, ②②, 4,14,Ｃフミノブルｰスカイ, 76,藤岡佑, 0.3, 74,   8,   5, 3,  4.5,⑨⑨⑥
 5, 2, プレゼンスウｰマン,---,田中勝, 1.2, 43, -14,*  2, 9,123.4, ⑭⑭, 5, 7,Ｂヨシウォｰリア, 51,木幡初, 0.9, 56,  -1,  -4, 7, 15.8,⑬⑩⑦, 5,10,Ｈシアトルナカヤマ, 59,塚田祥, 1.1, 54,  11, -19,11, 57.9, ⑥⑥, 5,13,Ｈロングセンチュリｰ, 72,田中勝, 0.4, 71,   8,   0,15,127.3,③③③
 5,15,Ｇベルモントアダマス, 43,柴田善, 1.2, 47,  -4, -10, 4, 23.5, ⑥④, 6, 8,Ｋラヴリｰビコｰ, 40,北村宏, 1.4, 51,  -1, -11,15,133.6,⑥⑦⑦, 6, 2,Ｆウイッチ, 61,藤岡佑, 1.1, 57,   9, -13,10, 41.5, ⑨⑨, 6, 3,Ｆダブルブラザｰ, 73,小林淳, 0.5, 72,*  9,  -1, 6, 19.9,④③③
 7, 5,Ｋマチカネキリツボ, 31,梶晃啓, 1.2, 47,  -4, -10,11,136.6, ④④, 7, 5,Ｆロットバルト, 48,丹内祐, 1.5, 48,  -5,  -7, 6, 15.6,⑨⑩⑪, 7, 5,Ｂヒシカｰド, 81,田中勝, 1.3, 56,  14, -22, 2,  4.5, ③③, 7,12,Ｂタマモアｰチスト, 78,内田博, 0.9, 71,   6,   6, 2,  3.9,⑮⑭⑫
 8,12,Ｃインザリピｰト, 53,吉田豊, 1.5, 42,  -8,  -8, 3,  4.1, ⑫⑪, 8, 3,Ｄマイネルオルペウス, 49,内田博, 2.3, 44,  -2, -20, 4,  8.6,⑧⑧⑩, 8,16,Ｉジェルクルキバ, 59,勝浦正, 1.7, 51,  14, -28,13, 62.5, ③③, 8,15,Ｇテンカタイヘイ, 72,木幡初, 1.1, 68,   7,  -1, 8, 24.7,⑪⑪⑨
