06年 3月18日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 3月18日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.8,,,,,■ 4R  芝3000m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1400m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3.5,,,,,■10R  芝2000m 4歳上1600万 ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,但馬ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａストラディヴァリオ, 60,岩田康,, 62,*-10,*  9, 1,  1.9,③⑤②, 1, 4, バンジョｰブルｰ,,植野貴,,,,, 2,  3.1,⑤③②, 1,12,Ｂセイウンワキタツ, 72,武豊  ,, 70,* -5,* 10, 2,  2.7, ①①, 1, 7,Ｊサクラゲイル, 75,佐藤哲,, 69,* -9,  17,10, 70.2,③③②
 2, 8,Ｂナムラバビロン, 58,幸英明, 0.2, 57,* -9,   5, 2,  3.3,①①①, 2, 3, サンエムタロウ,,村山明, 1.5,,,, 6, 26.0,①①①, 2,10,Ａエイシンハンコック, 72,安藤勝, 0.6, 62,  -7,   7, 1,  2.0, ③③, 2, 5,Ｄタガノデンジャラス, 84,安藤勝, 0.1, 71,* -6,  18, 1,  1.8,②①②
 3, 6,Ｅメイショウチョイス, 52,四位洋, 0.2, 60, -10,*  8, 3,  9.6,⑧⑤②, 3,12, アグネスハット,,内田浩, 1.8,,,, 5, 11.6,⑤⑥⑥, 3, 1,Ｇメイショウフウライ, 61,飯田祐, 1.0, 59, -11,   7, 8, 84.3, ⑧⑧, 3, 2,Ｃホッコｰパドゥシャ, 84,川原正, 0.4, 64,* -9,  15, 6, 17.7,⑥⑤④
 4, 1,Ｆエｰケｰリｰプ, 49,松田大, 1.3, 51, -13,   3, 7, 35.5,⑨⑧⑤, 4, 6, スリｰブラボｰ,,小坂忠, 1.9,,,, 1,  2.1,②②②, 4, 9,Ｄメジロシリング, 65,岩田康, 1.1, 59, -12,   8, 3,  9.0, ⑨⑧, 4, 1,Ｈトウカイラブ, 78,幸英明, 0.4, 74, -13,* 23, 8, 42.9,⑩⑨⑨
 5, 9,Ｇゼンノコルモ, 49,川原正, 1.5, 44,*-10,  -5, 6, 13.2,③②②, 5,13, クルワザｰド,,出津孝, 2.1,,,, 3,  7.3,⑦⑦⑦, 5, 7,Ｃシアトルバロｰズ, 69,佐藤哲, 1.2, 54,  -8,   2, 6, 21.3, ⑤⑦, 5, 8,Ｆテイエムテンライ, 79,和田竜, 0.4, 60,* -7,  11, 7, 36.7,①①①
 6, 4,Ｈクｰドゥフｰドル, 45,柴原央, 1.7, 49, -16,   5, 8, 59.2,⑩⑩⑨, 6, 7, シャンパンスノｰ,,林満明, 2.4,,,, 4, 11.4,④③④, 6, 6, ミツアキサンキュウ,---,東川公, 1.4, 58, -16,* 10,11,161.0, ⑫⑩, 6, 6,Ａトｰセンハピネス, 85,岩田康, 0.4, 65, -10,  17, 4, 14.5,④⑤⑥
 7, 3,Ｄセイウンエポック, 53,佐藤哲, 2.3, 38, -13,  -6, 5, 11.2,⑥⑦⑧, 7,14, サｰボライアン,,金折知, 2.4,,,, 9, 77.6,⑦⑧⑧, 7, 8,Ｊフジヤマスウィｰプ, 56,吉原寛, 1.5, 50,* -6,  -4,10,111.7, ③③, 7, 3,Ｂワンダｰマッハｰ, 85,武豊  , 0.6, 62, -10,  15, 3,  5.9,⑧⑦⑦
 8,10,Ｉペプチドラアｰジャ, 40,和田竜, 3.1, 27, -11, -19,10,154.6,②②⑤, 8, 5, スカイイレブン,,田中亮, 2.7,,,,12,211.9,③⑤④, 8,11,Ｅダイナミックタｰン, 64,幸英明, 1.7, 47,* -4,  -8, 5, 21.0, ①①, 8,11,Ｅミスティックエイジ, 82,小牧太, 0.7, 62,  -9,  15, 2,  4.2,⑥⑧⑦
