06年 8月26日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 8月26日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.2,,,,,■ 4R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.0,,,,,■ 7R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.6,,,,,■10R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐渡金銀山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａダノンジュンコウ, 67,佐藤哲,, 61,   0,*  2, 1,  2.1, ④④, 1, 3,Ｄラッキｰショウリ, 50,柄崎将,, 62,  -2,*  6, 5,  9.3,④③②, 1,12,Ｅゴｰフォｰイット, 52,勝浦正,, 54,   3,*-13, 2,  3.9,⑤⑤④, 1,12,Ｂエイシンアスワン, 67,小野次,, 71,*  6,   9, 4, 11.5, ①①
 2,17,Ｂシルクプログレス, 57,小野次, 0.3, 57,  -1,* -1, 2,  4.6, ⑥④, 2,14,Ｂビｰビｰファング, 54,小野次, 0.1, 61,* -2,*  4, 2,  4.9,②③②, 2, 5,Ｑシルクヴェルディ, 29,小林淳, 0.0, 53,  -1,* -2,12, 74.4,⑯⑬⑫, 2,14,Ｄスマｰトエッジ, 66,吉田豊, 0.2, 69,*  3,   9, 2,  4.5, ②②
 3, 5,Ｃリンガスファｰスト, 53,柴田善, 0.5, 54,  -2,* -3, 5,  9.1, ⑥⑦, 3,15,Ｅブラッシュボｰル, 47,田中勝, 1.2, 52,  -3,  -4, 4,  8.7,④⑤⑤, 3,11,Ａスウィｰトネス, 66,中舘英, 0.1, 53,*  6, -21, 1,  3.5,③③③, 3,11,Ｊチョウカイシャトル, 56,佐藤哲, 0.7, 66,  -6,  12, 6, 14.7, ⑨⑨
 4, 6,Ｋマイネルモデルノ, 23,蛯名正, 0.6, 52,  -3,* -3, 6, 21.5, ⑨⑧, 4, 7,Ｃケイジｰウィザｰド, 52,中舘英, 1.3, 52,* -1, -10, 1,  1.7,①①①, 4,16,Ｄドレックセル, 53,村田一, 0.4, 49,   1, -15, 4,  7.6,⑬⑧⑧, 4, 3,Ｍアタゴタイヨウ, 53,村田一, 0.7, 68,  -9,* 15,13,137.9, ⑩⑩
 5, 4,Ｆヤエノアカハチ, 46,後藤浩, 0.8, 50,  -5,* -1, 3,  6.5, ⑭⑫, 5, 1,Ｊケｰライアン, 35,鈴木慶, 2.1, 45,  -5, -10,14,438.0,④⑥⑥, 5, 4,Ｃマイネルスパルナ, 54,蛯名正, 0.4, 49,   3, -18, 3,  6.5,⑦⑦⑥, 5, 8,Ｈサウスバトルマン, 62,石橋脩, 0.8, 61,   1,   5, 8, 29.3, ④④
 6,15,Ｇトゥルｰアイズ, 36,中舘英, 0.8, 54,*  3, -14, 7, 29.2, ②①, 6, 4,Ｇセイカブレイズ, 42,池田鉄, 2.7, 40,  -9,  -8,11,163.5,⑭⑫⑫, 6, 9,Ｉタネノエンプレス, 49,大野拓, 0.7, 44,  -3,*-13, 7, 21.2,⑬⑭⑫, 6,10,Ｇアルバレスト, 64,後藤浩, 0.8, 63,  -4,  10, 3,  5.0, ⑦⑦
 7,16,Ｄマイネルアナハイム, 48,勝浦正, 1.1, 47,   0, -15, 4,  7.3, ④④, 7, 6,Ｋシンセイヘイロ, 33,武士沢, 2.8, 40,  -5, -16,15,466.8,⑦⑥⑥, 7,17,Ｇアドバンスハピネス, 50,小野次, 0.7, 47,*  8, -35,10, 25.9,①①①, 7, 5,Ｎメイショウディオ, 50,勝浦正, 0.9, 67, -13,* 16,12,100.3, ⑭⑬
 8, 8,Ｍレオエンペラｰ, 20,江田照, 1.5, 42,  -1, -20,10,122.2, ⑥⑧, 8, 8,Ｎビビ, 26,小林淳, 3.1, 37,  -9, -11, 9,146.8,⑪⑫⑬, 8, 2,Ｂストロングザイオン, 60,江田照, 0.7, 46,   3, -24, 6, 14.7,⑤⑤⑥, 8, 9,Ａプリンコックス, 67,田中勝, 1.1, 59,  -4,   7, 7, 27.3, ⑦⑥
 9,14,Ｊジェンツウェイ, 26,田面木, 1.7, 40,  -6, -14,16,509.1, ⑭⑮, 9, 9,Ｌセイウンノセイセン, 33,吉田隼, 3.4, 35, -11, -11,12,211.5,⑮⑭⑭, 9,15,Ｌミウラフェニックス, 42,大西直, 1.0, 43,   0, -21,16,346.9,⑩⑩⑫, 9, 7,Ｆイッツソｰクｰル, 64,蛯名正, 1.4, 54, -12,   8,10, 61.9, ⑫⑪
10,13,Ｒメイショウジャパン,-81,吉田豊, 2.0, 37,  -6, -19,13,290.9, ⑯⑯,10,12,Ｉサｰガキャスケｰド, 36,江田照, 3.7, 34,  -7, -21,10,150.2,⑪⑨⑧,10, 6,Ｈコスモベリュｰムト, 49,長谷川, 1.0, 43,   0, -21,11, 27.5,⑪⑩⑧,10, 2,Ｃエイワナギ, 67,柴田善, 1.5, 51,  -4,   0, 1,  2.2, ⑥⑦
11, 3,Ｏシルクタフネス, 18,塚田祥, 2.0, 35,  -4, -24, 9, 96.6, ⑪⑪,11, 5,Ｈニシノコクリュウ, 37,田辺裕, 4.0, 32,  -7, -24, 7, 29.4,⑩⑨⑧,11, 1,Ｒロｰドポラリス, 29,吉田隼, 1.1, 41,   1, -26, 8, 22.1,⑦⑧⑧,11, 4,Ｌジパングエンジェル, 54,田面木, 1.5, 55,  -9,   8,11, 95.5, ⑩⑪
12,10,Ｉキングタキオン, 30,小林淳, 2.1, 36,  -6, -20,11,131.8, ⑯⑯,12, 2,Ｏウエスタンエバｰ, 16,西田雄, 4.1, 32, -10, -18,13,300.7,⑬⑭⑭,12,10,Ｊカオリソフィｰ, 48,田面木, 1.3, 41,*  5, -36,14,134.7,③④④,12, 6,Ｉセンノクニャｰズ, 58,柄崎将, 2.0, 53, -21,* 13,15,300.9, ⑮⑮
13,18,Ｅマイネルボビッシュ, 47,石橋脩, 2.8, 30,*  0, -44, 8, 46.4, ③③,13,11,Ｍネゴシエｰション, 32,後藤浩, 4.3, 30,  -5, -30, 6, 25.9,⑦⑧⑧,13,18,Ｆパナックス, 50,吉田豊, 1.3, 41,*  7, -41, 5,  8.9,②②②,13,13,Ｋプリンセスデザイア, 55,中舘英, 2.3, 46,*  2, -13, 5, 13.8, ②②
14, 1,Ｌマセラティスタ, 22,穂苅寿, 3.1, 27,*  2, -52,12,140.5, ①②,14,13,Ａヴァリアントホｰク, 55,江田勇, 4.6, 29,  -7, -30, 3,  8.0,⑨⑨⑪,14, 3,Ｋボウキョウ, 46,伊藤直, 1.4, 40,  -2, -23,13,106.2,⑪⑭⑮,14, 1,Ｏラッキｰズアポロ, 43,吉田隼, 2.8, 42, -10,  -4,14,166.3, ⑫⑭
15,11,Ｐネップウ, 16,石神深, 3.3, 27,  -5, -41,18,691.1, ⑪⑫,15,10,Ｆマウナケア, 42,嘉藤貴, 4.9, 27,* -1, -43, 8, 93.7,②②②,15, 7,Ｎゴｰルデンメドウ, 36,大庭和, 1.6, 39,   0, -30, 9, 24.3,⑦⑩⑧,15,15,Ｅペンデュラｰ, 64,二本柳, 3.0, 41,   0, -19, 9, 36.6, ④④
16,12,Ｎスガノモｰニング, 19,岩部純, 3.4, 29,  -5, -38,15,373.5, ⑱⑱,,,,,,,,,,,,,16,13,Ｍセｰゴｰルド, 36,田中博, 1.7, 36,  -7, -19,15,257.3,⑰⑱⑱,,,,,,,,,,,,
17, 9,Ｑカシノベガスタｰ, 12,二本柳, 3.6, 25,  -4, -47,14,360.2, ⑪⑫,,,,,,,,,,,,,17,14,Ｐエイトダンサｰ, 34,宗像徹, 1.7, 39,  -4, -22,18,452.5,⑰⑰⑰,,,,,,,,,,,,
18, 7,Ｈベルグミル, 31,佐藤聖, 4.8,-11,  -5, -67,17,569.9, ⑨⑧,,,,,,,,,,,,,18, 8,Ｏバニッシュアウェイ, 35,高野和, 2.0, 34,  -3, -33,17,445.1,⑬⑭⑮,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-3),,,,,,,,,,,
単勝:210円 複勝:02=120円 17=140円 05=210円 枠連:290円,,,,,,,,,,,,単勝:930円 複勝:03=230円 14=180円 15=270円 枠連:870円,,,,,,,,,,,,"単勝:390円 複勝:12=180円 05=1,300円 11=140円 枠連:1,780円",,,,,,,,,,,,"単勝:1,150円 複勝:12=320円 14=150円 11=370円 枠連:1,150円",,,,,,,,,,,
馬連:530円 ワイド:02-17=230円 02-05=470円 05-17=720円,,,,,,,,,,,,"馬連:1,740円 ワイド:03-14=610円 03-15=980円 14-15=530円",,,,,,,,,,,,"馬連:25,100円 ワイド:05-12=6,020円 11-12=290円 05-11=4,340円",,,,,,,,,,,,"馬連:2,950円 ワイド:12-14=920円 11-12=2,700円 11-14=940円",,,,,,,,,,,
"馬単:870円 3連複:1,800円",,,,,,,,,,,,"馬単:3,840円 3連複:3,500円",,,,,,,,,,,,"馬単:38,750円 3連複:18,510円",,,,,,,,,,,,"馬単:7,040円 3連複:12,800円 3連単:80,900円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利(父) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.5,,,,,■ 5R  芝2850m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 8R  芝1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.1,,,,,■11R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,飯豊特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂナムラバンダム, 54,中舘英,, 65,* -6,*  8, 1,  1.5, ①①, 1, 5, ユキノサンロイヤル,,穂苅寿,,,,, 2,  4.4,⑥②②, 1,13,Ａブライトアイズ, 70,後藤浩,, 66,   1,*  9, 3,  7.4, ⑨⑨, 1, 7,Ｏブラックバｰスピン, 64,田中勝,, 68,  -9,  21, 1,  3.8, ⑤⑤
 2, 6,Ａヤマニンアマランス, 55,吉田隼, 0.2, 61,* -8,*  7, 2,  3.0, ②②, 2, 6, オンワｰドタイタン,,宗像徹, 0.2,,,, 7, 26.8,⑩⑦⑥, 2, 8,Ｏニシノツキカゲ, 55,大野拓, 0.0, 65,   3,   3, 5, 12.8, ④④, 2, 3,Ａサクライナセ, 80,小野次, 0.3, 65,  -7,  19, 2,  5.1, ⑤⑤
 3,15,Ｇコウチシルバｰ, 36,勝浦正, 1.2, 48, -12,   1, 5, 30.2, ⑤⑥, 3, 4, ハウルサンダｰ,,沢昭典, 1.2,,,, 8, 58.6,⑤⑤⑤, 3, 6,Ｐラスティングピｰス, 54,佐藤哲, 0.1, 63,  -5,* 15,11, 24.7, ⑰⑰, 3, 8,Ｍグレｰトバルサｰ, 68,後藤浩, 0.4, 66, -11,  22, 7, 12.9, ⑧⑧
