06年 6月25日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 6月25日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.6,,,,,■ 4R  芝2600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.0,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.1,,,,,■10R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,遊楽部特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｃサッサイア, 48,塚田祥,, 61,   6,  -5, 4, 13.0, ③③, 1, 5,Ｉリキアイキンセイ, 46,藤岡佑,, 53,*-13,  12, 8, 36.2,②②②, 1,11,Ａサイボｰグ, 69,松田大,, 86,* 12,* 11, 1,  1.6, ①①, 1, 4,Ｅスズカロｰラン, 63,芹沢純,, 75,   5,  11, 1,  1.8,③②②
 2,10,Ａセクシｰクィｰン, 56,菊沢隆, 0.3, 66,* 12, -10, 1,  1.3, ②②, 2, 3,Ａメジロワグナｰ, 63,木幡初, 0.0, 53,*-13,  12, 3,  4.5,②②②, 2, 9,Ｅフリｰダムホｰク, 59,菊沢隆, 1.0, 70,   4,   5, 5, 14.8, ④④, 2, 8,Ｄマイネシャｰナ, 66,菊沢隆, 0.2, 77,   1,* 15, 7, 15.3,⑧⑦⑦
 3, 7,Ｄルシファｰ, 47,木幡初, 0.4, 65,* 12, -11, 8, 58.4, ①①, 3, 8,Ｄウインカｰムネス, 55,柴山雄, 0.0, 58,*-14,* 15, 2,  4.5,⑤④④, 3, 7,Ｂナゾヲトクカギ, 62,佐藤哲, 1.0, 71,   1,   8, 3,  9.0, ⑤⑤, 3, 9,Ａチェリｰムｰン, 75,木幡初, 0.2, 71,   3,  10, 3,  6.0,④④④
 4, 5, ブルｰベルベット,---,長谷川, 0.7, 48,  -4,  -4, 2,  7.3, ⑦⑦, 4, 6,Ｃピエナテンイヤｰズ, 55,佐藤哲, 0.2, 46,*-12,   7, 5, 14.0,①①①, 4, 3,Ｇスリｰスピリット, 57,秋山真, 1.3, 66,  -4,   7, 7, 21.9, ⑦⑥, 4, 3,Ｇサムタイム, 62,秋山真, 0.4, 65,*  8,  -1, 4,  8.7,①①①
 5, 4,Ｇファｰムウィル, 40,佐藤哲, 0.8, 47,  -4,  -5, 7, 35.4, ⑦⑦, 5, 4,Ｆオｰシャンビュｰ, 50,塚田祥, 0.2, 50, -16,  11, 6, 15.5,⑥⑥⑤, 5, 8,Ｃフジノヘイロｰ, 61,鹿戸雄, 1.4, 64,  -4,   6, 9, 75.2, ⑦⑥, 5, 6,Ｃピサノパスティｰユ, 68,長谷川, 0.5, 68,   2,   7, 8, 26.9,⑤⑤⑤
 6, 2,Ｆワイルドオｰキッド, 42,柴原央, 1.1, 44,  -6,  -7, 9, 58.5, ⑦⑦, 6, 9,Ｂキングトップダンス, 63,菊沢隆, 0.4, 58, -16,* 16, 4,  9.1,⑧⑧⑥, 6, 4,Ｆサクセスキｰワｰド, 58,長谷川, 1.5, 64,  -7,   8, 4, 12.3, ⑨⑨, 6, 7,Ｈミスズワｰルド, 57,柴山雄, 0.5, 73,   0,* 13, 5, 14.7,⑨⑨⑧
 7, 8,Ｅヒカルファンタジｰ, 45,鹿戸雄, 1.1, 44,  -3,  -9,10, 99.1, ⑥⑤, 7, 1,Ｋフォックストレル, 33,北村友, 1.2, 39, -19,   7,11,203.3,⑩⑨⑧, 7,10,Ｊロｰドレンジャｰ, 46,塚田祥, 1.6, 57,   7,  -5, 6, 15.1, ②②, 7, 1,Ｆプライムナンバｰ, 62,佐藤哲, 0.6, 66,   3,   6, 6, 15.0,⑤⑤⑤
 8, 6,Ｊスマイルビジョン, 30,藤岡佑, 1.2, 47, -20,*  1,11,107.0, ⑫⑫, 8, 2,Ｇダンツマｰブル, 50,秋山真, 1.4, 35, -14,  -4, 1,  2.1,⑥⑥⑥, 8, 5,Ｄシャンドラヴェリテ, 60,木幡初, 1.6, 61,  -2,   3, 2,  5.6, ⑥⑧, 8, 2,Ｂレディキルシェ, 69,藤岡佑, 0.8, 61,   5,  -1, 2,  5.8,②②②
 9, 3,Ｈハシリタガｰル, 40,秋山真, 1.3, 44,   2, -14, 3, 11.0, ④④, 9, 7,Ｅメイショウナタリｰ, 55,黛弘人, 2.1, 27, -20,  -3, 9, 89.8,⑪⑪⑩, 9, 2,Ｈフサイチアシュラ, 55,津村明, 2.4, 48,   8, -12, 8, 23.9, ②②, 9, 5,Ｉクリノヨッシｰ, 57,塚田祥, 0.9, 62,   1,   4, 9,113.8,⑦⑦⑧
10, 9, センシュアリティ,---,松田大, 1.5, 43, -12,  -7, 6, 25.6, ⑪⑪,10,10,Ｊオンワｰドジョイ, 34,鹿戸雄, 2.7, 23, -17, -15,10,152.5,⑧⑨⑩,10, 6,Ｋスプレンデス, 41,柴山雄, 3.1, 41, -10,  -7,10, 96.8, ⑩⑩,,,,,,,,,,,,
11, 1,Ｂグロリアスジュエル, 48,柴山雄, 1.5, 39,  -4, -12, 5, 17.0, ⑦⑦,11,11,Ｈブラックディｰノ, 47,長谷川, 3.4,-47,*-14, -36, 7, 27.3,④④⑧,11, 1,Ｉマチカネルリ, 50,黛弘人, 3.9, 31, -22,  -9,11,212.4, ⑪⑪,,,,,,,,,,,,
12,11,Ｉラキシス, 34,荻野要, 2.1, 33,  -1, -20,12,148.5, ⑤⑥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+19 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+12 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-4),,,,,,,,,,,
"単勝:1,300円 複勝:12=270円 10=110円 07=630円 枠連:730円",,,,,,,,,,,,"単勝:3,620円 複勝:05=700円 03=190円 08=190円 枠連:10,200円",,,,,,,,,,,,"単勝:160円 複勝:11=110円 09=280円 07=170円 枠連:1,090円",,,,,,,,,,,,単勝:180円 複勝:04=110円 08=220円 09=160円 枠連:440円,,,,,,,,,,,
"馬連:740円 ワイド:10-12=360円 07-12=2,790円 07-10=780円",,,,,,,,,,,,"馬連:5,690円 ワイド:03-05=1,660円 05-08=1,930円 03-08=340円",,,,,,,,,,,,"馬連:1,210円 ワイド:09-11=460円 07-11=250円 07-09=1,300円",,,,,,,,,,,,"馬連:1,180円 ワイド:04-08=450円 04-09=230円 08-09=580円",,,,,,,,,,,
"馬単:2,830円 3連複:5,580円",,,,,,,,,,,,"馬単:16,060円 3連複:6,100円",,,,,,,,,,,,"馬単:1,520円 3連複:2,230円",,,,,,,,,,,,"馬単:1,640円 3連複:1,560円 3連単:6,210円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.6,,,,,■ 5R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.8,,,,,■11R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,津軽海峡特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
