06年 8月27日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 8月27日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.3,,,,,■ 4R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7.4,,,,,■ 7R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.9,,,,,■10R  芝2200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿賀野川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂマイネインティマ, 52,佐藤哲,, 55,* -1,  -7, 3,  5.6, ①①, 1, 5,Ａジェットバニヤン, 63,田中勝,, 71,*  2,*  8, 1,  1.6, ①①, 1, 2,Ａワンモアフリｰト, 68,中舘英,, 78,* 10,  10, 1,  2.2, ①①, 1, 3,Ａヤマカツピレネｰ, 83,柴田善,, 71,   2,  11, 2,  5.1,⑤⑤④
 2, 7,Ｄワキノドライバｰ, 48,福永祐, 0.0, 54,* -3,* -4, 1,  2.8, ②②, 2, 9,Ｄユウタｰジパング, 37,蛯名正, 0.4, 67,  -4,*  9, 2,  4.1, ④③, 2,14,Ｂトｰホウカウンタｰ, 65,四位洋, 0.7, 70,  -3,* 12, 2,  3.1, ⑨⑧, 2, 9,Ｂゴｰルドフォイル, 76,吉田隼, 0.1, 68,*  5,   3, 7, 13.6,④②②
 3, 4,Ａリネンフィｰルド, 58,南田雅, 0.3, 46, -13,*  6, 4,  8.1, ⑪⑩, 3, 3,Ｂスイｰツトラップ, 46,塚田祥, 0.5, 62,* -1,   4,10, 56.2, ②③, 3, 4,Ｇヒシキャサリン, 58,大野拓, 1.1, 64,   4,   3,11,104.0, ③③, 3,10,Ｄトロフィｰディｰル, 75,後藤浩, 0.2, 73,  -2,* 20, 1,  2.2,⑩⑩⑧
 4, 8,Ｊコパノベンザイテン, 30,吉田隼, 0.4, 46,  -6,  -7,10, 50.3, ⑥⑦, 4, 4,Ｇトランヴィｰア, 34,中舘英, 1.4, 57, -14,*  9, 8, 48.8, ⑪⑪, 4, 9,Ｃルックアミリオン, 63,蛯名正, 1.2, 64,  -6,* 10, 3,  6.7, ⑪⑪, 4, 8,Ｃタイムレスワｰルド, 75,石橋脩, 0.2, 70,*  5,   6, 5,  8.5,③③③
 5, 5,Ｅセレナミニヨン, 46,田中勝, 0.5, 46,  -6,  -7, 9, 38.4, ⑥⑧, 5, 6,Ｅゼンノアピｰル, 36,柴田善, 1.7, 48,  -5,  -3, 4, 17.5, ⑤⑤, 5,13,Ｆリンクスクイン, 59,田辺裕, 1.3, 64,   0,   6, 8, 41.1, ⑧⑧, 5, 2,Ｊチョウノゾミ, 60,中舘英, 0.4, 69,   1,  10, 3,  5.2,⑥⑥⑤
 6, 9,Ｈオメガトゥルカラｰ, 33,後藤浩, 0.6, 45,  -5, -10, 5, 11.6, ⑥④, 6, 8, ロンドンシチｰ,---,佐藤哲, 1.8, 48,  -8,  -1, 7, 46.1, ⑥⑤, 6, 6,Ｈタケデンタンゴ, 57,塚田祥, 1.3, 63, -10,* 12, 6, 32.5, ⑬⑬, 6, 7,Ｇイブキトレッキング, 70,江田照, 0.5, 70,  -1,  14, 9,103.1,⑦⑨⑩
 7, 3,Ｉリワｰドマナキン, 31,蛯名正, 0.9, 41,  -4, -16, 8, 24.9, ②④, 7, 7,Ｊイｰグルホｰク, 10,江田照, 2.0, 44,*  0, -10, 9, 55.6, ②②, 7, 8,Ｉチャッティｰギャル, 56,勝浦正, 1.6, 61,  -5,   8, 7, 40.3, ⑪⑪, 7, 1,Ｉセレスケイ, 62,福永祐, 0.9, 57,*  4, -11, 6, 12.9,①①①
 8,12,Ｃラｰドロジュノｰ, 51,小野次, 0.9, 39, -11,  -7, 6, 13.6, ⑨⑨, 8,11,Ｃコルサトウショウ, 45,小林淳, 2.0, 45,  -7,  -4, 3,  6.6, ⑥⑤, 8, 1,Ｌランバイルビｰ, 51,大西直, 1.8, 60,  -8,   9,14,232.5, ⑬⑭, 8, 6,Ｅサウザンブライト, 74,蛯名正, 1.4, 57,   2,  -7, 4,  8.3,⑦⑥⑦
 9,14,Ｎレオティアラ, 18,大野拓, 1.1, 36,  -5, -20,12,246.9, ②③, 9,15,Ｆクロスライセンス, 35,福永祐, 2.6, 39,  -8,  -9,11, 63.2, ⑥⑧, 9, 7,Ｅキアｰミ, 60,二本柳, 1.8, 57,   2,  -1, 5, 16.1, ⑤⑤, 9, 5,Ｈジェイケイテイオｰ, 64,吉田豊, 1.7, 52,   1, -13, 8, 98.7,⑦⑥⑧
10,10,Ｋキャプテンドリｰム, 27,小林淳, 1.1, 37, -11, -10,11,194.1, ⑨⑩,10, 2,Ｉオｰセシボン, 29,村田一, 3.8, 29, -21,  -9, 6, 39.8, ⑬⑬,10,11,Ｎアジアンティック, 47,後藤浩, 2.2, 50,   3,  -9, 9, 64.6, ③③,10, 4,Ｆマイネルモンシェリ, 71,小野次, 3.4, 37,*  2, -45,10,105.1,②③⑤
11, 1,Ｇミヤビキャサリン, 42,長谷川, 1.2, 37,* -3, -22, 7, 20.0, ②④,11,14, アイドルアワｰド,---,池田鉄, 4.2, 25, -10, -23, 5, 33.6, ⑩⑩,11,10,Ｋレオキャロル, 51,佐藤哲, 2.5, 49,*  9, -14,12,120.9, ②②,,,,,,,,,,,,
12,13,Ｆアスクデピュティ, 45,石橋脩, 1.4, 32, -13, -11, 2,  3.5, ⑪⑩,12,12, メビウスリング,---,西田雄, 4.5, 25, -25, -12,12,217.6, ⑮⑮,12, 3,Ｏロココガｰル, 44,田中学, 2.6, 48,  -1,  -6,15,385.1, ⑨⑧,,,,,,,,,,,,
13,11,Ｍグランドアムｰル, 18,塚田祥, 1.6, 28, -15, -15,14,405.4, ⑪⑭,13,13,Ｈイグザｰション, 33,田中学, 4.7,  1,  -7, -31,14,520.0, ⑥⑨,13,12,Ｊレオアスカ, 52,石橋脩, 2.8, 44,   1, -12,13,196.5, ⑤⑤,,,,,,,,,,,,
14, 2,Ｌコスモテヤン, 25,田中博, 1.6, 27, -15, -16,13,387.1, ⑪⑬,14, 1, シンワウインチニタ,---,金子光, 5.7,-22, -21, -28,15,536.9, ⑬⑬,14, 5,Ｄレインボｰデザイア, 61,田中勝, 3.2, 41, -12,  -5, 4,  8.7, ⑮⑮,,,,,,,,,,,,
