06年12月 9日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年12月 9日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.5,,,,,■ 4R  ダ1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.3,,,,,■10R  芝1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黒松賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｅアイヴォリｰカラｰ, 40,横山典,, 73,*  1,*  9, 3,  4.6, ①①, 1, 3, クロパラントゥｰ,---,蛯名正,, 59,*-18,* 18, 3,  5.0,④③③, 1,10,Ａエフティイカロス, 58,蛯名正,, 62,   0,*  3, 1,  3.7,⑩⑩⑦, 1, 8,Ａサｰプラスシンガｰ, 72,木幡初,, 80,* 18,  -1, 5,  7.3, ①①
 2,11,Ｈフィリエル, 36,蛯名正, 1.5, 58,*  1,  -6, 8, 42.9, ②②, 2, 6, ドミンゴシチｰ,---,後藤浩, 0.0, 57,*-18,* 17, 2,  2.8,②②②, 2,11,Ｄマイネルヘンリｰ, 52,張田京, 0.2, 61,  -4,*  9,10, 52.6,⑰⑰⑪, 2, 1,Ｄシベリアンクラシカ, 67,柴田善, 0.1, 74,  13,*  2, 3,  4.1, ③③
 3, 1,Ａホワイトリｰベ, 58,張田京, 1.6, 55,  -1,  -5, 1,  2.2, ④④, 3, 4, ダイワトルネｰド,---,柴田善, 0.7, 47,*-18,  12, 4,  6.2,⑥③③, 3, 4,Ｌミラクルペｰジ, 47,村田一, 0.5, 56,   0,  -5,11, 67.1,⑤⑩⑦, 3, 2,Ｃニシノクイック, 70,田辺裕, 0.3, 69,   8,*  3, 4,  6.7, ⑨③
 4, 4,Ｊジャッキｰドリｰム, 27,吉田隼, 1.9, 49,  -5,  -5, 9, 83.7, ⑨⑦, 4, 2, テイクザホｰク,---,横山典, 0.9, 45, -19,  12, 1,  2.2,④⑤⑤, 4, 7,Ｑマイネルファヴｰル, 39,田中博, 0.5, 52,  -4,* -1,15,109.2,⑫⑭⑪, 4, 6,Ｂダイワエンパイア, 70,後藤浩, 0.6, 65,  11,  -4, 1,  3.4, ⑦⑤
 5,12,Ｃオｰトクレｰル, 42,吉田豊, 2.0, 47,  -7,  -4, 2,  4.5, ⑪⑨, 5, 5, コアレスファントム,---,江田照, 2.8, 31,*-18, -10, 5, 28.7,①①①, 5, 2,Ｂナンヨｰアｰス, 56,小野次, 0.6, 55,  -2,*  0, 9, 43.7,⑭⑭⑰, 5, 3, フェイスザファクト,---,勝浦正, 0.7, 60,   2,*  3,12,221.3, ⑪⑨
 6, 3,Ｄミヤビキャサリン, 42,小野次, 2.4, 47,  -1, -12, 6, 18.5, ④④, 6, 7, プリミティｰヴ,---,吉田隼, 3.4, 23, -21, -10, 6, 31.8,③⑥⑥, 6, 5,Ｈクラッカｰジャック, 50,松岡正, 0.7, 54,   2, -11, 7, 19.0,④④③, 6, 5,Ｈフロントダッシュ, 55,横山典, 1.0, 56,   3,  -3, 2,  4.0, ⑩⑨
 7,10,Ｂメジロカペラ, 47,柴田善, 2.4, 48,*  0, -13, 5, 12.1, ④⑥, 7, 1, アラバンサシチｰ,---,田中博, 5.6,-31, -29, -18, 7, 68.2,⑦⑦⑦, 7,16,Ｐナンヨｰイｰスト, 43,勝浦正, 1.0, 51,   2, -15, 6, 17.4,⑧④③, 7,12,Ｅリキサンファイタｰ, 66,吉田隼, 1.2, 58,  14, -16, 6, 12.9, ③⑤
 8, 5,Ｇアサクサヴェｰル, 37,勝浦正, 2.5, 48,*  1, -15, 4,  7.7, ②②,,,,,,,,,,,,, 8, 6,Ｃプライドイズハｰト, 56,横山典, 1.1, 50,*  3, -20, 3,  5.6,②③③, 8, 7,Ｊオカｰルノキセキ, 50,小林淳, 1.2, 60,* 16, -18,11,146.6, ②②
