06年 9月16日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 9月16日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.9,,,,,■ 4R  芝1200m 2 歳500万(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.1,,,,,■10R  芝1500m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,手稲山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂエイシンイップｰ, 46,藤岡佑,, 60, -13,*  6, 4,  7.4, ⑤⑤, 1,10, クｰヴェルチュｰル,---,塚田祥,, 70,* -1,*  8, 2,  3.0, ①①, 1,10,Ｍブｰケティアラ, 46,岩田康,, 48, -10,*  2, 5, 11.7, ⑫⑪, 1, 2,Ａフミノバラｰド, 74,芹沢純,, 73,* -7,* 18, 1,  2.1,①①①
 2, 8,Ａスキマチェリｰ, 51,鈴来直, 0.1, 55,* -2,  -2, 2,  3.3, ①①, 2, 5, アドマイヤプルｰト,---,岩田康, 0.4, 65,* -2,   6, 1,  2.4, ③②, 2, 6,Ｉニホンピロヒリュウ, 53,藤岡佑, 0.1, 47, -13,*  3, 4,  8.1, ⑭⑭, 2, 5,Ｉサンライズヴァトｰ, 56,川島信, 0.6, 59,* -9,  12, 8, 25.1,②④④
 3, 9,Ｆカネスラファｰル, 42,柴山雄, 0.3, 54,  -9,   1, 7, 23.1, ③②, 3, 4, ゴシップクイｰン,---,宮崎光, 0.6, 62,  -7,*  7, 3,  5.4, ⑥③, 3,11,Ｄポップチャｰト, 57,池添謙, 0.1, 47,  -7,  -3, 3,  5.0, ⑧⑥, 3, 1,Ｊピｰスメｰカｰ, 53,坂下秀, 0.7, 64, -14,* 18,11,117.1,⑨⑩⑩
 4, 5,Ｇマヤノツルギ, 41,小林徹, 0.5, 50,  -6,  -3, 1,  2.7, ②②, 4, 1, アサティスボｰイ,---,柴山雄, 1.0, 57, -12,   6, 8, 46.6, ⑨⑤, 4, 1,Ｎヴィオレッタ, 40,五十嵐, 0.2, 47, -18,*  6,14,152.2, ⑯⑮, 4, 6,Ｃポンテペルレ, 71,五十嵐, 0.8, 54,* -8,   7, 5, 17.8,②②②
 5, 1,Ｈタイニｰダンサｰ, 36,川島信, 1.4, 37,  -8, -12, 8, 27.9, ③②, 5, 2, パレスルビｰ,---,五十嵐, 1.1, 55, -17,*  9, 5, 14.8, ⑫⑪, 5, 8,Ｆテイエムラブリｰ, 56,的場勇, 0.2, 47,* -1, -14, 7, 15.4, ②②, 5, 7,Ｇタイセイガイア, 61,松田大, 0.9, 53, -10,   9, 9, 32.7,⑤⑥⑥
 6, 2,Ｄニシノシンワ, 44,本田優, 1.6, 35, -21,  -5, 3,  5.0, ⑦⑥, 6, 7, リトルモンスタｰ,---,津村明, 1.7, 39,  -5, -13,10, 58.0, ③⑤, 6, 7,Ａロｰドソニック, 64,梶晃啓, 0.3, 44,  -7,  -6, 1,  3.8, ⑧⑨, 6, 4,Ｂダノンウイングス, 71,藤田伸, 0.9, 56, -12,  12, 2,  3.9,⑨⑧⑥
 7, 6,Ｊヤマノミライ, 20,藤田伸, 1.9, 32, -19, -10, 5, 13.0, ⑥⑦, 7, 9, レッドピクシｰ,---,桑村真, 2.0, 36, -12, -10, 7, 38.4, ⑨⑩, 7,14,Ｂメジロルバｰト, 59,菊沢隆, 0.3, 46,  -4,  -9, 2,  4.3, ⑤⑤, 7, 3,Ｆトラッドスキｰム, 65,津村明, 1.0, 55, -13,  12, 6, 19.8,⑤⑧⑨
 8, 7,Ｅサンライトフェロｰ, 44,津村明, 2.0, 30, -21, -10, 6, 17.4, ⑦⑧, 8,12, クｰルビズ,---,村松学, 2.1, 36,* -1, -22, 6, 19.8, ②③, 8,15,Ｈナンゴクエンジェル, 53,鈴来直, 0.5, 46,*  1, -17,12, 34.8, ②②, 8, 9,Ｅレイザストレングス, 66,岩田康, 1.2, 48, -11,   5, 3,  6.6,⑤⑥⑥
 9, 4,Ｋコレクトシチｰ, -8,芹沢純, 2.1, 30, -28,  -5,10,109.0, ⑪⑪, 9,13, マイレディｰキセキ,---,山口竜, 2.2, 34,  -4, -20, 9, 52.6, ③⑦, 9,13,Ｏアイウォｰル, 38,小林徹, 0.8, 37,  -7, -14,15,197.3, ⑧⑨, 9,10,Ｈコスモキャンディス, 58,四位洋, 1.2, 48,* -8,   1, 7, 20.6,④②②
10, 3,Ｉイソノクイｰン, 22,小島太, 2.4, 26, -23, -14,11,228.2, ⑩⑧,10,11, シアトルレイナ,---,斉藤正, 2.2, 34,  -7, -17,11,116.5, ⑥⑧,10, 2,Ｌスマｰトルｰチェ, 46,柴山雄, 0.8, 39,  -2, -19,10, 29.9, ⑤⑥,10,11,Ｄアルフォンシｰヌ, 68,柴山雄, 1.2, 48,* -9,   3, 4,  7.8,⑤④④
11,11,Ｃディｰプハニｰ, 45,武英智, 2.5, 27, -21, -15, 9, 68.8, ⑦⑩,11, 6, シマノジョオウ,---,佐々木, 2.5, 30, -14, -16,13,211.1, ⑪⑫,11, 4,Ｋヒカルファンタジｰ, 49,小島太, 0.9, 34,  -4, -22,13, 68.8, ⑤⑥,11, 8,Ｋハロｰアゲイン, 45,岩橋勇, 1.4, 47, -14,   7,10, 67.0,⑪⑩⑩
,,,,,,,,,,,,12, 8, ブルｰタブｰ,---,服部茂, 2.5, 30,  -9, -20, 4, 11.3, ⑧⑧,12, 3,Ｇタイキトラップ, 54,田辺裕, 1.0, 35, -12, -12, 9, 27.6, ⑫⑫,,,,,,,,,,,,
