06年 8月12日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 8月12日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3.8,,,,,■ 4R  芝1000m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.0,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西部日刊ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｆニシノマオ, 45,太宰啓,, 72,*  5,   2, 2,  3.7, ①①, 1, 6, エｰシンウェｰブス,---,渡辺薫,, 51,* -2,* -9, 1,  2.2, ②②, 1,10,Ｂシｰアリア, 57,太宰啓,, 62, -24,* 17, 6, 12.0, ⑫⑩, 1, 4,Ｃストｰンブリッジ, 81,太宰啓,, 71,* -2,  17, 3,  7.9, ①①
 2,10,Ｂアマノチェリｰラン, 62,川田将, 0.4, 58,  -2,   2, 3,  6.4, ③②, 2, 7, デンコウレジｰナ,---,池添謙, 0.3, 41,  -7,*-10, 3,  4.3, ④④, 1, 4,Ｃカシノマイケル, 56,渡辺薫,, 55, -16,*  9, 3,  5.4, ⑦⑦, 2, 3,Ｅミュゲドボヌｰル, 75,幸英明, 0.1, 74, -12,  25, 4,  8.0, ⑧⑥
 3, 8,Ａマイネルカｰロ, 64,鮫島良, 0.4, 54,  -7,*  4, 1,  2.7, ⑥⑥, 3, 2, テイエムヤマサクラ,---,橋本美, 0.6, 40,* -2, -18, 4,  7.5, ①①, 3,18,Ｄバクシンハヤブサ, 50,田嶋翔, 0.0, 51,* -8,   2, 1,  4.1, ②①, 3, 7,Ｈエイシンヴァイデン, 68,池添謙, 0.1, 75, -14,* 27, 7, 12.6, ⑧⑦
 4, 1,Ｊメイショウイチバン, 39,飯田祐, 0.8, 51,  -3,  -5, 7, 21.0, ③④, 4, 4, ニホンピロアニカ,---,熊沢重, 1.2, 26, -17, -18, 5,  9.0, ⑤⑤, 4, 6,Ｋオｰスミシルク, 43,和田竜, 0.1, 51, -11,   3,12, 55.4, ④④, 4, 8,Ｉスｰパｰワシントン, 68,鮫島克, 0.3, 70, -22,* 28, 8, 17.7, ⑪⑪
 5, 7,Ｅアシュレイリバｰ, 48,小牧太, 0.9, 49, -15,*  7, 5,  8.9, ⑫⑨, 5, 5, シュンテラス,---,和田竜, 1.2, 25, -14, -20, 2,  3.9, ⑤⑤, 5,11,Ｉエタｰナルサｰガ, 45,幸英明, 0.2, 56, -22,* 12,13, 57.7, ⑫⑧, 5, 1,Ｆエネルマオｰ, 71,和田竜, 0.4, 65,  -9,  17, 9, 18.5, ⑤④
 6, 2,Ｈワンダｰフェｰム, 41,渡辺薫, 1.5, 44,*  2, -21, 6, 14.5, ②②, 6, 3, アマトリｰチェ,---,佐藤哲, 2.3, 14,* -2, -45, 6, 24.3, ②②, 6, 5,Ｊビオンディｰナ, 43,川田将, 0.2, 46,* -6,  -4, 4,  6.1, ①②, 6, 5,Ａカリプソパンチ, 86,川田将, 0.4, 63,* -4,  13, 2,  3.6, ②②
 7, 6,Ｄマルタカブロイド, 50,田中克, 1.6, 34, -11, -13,11,178.4, ⑨⑦, 7, 1, カシノテンカ,---,野元昭, 3.7,-54, -27, -52, 7, 77.1, ⑦⑦, 7, 1,Ｈマチカネコウバイ, 46,鮫島良, 0.3, 45, -11,  -1, 7, 24.1, ④④, 7,11,Ｂテイエムポイント, 82,上村洋, 0.6, 60,* -4,  10, 1,  3.1, ②②
 8, 9,Ｉマルカグレイシｰ, 39,石橋守, 2.0, 31, -10, -18, 9, 39.3, ⑨⑨,,,,,,,,,,,,, 8, 7,Ｅシュンキチ, 49,鮫島克, 0.3, 49, -17,   6, 9, 33.9, ⑨⑨, 8,10,Ｋスリｰキュｰト, 62,鮫島良, 0.7, 60, -12,  16,10, 53.8, ⑧⑦
 9, 3,Ｃブラックプラネット, 55,鮫島克, 2.2, 32,  -2, -25, 4,  6.5, ③④,,,,,,,,,,,,, 9,12,Ａケイタッチ, 58,上野翔, 0.4, 42, -12,  -3, 5,  6.8, ④④, 9, 2,Ｄチｰキｰガｰルズ, 78,北村友, 0.8, 58, -11,  13, 6, 12.6, ⑦⑦
10, 5,Ｇカシノチｰフ, 42,小林久, 2.4, 28,  -5, -25,10,162.1, ⑥⑦,,,,,,,,,,,,,10, 2,Ｌコウエイドリｰム, 42,上村洋, 0.9, 39, -26,   5,10, 44.2, ⑮⑭,10, 9,Ｇエイシンライトゥン, 70,小牧太, 1.4, 51,  -9,   2, 5,  9.5, ⑤④
11, 4,Ｌオｰナｰドリｰム, 27,田村太, 3.1, 14, -11, -36,12,292.8, ⑨⑫,,,,,,,,,,,,,11, 9,Ｆアイラインドリｰム, 47,野元昭, 1.1, 38,* -6, -17,14, 62.5, ②③,11, 6,Ｊタマモヘラクレス, 63,石橋守, 2.3, 27,  -6, -15,11, 91.7, ④⑦
12,12,Ｋニオウ, 31,佐藤哲, 3.2, 14,  -6, -39, 8, 35.5, ⑥⑨,,,,,,,,,,,,,12, 8,Ｏサイレンストゥｰレ, 37,北村友, 1.5, 26, -34,   0,16,103.5, ⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13,14,Ｐホｰマンマジスティ,-29,田村太, 1.6, 27, -22, -13,18,307.1, ⑪⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14,13,Ｇブライアンズイｰラ, 47,池添謙, 1.7, 28, -19, -14, 2,  4.9, ⑨⑩,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,17,Ｎレビュｰスコｰプ, 40,船曳文, 1.9, 17, -24, -15,15, 79.2, ⑫⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,16,Ｍセイウンジェム, 41,中谷雄, 2.1, -4, -14, -25,17,192.5, ⑦⑩,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17, 3, ミュジックセリエル,---,中村将, 2.5, 11, -45,  -5,11, 52.3, ⑰⑰,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,15, ペガサスダイヤ,---,田中克, 3.5,-36, -50, -15, 8, 29.3, ⑱⑱,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:-8),,,,,,,,,,,
