06年10月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年10月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.6,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.3,,,,,■10R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tvk賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａニシノクイック, 61,吉田隼,, 66,  -9,* 12, 1,  1.8, ⑩④, 1, 5, フリｰスタイル,,田中剛,,,,, 1,  2.0,①①①, 1, 4,Ｆメガクライト, 62,柴田善,, 74,   4,* 11, 3,  5.7, ④④, 1,15,Ａアンクルリｰサム, 81,四位洋,, 86,*  5,* 18, 2,  4.1, ①①
 2, 8,Ｂエアリアｰナ, 53,イネス, 0.3, 59,  -8,   6, 2,  3.0, ④③, 2,10, クｰカイ,,穂苅寿, 0.2,,,, 3,  6.3,⑦⑤③, 2,11,Ｉツルマイクィｰン, 59,後藤浩, 0.6, 69,   3,   6, 7, 21.9, ⑥⑥, 2,16,Ｋデュヴァル, 69,福永祐, 0.4, 80,*  4,  15, 4,  6.0, ②②
 3, 2,Ｆフィｰルフィット, 43,木幡初, 0.4, 59, -16,* 15, 4, 11.2, ⑨⑩, 3, 9, メイショウイグアス,,小坂忠, 1.4,,,, 4,  8.9,③③③, 3, 7,Ｃゴｰルドオアシス, 64,吉田豊, 0.7, 67,   0,* 10, 2,  4.3, ⑬⑫, 3,12,Ｂグランプリオｰロラ, 78,武豊  , 0.7, 77,   2,  15, 3,  4.7, ⑤④
 4, 9,Ｈケイアイコンテンツ, 39,大野拓, 0.8, 50,* -6,  -6, 6, 35.0, ②②, 4,11, エイユｰフォｰラム,,北沢伸, 1.6,,,, 2,  4.4,⑤③⑤, 4, 1,Ｂニュｰグランジ, 65,田中勝, 0.7, 68,   2,   7, 1,  2.8, ⑧⑧, 4,10,Ｆコリントシチｰ, 72,吉田豊, 0.9, 75,   1,  14, 6, 11.8, ⑦⑦
 5, 1,Ｃエタｰナルフラワｰ, 49,柴田善, 0.8, 53, -15,   7, 3,  7.4, ⑥⑩, 5, 1, マイネルシルバｰト,,大庭和, 1.9,,,, 5, 14.2,⑥⑧⑧, 5, 8,Ｊブルｰポラリス, 59,佐藤聖, 0.8, 64,   0,*  7,12, 74.5, ⑩⑪, 5, 7,Ｃサヨウナラ, 76,安藤勝, 0.9, 76,   0,  15, 1,  3.7, ⑦⑨
 6, 6,Ｅコスモミッドナイト, 43,池田鉄, 1.6, 43, -10,  -9, 9,128.3, ⑥⑦, 6, 7, メモリｰオブヨｰク,,山本康, 1.9,,,,12,151.1,③⑤⑥, 6,15,Ｅパリサンジェルマン, 62,岩田康, 1.1, 66,*  6,  -4, 6, 16.7, ②②, 6, 6,Ｅマルタｰズマッシブ, 73,吉田隼, 1.3, 75,  -6,* 18, 5,  9.9, ⑭⑭
 7, 4,Ｌショットモｰド,-48,石橋脩, 1.9, 38,  -8, -17, 8, 93.4, ⑤④, 7, 2, ブルｰデスティニｰ,,金子光, 2.3,,,, 9, 69.2,②②②, 7,13,Ａランタナ, 66,藤田伸, 1.7, 59,   2,  -3, 5, 10.9, ⑧⑧, 7, 5,Ｐカフェフロリデアン, 58,横山義, 1.3, 72,  -3,  15,16,207.5, ⑫⑫
 8, 7,Ｊダイワモナｰク, 18,北村宏, 2.4, 31,  -8, -24, 5, 29.2, ⑥④, 8, 3, ハウルサンダｰ,,沢昭典, 2.4,,,, 8, 26.0,⑦⑦⑥, 8, 6,Ｌフジファレノプシス, 54,江田照, 1.9, 57,   0,  -2, 8, 22.1, ⑮⑫, 8, 2,Ｎショウグンエックス, 63,大庭和, 1.4, 69,  -1,  12,11, 79.0, ⑨⑩
 9, 5,Ｉショウナンパフィｰ, 22,吉田豊, 2.5, 27,* -2, -36,12,195.7, ①①, 9,14, メイショウハｰデス,,白浜雄, 2.5,,,, 6, 16.9,⑩⑩⑩, 9,10,Ｇアドマイヤヒラリｰ, 61,武豊  , 2.1, 55,  -1,  -2, 4,  6.6, ⑬⑮, 9, 8,Ｌブルｰチェイサｰ, 68,田中勝, 1.5, 66,   1,   8,13,107.1, ⑨⑦
10,11,Ｇジェンツウェイ, 41,田面木, 2.8, 26, -11, -26, 7, 55.9, ⑩⑧,10, 4, ノボライトニング,,蓑島靖, 3.5,,,,14,213.4,⑩⑪⑪,10,12,Ｎウスイ, 48,松岡正, 2.7, 50,   0, -10,10, 59.0, ⑫⑫,10,13,Ｉチョウカイミッキｰ, 70,柴田善, 1.5, 64,*  3,   5, 7, 18.9, ③②
11,10,Ｋユｰワロンシャン,  9,穂苅寿, 4.0, 10, -17, -37,10,163.8, ⑫⑫,11, 6, リリｰスナイパｰ,,佐久間, 4.4,,,,10,114.0,⑬⑬⑫,11, 2,Ｄチャッティｰギャル, 62,勝浦正, 3.0, 49,   3, -16, 9, 37.5, ⑥⑥,11, 4,Ｊダンシングホｰク, 70,池田鉄, 1.7, 65,  -1,   9,12, 93.8, ⑨⑩
12, 3,Ｄサフラントウショウ, 44,中舘英, 5.4,-15, -12, -67,11,180.7, ②⑧,12,13, ビッグトワイニング,,横山義, 4.7,,,, 7, 20.8,⑦⑨⑨,12, 9,Ｈテンジンノジョオｰ, 59,北村宏, 3.1, 48,   2, -15,13, 75.3, ⑩⑩,12,11,Ｈエプソムボス, 71,石神深, 1.8, 67,  -5,  13, 8, 30.8, ⑭⑭
,,,,,,,,,,,,13, 8, デイトレｰダｰ,,高野和, 5.7,,,,11,141.1,⑫⑫⑫,13, 3,Ｐフジノリサコ, 45,村田一, 3.3, 47,   4, -21,15,261.3, ④④,13, 9,Ｄイチライタッチ, 74,吉永護, 2.1, 58,   2,   0, 9, 40.4, ⑤④
,,,,,,,,,,,,14,12, ニッシンノホシ,,五十嵐,11.9,,,,13,208.0,⑭⑭⑭,14,16,Ｋスプリングダイアン, 57,柴山雄, 3.4, 46,*  5, -24,14,168.2, ②③,14, 1,Ｍオンワｰドヒリュウ, 68,大野拓, 2.1, 60,  -3,   7,14,118.5, ⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,15,14,Ｍフサイチカスケｰド, 52,四位洋, 6.0, 27,*  6, -52,11, 62.2, ①①,15, 3,Ｇゼンノエキスプレス, 71,小林淳, 2.4, 58,  -5,   7,10, 51.5, ⑯⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,Ｏチアズマックス, 61,江田照, 2.6, 55,   2,  -4,15,129.4, ③④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
