06年 9月 3日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 9月 3日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.4,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.5,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,層雲峡特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂベルベットイｰグル, 51,服部剛,, 57,* -2,  -2, 2,  4.0, ①①, 1, 9, マジックボンバｰ,---,五十嵐,, 51,   0,* -7, 1,  3.4, ④②, 1, 5,Ａセイウンドｰバｰ, 75,内田博,, 71,*  6,*  3, 1,  2.3, ②②, 1,13,Ｄケイエススプリング, 69,松田大,, 74,* -2,* 16, 5, 13.3,②②①
 2, 1,Ａヒカルクロフネ, 60,藤田伸, 0.3, 50,  -5,  -5, 1,  1.3, ②②, 2,11, ファンドリメロデイ,---,岩田康, 0.5, 44,  -6,  -8, 3,  4.7, ⑦③, 2, 1,Ｉサウンドスピリット, 58,本田優, 0.7, 63,  -7,*  7, 4,  9.2, ⑨⑦, 2, 5,Ａナムラカイソク, 74,藤田伸, 0.0, 80,  -5,* 21, 1,  2.1,⑧⑥④
 3, 5,Ｃナリタトパｰズ, 43,河北通, 0.5, 50, -14,*  0, 4, 18.6, ⑥⑤, 3,10, コアレスレｰサｰ,---,柴山雄, 0.6, 41,  -5, -11,10, 60.0, ⑥③, 3, 4,Ｆアポロマグナム, 60,四位洋, 0.8, 60,  -4,   1, 7, 12.3, ⑤⑤, 3, 7,Ｃヒカルバロｰロ, 70,内田博, 0.6, 68,  -4,  14, 4,  6.3,⑤⑥⑥
 4, 3,Ｆサンライトフェロｰ, 20,津村明, 0.8, 42, -12,  -7, 6, 71.1, ④⑤, 4, 6, ハングインゼア,---,本田優, 0.7, 44,   1, -16, 2,  4.0, ④⑦, 4, 3,Ｃキクノハヤブサ, 66,藤田伸, 0.9, 61,*  8,  -7, 5,  9.5, ①①, 4, 3,Ｆビュｰティフルアイ, 69,小林徹, 0.8, 63,  -3,  10, 8, 42.7,③④④
 5, 4,Ｅティンバｰルｰカン, 41,五十嵐, 0.9, 43,  -9,  -7, 5, 18.8, ④④, 5, 1, トキノウン,---,秋山真, 1.0, 39, -19,* -4, 4,  6.2, ⑧⑧, 5,10,Ｄダノンエトランゼル, 64,加藤士, 1.0, 58,  -3,  -1, 6, 10.3, ⑤⑤, 5, 4,Ｂナナヨｰヒマワリ, 73,小原義, 1.0, 63,  -5,  11, 2,  4.7,⑪⑥⑥
 6, 2,Ｄマルマツフェロｰ, 42,菊沢隆, 1.2, 37,  -7, -14, 3, 15.6, ③③, 6, 5, ジョンコ,---,内田博, 1.7, 32,*  6, -36, 5,  6.3, ②③, 6, 6,Ｅファインセンテンス, 63,秋山真, 1.1, 58,   4,  -7, 2,  5.4, ③③, 6, 6,Ｈマルブツブラボｰ, 67,本田優, 1.1, 63,  -6,  12, 6, 16.5,⑨⑩⑨
,,,,,,,,,,,, 7, 4, アイティメルヘン,---,黛弘人, 1.9, 13, -18, -19,11, 69.4, ⑧⑩, 7, 2,Ｈスプリングジュラ, 58,岩田康, 1.1, 58,   3,  -6, 3,  7.5, ③③, 7,12,Ｍスｰパｰブレｰブ, 58,梶晃啓, 1.2, 58,* -2,   5, 9, 60.3,③③③
,,,,,,,,,,,, 8, 8, シルクアロｰ,---,河北通, 1.9,  9, -19, -18, 9, 46.8, ⑧⑩, 8, 9,Ｇエイシンサンバレｰ, 60,柴山雄, 1.3, 56,  -6,  -1, 9, 22.1, ⑨⑨, 8,11,Ｅアドマイヤメガミ, 69,岩田康, 1.3, 58,  -4,   7, 3,  5.7,⑤⑥⑥
,,,,,,,,,,,, 9, 3, カレンナサクラ,---,武士沢, 2.1, 29,*  9, -45, 6, 17.7, ①①, 9, 8,Ｊムソウ, 57,黛弘人, 1.3, 54,  -5,  -3,10,259.8, ⑦⑦, 9, 1,Ｇシャイニングピアス, 67,四位洋, 1.3, 65,  -8,  15, 7, 39.0,⑬⑬⑪
,,,,,,,,,,,,10, 2, スピｰディワンダｰ,---,北村宏, 2.5, -5, -16, -27, 7, 22.7, ⑧⑧,10, 7,Ｂノボキッス, 67,北村宏, 1.5, 52,  -5,  -5, 8, 16.6, ⑦⑩,10, 9,Ｉエリモジェンヌ, 66,柴原央, 1.3, 62,  -7,  12,12,141.3,⑨⑫⑪
,,,,,,,,,,,,11, 7, キングブレｰヴ,---,川島信, 2.5, 15,   3, -48, 8, 30.8, ②③,,,,,,,,,,,,,11, 2,Ｌメジログリｰン, 58,柴山雄, 2.2, 50,  -6,   1,11,124.0,⑫⑩⑬
