06年11月26日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年11月26日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.6,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3.5,,,,,■10R  芝2400m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｵﾘｴﾝﾀﾙ賞,,,,,,,,,,,,ｼﾞｬﾊﾟﾝｶｯﾌﾟ ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｃタカラヘリオス, 51,後藤浩,, 66,   4,*  1, 1,  1.7, ③③, 1, 4, エｰシンピｰシｰ,---,北村宏,, 48,* -6,  -1, 8, 20.4,①①①, 1, 8,Ｈガンメタルブラック, 73,ルメｰ,, 81,   3,* 18,13, 53.3,③⑤⑤, 1, 6,Ａディｰプインパクト,101,武豊  ,,106,   7,* 39, 1,  1.3,⑪⑪⑦
 2, 5,Ｂコスモリバイアサン, 51,藤田伸, 0.0, 65,   3,*  2, 3,  5.9, ④③, 2,11, コンジキノシシオウ,---,後藤浩, 0.3, 46,* -7,  -4, 5, 14.4,②②②, 2, 6,Ｆイントゥザグルｰヴ, 75,武豊  , 0.2, 84,   5,* 20, 1,  2.4,⑥⑥⑦, 2, 7,Ｂドリｰムパスポｰト, 97,岩田康, 0.3, 90,   8,  29, 5, 16.2,④⑤④
 3,15,Ｄコアレスディガｰ, 48,岩田康, 1.3, 55,*  6, -15, 5, 13.7, ①①, 3, 8, セイウンヒｰロｰ,---,松岡正, 0.6, 62, -20,* 20, 1,  2.7,⑨⑩⑦, 3, 4,Ｎリキサンポイント, 66,横山典, 0.2, 76,   5,  13, 7, 15.2,②②②, 3, 3,Ｃウィジャボｰド, 94,デット, 0.4, 94,   7,  33, 3,  9.5,⑩⑨⑦
 4, 2,Ｅエネルマリン, 45,勝浦正, 1.4, 50,   0,  -9, 8, 80.3, ⑥⑥, 4,15, シンボリショパン,---,柴山雄, 0.9, 45, -17,   9,12,104.1,⑥⑤④, 4, 5,Ｍレディインブラック, 69,田中勝, 0.5, 75,   3,  14,14, 60.3,⑧⑧⑦, 4,10,Ｆコスモバルク, 91,五十嵐, 0.6, 79,* 11,  18, 6, 40.9,①①①
 5,13,Ｎエイワベンケイ, 11,松岡正, 1.5, 53,*  5, -16, 4,  8.1, ②②, 5, 7, クリフバニヤン,---,田中勝, 1.0, 44, -18,   9, 2,  3.6,④⑤⑥, 5, 9,Ｄアクレイム, 75,藤田伸, 0.5, 80,   3,* 19, 3,  8.1,⑧⑧⑨, 5, 8,Ｈフサイチパンドラ, 88,福永祐, 0.8, 78,*  9,  19, 8, 52.6,④③③
 6,11,Ｍタカラアンナ, 17,佐藤聖, 1.6, 44,  -4,  -9,10,156.8, ⑩⑧, 6,14, アロハスタイル,---,藤田伸, 1.0, 47, -19,  12, 4,  9.2,⑨⑧⑦, 6, 3,Ｊキャッチｰタイトル, 71,吉田豊, 0.5, 69,*  6,   7, 5, 13.0,③③②, 6,11,Ｅメイショウサムソン, 93,石橋守, 0.8, 81,   7,  23, 4, 16.0,⑥⑥④
 7,16,Ｌサチノオリｰブ, 18,鈴来直, 1.8, 48,   3, -16,14,561.7, ④③, 7,10, グレイトフルタイム,---,吉田豊, 1.2, 52, -23,* 17, 3,  5.3,⑬⑪⑪, 7,15,Ｇヤマニンスプラウト, 74,石橋脩, 0.6, 78,   0,* 19,12, 50.5,⑫⑫⑫, 7, 9, フリｰドニア,---,ジレ  , 0.9, 84,   6,  27, 9, 90.2,⑨⑨⑪
 8, 8,Ｉシルキｰアテナ, 34,池田鉄, 2.0, 44,  -1, -14, 9, 95.0, ⑥⑥, 8, 9, リノヴァティオ,---,石橋脩, 1.5, 36, -19,   4,13,163.9,⑥⑧⑦, 8, 7,Ｅバトルスタｰボウ, 75,柴田善, 0.6, 75,   1,  16, 8, 17.0,⑬⑩⑨, 8, 2,Ｇスウィフトカレント, 91,横山典, 1.0, 79,   7,  22, 7, 43.3,⑥⑥⑦
 9, 9,Ａマセラティスタ, 62,穂苅寿, 2.5, 39,  -4, -16, 2,  4.7, ⑥⑨, 9, 2, マイネルヘンリｰ,---,柴田善, 1.6, 54, -28,* 20,11, 61.5,⑬⑭⑭, 9, 1,Ｉニシノフリｰダム, 72,津村明, 0.7, 69,   4,   9, 2,  5.4,⑥⑥⑤, 9, 5,Ｉトｰセンシャナオｰ, 78,後藤浩, 1.6, 72,* 10,   3,10,151.1,②②②
10, 1,Ｈショットモｰド, 35,木幡初, 2.7, 41, -17,* -3, 7, 59.1, ⑮⑮,10, 3, コスモジロウ,---,岩田康, 1.7, 33, -19,   1, 6, 18.1,⑥⑦⑦,10,13,Ｋロケットパンチ, 71,的場勇, 1.4, 59,  -1,   5,10, 30.5,⑬⑬⑫,10, 1,Ｄハｰツクライ, 93,ルメｰ, 2.6, 71,   8,  -5, 2,  5.8,③③④
11,12,Ｆジェイキング, 36,五十嵐, 2.7, 39, -12,  -9, 6, 32.8, ⑬⑬,11,13, アリマサクセス,---,横山典, 2.1, 32, -17, -10, 7, 19.2,④③④,11,14,Ｂダイワブレスイング, 78,北村宏, 1.5, 58,   4,  -6,11, 34.1,⑤③④,11, 4,Ｊユキノサンロイヤル, 71,田中勝, 3.2, 66,   7, -11,11,217.8,⑧⑥⑦
12,14,Ｏリカオｰウィナｰ,-33,水出大, 3.6, 30, -11, -21,16,593.4, ⑪⑪,12,12, メジロビアンカ,---,吉田隼, 2.2, 28, -25,   3,14,243.7,⑪⑪⑫,12,11,Ｃヒカルドウキセイ, 76,後藤浩, 1.6, 63,  -1,   9, 6, 13.7,⑯⑮⑮,,,,,,,,,,,,
13, 7,Ｊヤマショウオペラ, 28,村田一, 3.9, 29, -15, -17,13,524.4, ⑭⑭,13, 6, ゲンパチゴｰルド,---,蛯名正, 3.3,-44, -16, -32, 9, 45.1,③③③,13,16,Ａユウタｰジャック, 80,蛯名正, 1.7, 57,  -1,   3, 4, 12.0,⑧⑬⑭,,,,,,,,,,,,
14,10,Ｋスナｰクヨｰクン, 25,石神深, 4.8, 21,  -4, -39,12,225.8, ⑥⑨,14, 5, ゲルトリｰバｰ,---,田辺裕, 3.4, -1, -25, -15,15,266.9,⑪⑪⑫,14, 2,Ｌモエレフェニックス, 69,松岡正, 1.9, 62,*  9, -22, 9, 23.0,①①①,,,,,,,,,,,,
15, 4,Ｇタケイチバン, 35,加藤士, 6.4,-54, -30, -25,11,217.7, ⑯⑯,15, 1, アストラルレイ,---,五十嵐, 4.1, 14, -39,   6,10, 50.7,⑮⑮⑮,15,10,Ｏハイタイド, 61,石橋守, 2.3, 51,   0, -11,15,137.8,⑧⑩⑨,,,,,,,,,,,,
16, 3,Ｐピｰスフォエバｰ,-83,嘉藤貴, 6.9,-24,  -9, -54,15,591.1, ⑪⑪,,,,,,,,,,,,,16,12,Ｐアロハスピリッツ, 26,武士沢, 2.9, 44,  -6, -11,16,504.7,⑮⑮⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+15 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+21 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:98 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+19 馬場:良(指数:-1),,,,,,,,,,,
単勝:170円 複勝:06=110円 05=130円 15=200円 枠連:420円,,,,,,,,,,,,"単勝:2,040円 複勝:04=490円 11=360円 08=140円 枠連:2,670円",,,,,,,,,,,,"単勝:5,330円 複勝:08=1,270円 06=150円 04=370円 枠連:2,110円",,,,,,,,,,,,単勝:130円 複勝:06=110円 07=210円 03=190円 枠連:750円,,,,,,,,,,,
馬連:390円 ワイド:05-06=180円 06-15=330円 05-15=480円,,,,,,,,,,,,"馬連:11,700円 ワイド:04-11=2,930円 04-08=730円 08-11=750円",,,,,,,,,,,,"馬連:8,510円 ワイド:06-08=3,080円 04-08=6,760円 04-06=680円",,,,,,,,,,,,馬連:750円 ワイド:06-07=270円 03-06=280円 03-07=840円,,,,,,,,,,,
馬単:640円 3連複:950円,,,,,,,,,,,,"馬単:26,000円 3連複:7,640円",,,,,,,,,,,,"馬単:28,310円 3連複:21,610円",,,,,,,,,,,,"馬単:860円 3連複:1,400円 3連単:3,830円",,,,,,,,,,,
■ 2R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.3,,,,,■ 5R  ダ1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5.8,,,,,■ 8R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.2,,,,,■11R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｼｬﾝｸﾞﾘﾗ賞,,,,,,,,,,,,ｱﾌﾟﾛｰｽﾞ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａクランエンブレム, 71,武豊  ,, 71,*  1,*  7, 1,  1.0, ①①, 1, 4,Ｇエスケｰカントリｰ, 65,吉永護,, 68,   2,* 11, 8, 56.8, ⑬⑭, 1, 3,Ｅバトルハｰトオｰ, 72,吉田隼,, 72,  -1,  13, 5, 11.6, ⑤⑤, 1, 9,Ｂシルクタイガｰ, 81,藤田伸,, 87,  -6,* 31, 1,  4.5, ⑩⑫
