06年 1月21日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 1月21日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(抽) 馬齢,,,,,,,,,,,,■ 4R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(牝) 別定,,,,,,,,,,,,■10R  ダ1400m 4歳上1000万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,河原町特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｃテンザンモビｰル, 45,松永  ,, 58,  -9,*  5, 4,  6.1,⑨⑧⑤, 1, 2,Ｂタガノボｰディング, 60,安藤勝,, 67,*  2,*  1, 1,  2.2,②②②, 1, 8,Ｂメジロカｰル, 66,武豊  ,, 69,  -1,*  6, 1,  1.8,⑥⑤③, 1, 7,Ｇボｰドスウィｰパｰ, 74,太宰  ,, 84,   1,* 19, 8, 35.4,⑪⑩⑧
 2, 8,Ａオレンジシンジュ, 50,熊沢  , 0.6, 53,*  1, -11, 2,  4.7,②②②, 2,12,Ｈロｰドアルファｰド, 44,藤田  , 0.0, 67,*  3,* -1, 5, 15.2,①①①, 2, 7,Ｉエイダイダンツ, 55,岩崎  , 0.5, 64,*  0,  -2,11,115.0,②②①, 2, 5,Ａアルドラゴン, 80,藤田  , 0.0, 83,   4,* 16, 2,  4.2,⑧⑦⑦
 3, 6,Ｌウインフェイム, 30,四位  , 0.7, 47, -15,*  4, 5,  8.7,⑪⑪⑫, 3, 8,Ｃエリモエクスパイア, 54,佐藤哲, 0.7, 59,*  1,  -8, 3,  6.7,⑤④④, 3, 5,Ｃアキノロマンス, 61,四位  , 0.8, 63,  -2,   0, 3,  7.1,⑦⑦④, 3,11,Ｃウインセイヴァｰ, 77,本田  , 0.3, 81,   6,  10, 1,  1.7,④③②
 4, 4,Ｇブレイズワン, 43,本田  , 0.8, 48,  -8,  -4, 3,  5.1,⑥⑥⑦, 4,14,Ｊギュリル, 41,熊沢  , 0.8, 60,   0,  -7, 2,  2.9,⑧⑧⑤, 4,10,Ａビクトリアメｰク, 68,小牧太, 1.1, 59,  -2,  -2, 2,  5.2,⑧⑧⑨, 4, 9,Ｌワｰルドドン, 71,安藤勝, 0.6, 77,*  9,   4, 5, 18.2,②①①
 5, 7,Ｉオｰメドック, 40,幸    , 0.9, 51,*  2, -15, 7, 18.0,①①①, 5, 4,Ａウエスタンホｰク, 60,四位  , 0.8, 59,  -2,* -2, 4, 10.2,⑧⑨⑦, 5, 4,Ｊツルミベレイザ, 54,石橋守, 1.3, 60,  -2,  -4, 7, 32.5,⑫⑩④, 5, 1,Ｂコレデイイノダ, 78,池添  , 0.7, 75,   1,  12, 9, 41.2,⑨⑩⑪
 6, 3,Ｋイイデカミノヤマ, 35,安藤勝, 1.0, 44, -15,   1,12,108.9,⑪⑪⑫, 6, 1,Ｆティアラプリンセス, 46,太宰  , 1.0, 55,   0, -10,15,278.2,⑤⑥⑤, 6,11, マコトジョワイユｰ,---,安部幸, 1.3, 57,  -3,  -3, 5, 13.9,⑧⑩⑪, 6, 8,Ｅスナｰクファルコン, 76,秋山  , 0.9, 75,   6,   4, 3, 10.9,③③②
 7, 5,Ｂミッドナイトスタｰ, 47,藤田  , 1.2, 44, -10,  -6, 9, 34.6,⑧⑨⑨, 7,15,Ｅタガノアルサルディ, 53,本田  , 1.2, 53,*  2, -17, 8, 45.2,④③③, 7,13,Ｅキシュウレディ, 60,黒岩  , 1.3, 58,  -4,  -1,10, 86.1,⑩⑫⑪, 7,10,Ｉツタンカｰメン, 73,武豊  , 1.1, 72,   3,   6, 4, 11.7,⑦⑦⑧
 8,13,Ｅペプチドジャスパｰ, 44,小坂  , 1.2, 44,  -8,  -8, 6, 11.1,⑦⑥⑦, 8,16,Ｌダイナミックルｰト, 40,安部幸, 1.3, 53,  -2, -10,13,162.6,⑧⑨⑦, 8, 6,Ｈトｰワイｰトゥｰ, 56,安藤勝, 1.4, 56,*  0, -11, 8, 33.7,①①②, 8, 4,Ｍハリｰコマンド, 71,小牧太, 1.1, 72,   1,   9,11, 67.4,⑪⑩⑪
