06年 6月25日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 6月25日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.4,,,,,■ 4R  芝2750m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7.9,,,,,■10R  ダ1150m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鶴ヶ城特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ａレインボｰデザイア, 63,大野拓,, 58,*  2,  -3, 1,  2.0, ②②, 1, 9, アツスパｰコ,,宗像徹,,,,, 5, 14.3,③①①, 1, 6,Ｄトウショウアラジン, 43,伊藤直,, 68,*-11,* 16, 2,  3.0,②②②, 1, 2,Ｊチアズヒカリ, 69,吉田隼,, 90,* 14,* 17, 7, 16.5, ②①
 2, 5,Ｆオｰデコロン, 48,村田一, 0.1, 60,*  3,  -3, 7, 29.8, ①①, 2, 1, フォレストダンス,,金子光, 0.2,,,, 3,  5.9,③④②, 2, 2,Ｂハイエンドクォｰツ, 49,内田博, 0.7, 62, -14,* 14, 1,  2.2,⑦⑦⑦, 2,16,Ａマイティシルバｰ, 79,後藤浩, 1.3, 78,* 13,   5, 1,  2.7, ③③
 3, 6,Ｃヤマニンアマランス, 54,吉田隼, 0.2, 56,  -5,*  1, 4,  9.6, ⑧⑥, 3, 4, スガノグラスワン,,柴田大, 1.3,,,,10, 62.6,⑦⑤④, 3, 4,Ａアドリアシチｰ, 51,蛯名正, 0.8, 53,*-10,   7, 4,  9.4,①①①, 3, 3,Ｍカイテキネオ, 67,中舘英, 1.5, 73,   7,   7, 3,  5.5, ⑦⑥
 4,12,Ｅトｰセンピュア, 48,内田博, 0.8, 52,  -1,  -7, 8, 33.5, ④④, 4, 3, ベルゲン,,今村康, 1.3,,,, 1,  2.3,②②③, 4, 3,Ｋバブルケット, 36,江田照, 1.5, 46,*-12,   3, 9,101.8,④④③, 4,15,Ｃクリアエンデバｰ, 75,吉田豊, 1.5, 72,   1,* 13, 6, 16.4, ⑫⑨
 5, 8,Ｄネイチャｰガイド, 48,蛯名正, 1.0, 50, -11,*  0, 5, 10.8, ⑫⑩, 5, 5, セイウンバンチョｰ,,林満明, 2.4,,,, 7, 20.7,⑤⑥⑥, 5,14,Ｇニチリンカチドキ, 39,吉田豊, 1.6, 45, -13,   3, 7, 38.2,⑨⑥⑤, 5,13,Ｆハニｰハント, 71,江田照, 1.6, 72,   5,   9,10, 23.9, ⑨⑧
 6, 7,Ｊタイキシｰリア, 36,小林淳, 1.1, 49,   0, -11, 9, 48.5, ④④, 6, 2, オｰスミナイス,,白坂聡, 2.9,,,,11, 62.9,⑬⑫⑨, 6, 5,Ｅリリコスピント, 41,後藤浩, 1.8, 42,*-12,   0, 3,  5.0,⑤④③, 6,14,Ｉサンデｰフラッパｰ, 70,小野次, 1.6, 74,* 14,   0, 4,  9.2, ①②
 7,10, ヘリテｰジロｰズ,---,中舘英, 1.1, 48, -13,*  0, 2,  4.2, ⑬⑭, 7,11, ギャンブルダンサｰ,,平沢健, 2.9,,,,13,182.0,⑥⑦⑦, 7,11,Ｃトｰセンアニラ, 44,大野拓, 1.9, 40, -15,   1,13,176.5,⑨⑦⑧, 7, 8,Ｐゴｰルドディスク, 55,小林淳, 2.1, 68,  11,  -1,13, 66.3, ④④
 8, 1, チョウカイクリス,---,北村宏, 1.2, 47, -15,*  1,10, 58.0, ⑭⑫, 8,13, グロｰリｰジョン,,五十嵐, 3.0,,,, 2,  3.6,①③④, 8,10,Ｉルスナイレンジャｰ, 37,内田浩, 2.2, 41, -15,   2,11,113.0,⑨⑩⑨, 8, 7,Ｎミヤギノダンシング, 57,西田雄, 2.1, 67,   4,   5,15,235.4, ⑨⑩
