06年 9月 2日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 9月 2日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:15.3,,,,,■ 4R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7.8,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.6,,,,,■10R  ダ1700m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TVQ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａカシノマイハｰト, 79,上野翔,, 70,*  7,*  1, 4,  6.0, ②②, 1, 7,Ｅシゲルカイケハイ, 43,太宰啓,, 60,   3,* -3, 6, 17.2, ②②, 1, 6,Ｃヒシワンスモア, 64,福永祐,, 63,  -4,*  8, 3,  5.0,④⑥③, 1, 7,Ｄメイショウエイシ, 74,飯田祐,, 77,*  4,  15, 7, 17.3,①①①
 2, 4,Ｃナンゴクプラネット, 66,熊沢重, 0.3, 70,* 11,  -3, 1,  2.4, ①①, 2, 2,Ｌロングエキサイト, 22,田嶋翔, 0.6, 55,*  4, -10, 7, 23.4, ②①, 2, 2,Ｊグレｰトパレス, 44,熊沢重, 0.4, 59,  -7,*  7,12,103.4,⑦⑪⑥, 2, 6,Ｃシゲルダンプウ, 76,鮫島良, 0.2, 77,*  3,  16, 5, 14.9,④②②
 3, 2,Ｈジョｰテレジア, 45,和田竜, 0.9, 53,   4,  -8, 5, 11.9, ③③, 3, 6,Ｆシゲルジコバイバイ, 43,池添謙, 0.6, 50,   0,* -7, 3,  8.5, ④④, 3, 9,Ａサダムサウンドアイ, 66,中村将, 0.4, 55,  -6,   1, 2,  4.4,③⑥⑤, 3, 2,Ｂアマノトレンディｰ, 77,鮫島克, 0.3, 78,   1,* 18, 3, 12.7,⑧⑤⑥
 4, 9,Ｂアントラン, 73,福永祐, 1.0, 45,  -2,  -8, 2,  4.4, ⑤③, 4, 1,Ａヴァｰツラフ, 53,田中克, 1.0, 43,  -2, -13, 2,  6.2, ④④, 4,13,Ｅブルｰレパｰド, 58,飯田祐, 0.5, 55,  -8,*  8, 8, 14.5,⑭⑫⑩, 4,12,Ｅメイショウシャフト, 74,角田晃, 0.5, 74,   1,  15, 2,  8.3,⑥⑤④
 5, 6,Ｆアドマイヤデュｰク, 52,上村洋, 1.1, 44,  -2, -10, 3,  5.1, ⑤⑥, 5, 8,Ｈカネトシパワｰズ, 37,中村将, 1.6, 36,  -2, -19, 5, 12.1, ④⑦, 5,16,Ｆブルｰマタドｰル, 56,鮫島良, 0.5, 56,* -3,  -4, 6, 11.7,⑦②②, 5,11,Ｊバイオレットボス, 70,小坂忠, 0.8, 77,  -5,* 21,14, 98.0,⑭⑭⑭
 6, 7,Ｄグッドヘラクレス, 58,太宰啓, 1.4, 41,   3, -18, 6, 13.9, ③③, 6, 4,Ｃブライティアビスタ, 46,田中学, 1.6, 44,*  4, -20, 8, 39.1, ①②, 6,11,Ｋクリノライアン, 44,鮫島克, 0.8, 52,  -6,  -1, 7, 12.1,⑦⑧⑥, 6,15,Ｈインペリアルパワｰ, 71,橋本美, 1.1, 76,  -3,* 20,10, 25.6,⑮⑭⑭
 7, 3,Ｉスｰパｰヴァイザｰ, 41,佐藤哲, 1.8, 35, -14, -13, 9, 46.3, ⑧⑧, 7,14,Ｄホｰマンマジスティ, 44,田村太, 1.7, 35, -13, -13,12,264.8, ⑪⑩, 7,10,Ｄスナｰクチトセオｰ, 61,北村友, 0.9, 46, -12,   4,13,133.0,⑫⑬⑫, 6,10,Ｍイブキサブデュｰ, 67,池添謙, 1.1, 67,*  5,   8,12, 36.6,②②②
 8,11,Ｊカシノマキバオｰ, 25,幸英明, 1.8, 31,  -5, -19,10,142.6, ⑦⑥, 8,13,Ｉベルトリック, 35,上野翔, 1.8, 32,  -9, -15,11,218.2, ⑨⑨, 8, 4,Ｂダディｰズメモリｰ, 65,川田将, 1.0, 51,* -1, -13, 1,  3.5,⑩①①, 8, 4,Ｆサテライトキャノン, 74,幸英明, 1.2, 66,   3,   9, 1,  1.8,④⑤④
