06年 9月23日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 9月23日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.6,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.1,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.8,,,,,■10R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,積丹特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｂバクシンヒロイン, 53,藤岡佑,, 68,* -7,*  9, 1,  2.1, ②②, 1,11,Ｂレイジングザバｰ, 54,藤田伸,, 66,* -2,*  6, 2,  5.7,①①①, 1, 8,Ｃバンダムロッシ, 64,塚田祥,, 63,* -8,* 12, 4,  7.8,②②②, 1, 3,Ｇハイタイド, 59,竹之下,, 74,   9,*  3, 9, 48.2,⑤⑤④
 2, 3,Ａラストベガ, 55,川島信, 0.4, 57,* -5,   2, 2,  3.0, ①①, 2, 4,Ｇメイショウルイｰズ, 47,柴山雄, 0.0, 68,* -4,*  9, 6, 17.2,③③③, 2, 3,Ｂアグネスハッピｰ, 65,四位洋, 0.2, 65,  -9,* 14, 1,  2.0,④⑤③, 2, 1,Ｂタニノディキディキ, 69,武幸四, 0.1, 71,*  9,  -4, 2,  5.2,③③③
 3, 4,Ｆケイアイチアフル, 36,菊沢隆, 0.6, 55, -12,*  5, 7, 27.9, ⑤⑤, 3, 7,Ａロｰランラムズ, 62,武幸四, 0.2, 64,* -3,*  5, 1,  1.5,②②②, 3, 7,Ａペプチドジャスパｰ, 74,武英智, 0.2, 61,* -8,  10, 3,  4.0,①①①, 3, 2,Ｅメジロハスラｰ, 65,四位洋, 0.5, 70,   7,*  3, 7, 14.2,⑧⑧⑦
 4, 1,Ｄナリタトパｰズ, 41,河北通, 0.8, 49,  -8,  -1, 5, 13.1, ③③, 4,10,Ｅキラメキパスワｰド, 48,小林徹, 1.1, 55,  -5,   2, 5, 14.6,⑧⑥⑤, 4, 4,Ｆサカイヤベンケイ, 55,柴山雄, 0.9, 55,  -9,   8, 6, 33.8,④⑥⑥, 4, 5,Ｄハンシンテイオｰ, 65,藤岡佑, 0.6, 68,* 12, -15, 6, 13.9,①①①
 5, 5,Ｃメイショウハピネス, 45,武幸四, 1.0, 47, -13,   0, 3,  5.6, ⑦⑥, 5, 2,Ｄサンタナシチｰ, 53,菊沢隆, 1.5, 53,  -8,   2, 4, 11.4,⑪⑨⑦, 5, 9,Ｄワンダｰタイガｰ, 63,藤田伸, 1.6, 46,  -8,  -1, 2,  3.7,③③③, 5, 9,Ｃプロヴァンス, 66,藤田伸, 0.8, 65,   8,  -8, 4,  8.4,⑦⑥⑥
 6, 9,Ｅユキノマｰガレット, 41,須貝尚, 1.4, 38, -10,  -9, 4, 12.2, ③③, 6, 3,Ｈエドノスキｰ, 47,安部幸, 1.8, 47,  -5,  -6, 7, 17.8,⑧⑥④, 6, 1,Ｇコアレスフォルテ, 48,田辺裕, 1.7, 46, -10,   2, 7,125.2,⑥⑦⑦, 6, 4,Ａピエナオンリｰワン, 71,松田大, 1.0, 65,   8, -10, 1,  1.9,⑤⑥⑨
 7, 6,Ｇプラチナブｰケ, 21,藤田伸, 1.7, 35, -12, -12, 6, 19.8, ⑤⑥, 7, 5,Ｍディアフラワｰ,  5,小原義, 3.0, 40,  -4, -19,11,139.6,③④⑤, 7, 2,Ｅキングバッハ, 56,安部幸, 1.9, 46, -13,   5, 5, 29.3,⑧⑧⑧, 7, 6,Ｉキングアｰサｰ, 49,塚田祥, 1.0, 63,   5,  -2, 3,  6.8,⑨⑨⑦
 8, 2,Ｈチェリｰカントリｰ, 19,小林徹, 1.9, 32, -15, -12, 9,176.1, ⑨⑧, 8, 6,Ｌトゥｰマイファン, 34,大野拓, 3.3, 35, -12, -11,12,326.3,⑫⑪⑨, 8, 5, プリンスキング,---,伊藤千, 2.3, 42,  -8,  -9, 9,158.1,⑥③⑤, 8, 7,Ｈフジノダイヒット, 53,宮崎光, 1.3, 60,* 10, -25, 8, 30.1,②②②
