06年11月 4日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年11月 4日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-11.9,,,,,■ 4R  芝2600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7.6,,,,,■ 7R  芝1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.8,,,,,■10R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-8.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,二本松特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｊエｰシンメインリｰ, 10,柴山雄,, 54,* -8,*  2, 2,  4.2,②②②, 1, 6,Ｈシンハルカジョウ, 57,大野拓,, 68,  -1,  14, 7, 33.7,⑤⑤⑤, 1, 1,Ｅテンザンジョイ, 67,大西直,, 79,  -8,* 24, 4,  8.7, ⑫⑩, 1, 5,Ｇカイシュウムサシ, 59,大野拓,, 63,* -1,   7, 8, 25.9,①①①
 2, 5,Ｄキャプテンドリｰム, 35,木幡初, 0.1, 56, -10,*  4, 3,  9.5,③④④, 2, 9,Ｄテイエムフウウンジ, 61,中舘英, 0.0, 66,*  1,  11, 1,  2.2,②①①, 2, 5,Ｆドリｰムキセキ, 67,中舘英, 0.0, 83, -13,* 28, 2,  5.0, ⑭⑩, 2, 9,Ｃマイネルスバル, 65,石橋脩, 0.2, 59,* -2,   5, 3,  5.5,⑤②③
 3,12,Ｇスズライトアップ, 30,二本柳, 0.5, 48,* -9,  -2, 7, 26.8,③②③, 3, 3,Ｃジュンノホｰプ, 62,大庭和, 0.3, 69,  -1,  15, 4,  7.6,⑧⑦⑥, 3, 7,Ｉレオリリｰ, 64,柴田大, 0.1, 71,   0,  15, 8, 21.1, ⑧⑧, 3, 4,Ｉドレスコｰド, 56,赤木高, 0.2, 68,  -7,* 15, 4,  7.2,⑨⑨⑦
 4,14,Ｅサンベルナｰル, 35,津村明, 0.9, 42,* -8,  -7, 4, 11.2,①①①, 4, 5,Ｉリワｰドプレザン, 47,佐藤聖, 0.3, 57,*  0,   4, 9, 93.8,①②②, 4, 8,Ａトｰセンデイジｰ, 73,スボリ, 0.1, 70,   3,  11, 1,  2.6, ⑤③, 4, 2,Ｆゴｰルドルパン, 61,スボリ, 0.3, 60,  -3,   7, 2,  3.9,⑤⑤③
 5, 7,Ｂスタｰシップ, 40,中舘英, 1.3, 42, -12,  -4, 1,  1.8,⑧⑧⑨, 5,10,Ｂパｰプルファルコン, 65,北村友, 0.3, 57,*  0,   4, 5,  8.1,④②②, 5, 6,Ｂフラワｰレインボｰ, 70,赤木高, 0.2, 69,  -1,  15, 7, 20.7, ⑧⑩, 5, 7,Ｅユキノボｰイ, 61,橋本美, 0.4, 59,  -5,   7, 5,  7.4,⑧⑤⑥
 6, 6,Ａコスモシウテクトリ, 49,田中博, 1.3, 39, -13,  -6, 5, 11.5,⑥⑧⑥, 6, 8,Ｅスズカボｰイ, 60,塚田祥, 1.0, 52,*  0,  -5, 3,  7.3,③②②, 6,14,Ｄコウユｰルビｰ, 70,服部剛, 0.2, 67,*  7,   7, 3,  5.6, ②②, 6, 1,Ｌオｰスミサムソン, 45,塚田祥, 0.4, 64,  -6,* 12,12, 64.3,⑨⑨⑩
 7, 4,Ｍタケトヒビキ,-12,佐藤聖, 1.5, 37, -13,  -7,10, 70.3,⑫⑧⑦, 7, 1,Ｊロｰランフェルド, 39,武士沢, 1.3, 52,  -1,   0,10,167.7,⑤⑦⑦, 7,10,Ｎロイヤルオｰキッド, 57,柴山雄, 0.5, 66,  -8,  16,13, 83.5, ⑫⑭, 7, 3,Ｄマイネルブｰバリス, 62,池田鉄, 0.7, 52,  -4,   1, 6, 17.2,②⑤⑦
 8,15,Ｌジェファｰソン,  6,武士沢, 2.0, 34, -10, -14,14,213.5,⑩④⑤, 8, 2,Ｆキｰプウイン, 59,吉田隼, 1.3, 65,  -6,* 16, 8, 45.4,⑨⑨⑨, 8, 4,Ｈフラワｰパス, 64,大野拓, 0.5, 60,   2,   4, 5, 12.7, ⑤③, 8, 6,Ａセンテヒッショウ, 66,木幡初, 0.9, 49,  -4,  -2, 7, 19.3,④⑤⑦
