06年 7月29日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 7月29日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.6,,,,,■ 4R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.8,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.1,,,,,■10R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,尖閣湾特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｊセンギョウシュフ, 35,勝浦正,, 50,  -9,*  4, 8, 73.2, ⑬⑫, 1,10, ヴァンデグロｰブ,---,塚田祥,, 59,  -4,*  7, 3,  6.3,⑪⑨⑨, 1,13,Ｂロイバｰブリング, 60,吉田隼,, 49,*  1,*-17, 1,  3.6,④④③, 1, 3,Ｄアフリカンビｰト, 71,後藤浩,, 70,*  1,  15, 2,  4.0, ①①
 2, 5,Ａアイアムジュピタｰ, 55,柴田善, 0.0, 49,  -8,  -2, 1,  2.1, ④⑥, 2, 7,Ｂエイシンフｰテン, 58,蛯名正, 0.5, 58,  -1,* -1, 2,  5.7,⑦④②, 2,15,Ｉパナックス, 45,吉田豊, 0.2, 49,   1,*-16,11, 70.2,⑨⑤⑤, 2, 6,Ｋディアプルｰデンス, 59,江田照, 0.0, 73,*  0,  18,12,137.0, ③③
 3, 2,Ｂマイネインティマ, 49,後藤浩, 0.1, 50,  -7,  -1, 3,  4.8, ④④, 3, 4,Ａディレットｰレ, 60,田中勝, 0.5, 59,*  1,  -4, 4,  6.9,②②①, 3, 9,Ｈジェイケイチｰフ, 47,後藤浩, 0.2, 49,*  3, -22, 3,  4.6,③②①, 3,12,Ｇメイショウナイト, 66,高橋亮, 0.1, 70,  -4,* 17, 6, 12.8, ⑤⑤
 4, 9,Ｆコスモジエラ, 39,大野拓, 0.1, 45, -11,*  0, 5, 14.7, ⑧⑨, 4,12,Ｃファイトスタｰ, 57,中舘英, 1.2, 53,*  0,  -8, 1,  2.1,③③②, 4, 3,Ｄタイキレｰザｰ, 50,蛯名正, 0.4, 46,  -3,*-10, 4,  7.2,⑫⑬⑫, 4, 9,Ｅニシノイチバンボシ, 69,田中勝, 0.1, 74,  -2,* 20, 4,  5.3, ⑦⑦
 5,11,Ｄプライドイズハｰト, 45,小野次, 0.4, 44,* -6, -12, 2,  4.4, ②②, 5,14,Ｄアポロコマンダｰ, 55,柴田善, 1.3, 52,  -2,  -6, 5,  7.5,⑧⑦⑥, 5,14,Ｋダイナミック, 43,中舘英, 0.6, 45,*  4, -30, 9, 24.7,②①②, 5,10,Ｂオグリホット, 75,尾島徹, 0.2, 63,* -2,  11, 9, 72.5, ②②
 6,12,Ｌギルティストライク,  7,蛯名正, 1.1, 35,  -7, -21, 6, 16.8, ④④, 6, 8,Ｆベルモントアｰサｰ, 51,吉田隼, 2.1, 45,  -3, -14, 6, 16.7,⑧⑦⑧, 6, 8,Ａブルｰレパｰド, 60,江田照, 0.7, 43,  -2, -18, 2,  4.0,⑨⑩⑨, 6, 4,Ａフルヴィクトリｰ, 77,蛯名正, 0.2, 75,  -3,* 21, 3,  4.4, ⑧⑩
 7, 7,Ｉバｰニングラブ, 36,丹内祐, 1.1, 35,* -6, -22,13,382.7, ②②, 7,13,Ｌデュｰクトｰゴｰ, 38,後藤浩, 2.4, 42,  -6,  -9,11,110.7,⑬⑫⑩, 7, 7,Ｏキングスガｰデン, 37,大西直, 0.9, 41,  -2, -21, 5, 10.3,⑥⑩⑨, 7, 7,Ｃシルキｰステラ, 71,吉田豊, 0.4, 70,  -3,  18, 5,  8.0, ⑧⑦
 8, 8,Ｃアプロｰズヒｰロｰ, 47,小林淳, 1.2, 33, -10, -18,10,112.0, ⑩⑫, 8,11,Ｅユキノスバル, 54,二本柳, 2.5, 43,  -1, -19, 8, 51.5,⑤⑥⑥, 8, 2,Ｆマコトイチバン, 47,大野拓, 0.9, 39,  -6,*-14,12, 75.1,⑮⑰⑮, 8, 5,Ｆダイイチアトム, 69,柴田善, 0.5, 64,  -2,  13, 1,  3.6, ⑤⑤
