06年 5月27日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 5月27日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.9,,,,,■ 4R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.5,,,,,■ 7R  芝2000m 4歳上500万(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-0.5,,,,,■10R  芝1800m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,白百合ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａアグネスラック, 53,福永祐,, 63,*  1,* -1, 2,  4.0,②②②, 1,15,Ｃアスカスマイル, 57,鮫島良,, 62,*  5,  -3, 1,  2.3, ①①, 1, 9,Ｆユニバｰサル, 63,福永祐,, 69,   4,*  7, 3,  5.8,⑧⑥④, 1, 5,Ｊエムエスワｰルド, 69,秋山真,, 81,   9,  12, 6, 20.6,⑭④④
 2, 1,Ｄケイアイシャｰプ, 48,武豊  , 0.3, 61,*  2,  -6, 1,  1.7,①①①, 2,16,Ｊモｰニングドレス, 43,高井彰, 0.4, 60,  -4,*  2,10, 82.3, ④④, 2, 2,Ｂガラディナｰ, 70,秋山真, 0.2, 68,*  6,  -2, 1,  3.1,②②②, 2,12,Ｋソリッドプラチナム, 67,柴原央, 0.0, 82,   2,* 22, 8, 30.6,⑫⑫⑩
 3, 8,Ｂスズカゲラン, 51,河北通, 0.8, 55,  -2,  -4, 3,  7.3,④③③, 3,11,Ａシゲルダイノウカイ, 65,上野翔, 0.4, 53,*  1,  -6, 2,  3.3, ②②, 3, 6,Ｄシｰサイドブリｰズ, 67,安藤勝, 0.2, 67,   2,*  9, 4,  8.7,⑥⑦⑥, 3, 6,Ａトウショウシロッコ, 76,池添謙, 0.1, 83,   3,* 21, 5, 17.5,⑪⑫⑩
 4,13,Ｅアイファｰエキスポ, 47,小牧太, 1.1, 51,  -6,*  2, 5, 16.4,⑯⑦⑦, 4, 5,Ｅアソビゴコロ, 53,柴原央, 0.4, 63, -12,*  9, 8, 23.2, ⑪⑨, 4, 5,Ｅプライムナンバｰ, 64,川田将, 0.6, 61,  -1,*  8, 6, 13.3,⑪⑪⑩, 4, 3,Ｄマイネルポライト, 74,本田優, 0.2, 78,   7,  10, 3,  4.3,⑦⑥⑥
 5, 9,Ｆホクザンワンダフル, 47,岩田康, 1.1, 51,  -7,*  2, 4,  9.7,⑪⑨⑧, 5, 2,Ｏスペシャルネイム, 27,川田将, 0.6, 55,  -8,*  1, 3,  7.0, ⑦⑥, 5, 1,Ｃテイエムハナフブキ, 68,芹沢純, 0.8, 61,*  7, -12, 8, 25.4,①①①, 5, 9,Ｉホｰマンアラシ, 69,福永祐, 0.2, 77,   8,   8,11, 41.0,④④④
 6, 4,Ｌクリオネビコｰ, 34,川田将, 1.7, 47,  -3, -11,10,134.0,④⑤④, 6, 9,Ｉヒカリダイキャスト, 45,小坂忠, 0.7, 54,  -7,   0, 6, 16.8, ⑦⑥, 6, 4,Ａタケカワルキュｰレ, 71,池添謙, 0.9, 60,   5,  -9, 2,  3.1,③③③, 6, 7,Ｆニシノアンサｰ, 71,熊沢重, 0.4, 75,  11,   2,12, 46.8,②②②
 7,10,Ｊチャｰムオペラ, 36,北村友, 2.1, 41,  -9,  -7, 9, 96.3,⑥⑨⑧, 7,13,Ｂテイエムマイスタｰ, 62,田中克, 0.9, 44,*  1, -14, 5, 16.1, ②②, 7, 3,Ｉタガノヒロイン, 62,鮫島良, 1.2, 53,   0,  -6, 7, 18.3,⑧⑨⑧, 7, 2,Ｂマツリダゴッホ, 76,岩田康, 0.4, 76,   5,  11, 2,  3.4,⑨⑨⑧
 8, 6,Ｍルスナイレンジャｰ, 33,畑端省, 2.4, 41, -10,  -5,11,227.6,⑪⑪⑪, 8, 3,Ｄピｰスプロテクタｰ, 54,生野賢, 1.1, 45,  -4,  -9, 4, 11.3, ④④, 8, 8,Ｊシルクロゼット, 59,小原義, 1.2, 55,   0,  -3,12,119.2,⑪⑩⑩, 8,11,Ｏエリモエクスパイア, 60,佐藤哲, 0.4, 76,   5,  11,10, 34.8,⑨⑨⑨
 9,14,Ｈシゲルジコバイバイ, 41,池添謙, 2.6, 40,  -6, -13,12,228.0,⑩⑦⑧, 9, 1,Ｌビッグベアシチｰ, 33,岩崎祐, 1.4, 43, -18,   0,11,111.9, ⑯⑭, 9,13,Ｈダイタクドルチェ, 62,小牧太, 1.3, 56,   5, -15, 5, 10.2,④③④, 9, 8,Ｅユウカｰジナル, 74,小牧太, 0.6, 69,* 17, -16,13, 59.4,①①①
10,12,Ｇファｰムウィル, 44,本田優, 2.7, 40,  -4, -19, 6, 28.1,⑥⑥⑥,10,17,Ｈマンテンフラワｰ, 45,船曳文, 1.4, 39, -17,  -5,14,158.2, ⑭⑭,10,11,Ｌスズカグレイス, 55,長谷川, 2.0, 48,  -2,  -9,10, 55.4,⑬⑬⑬,10,15,Ｍマイネサンサン, 63,吉田稔, 0.7, 76,  -1,* 19,14, 63.4,⑯⑮⑭
11, 3,Ｃハッピｰムｰド, 49,田中克, 2.7, 37, -11,  -9, 8, 82.9,⑧⑪⑪,11,14,Ｋレッドボルケｰノ, 34,中村将, 1.4, 36,  -9, -13, 7, 21.4, ⑦⑨,11, 7,Ｋシルクホｰムラン, 58,田嶋翔, 2.3, 45,   3, -24, 9, 48.9,⑥⑦⑧,11,14,Ｈリメインオブザサン, 69,赤木高, 0.8, 69,   9,  -4, 4, 13.9,③②②
12,16,Ｐピュアパッション, 10,長谷川, 3.2, 36, -13,  -7,16,751.0,⑬⑮⑮,12, 6,Ｆオンワｰドヨシノ, 47,田辺裕, 1.5, 39, -12,  -8,12,119.2, ⑪⑪,12,10,Ｇテイエムヨカオゴ, 62,菊地昇, 2.4, 45,   5, -30,13,244.9,⑤⑤⑦,12,10,Ｃキャプテンベガ, 74,安藤勝, 1.1, 66,   7,  -4, 1,  3.0,⑥⑥⑥
13,15,Ｉシゲルシサンカブ, 39,飯田祐, 3.5, 34,  -2, -29, 7, 41.5,②③⑤,13, 4,Ｎパｰプルドトウ, 32,黒岩悠, 1.5, 39, -10,  -9,13,135.2, ⑩⑪,13,12,Ｍウインエルドｰル, 37,赤木高, 2.9, 41,  -1, -26,11, 88.9,⑩⑪⑫,13, 4,Ｌマグマノｰベル, 64,鮫島良, 1.3, 67,   0,   7,16,390.7,⑬⑭⑭
14, 2,Ｋクリノサンシャイン, 35,中村将, 3.7, 31, -13, -15,14,263.8,⑧⑬⑬,14,18,Ｍロｰズロック, 33,北村友, 1.6, 33,  -7, -17,17,257.2, ⑥⑥,,,,,,,,,,,,,14,16,Ｎマストビｰトゥルｰ, 61,中舘英, 2.3, 53,   4, -16, 7, 28.0,⑦⑨⑬
15,11,Ｎマチカネワカナ, 28,渡辺薫, 3.9, 31, -11, -17,13,254.9,⑮⑬⑬,15,12,Ｇメゴヒメ, 46,田村太, 1.8, 31, -13, -14, 9, 52.6, ⑪⑪,,,,,,,,,,,,,15,13,Ｇバルバロ, 69,武豊  , 2.4, 54,  -1,  -7, 9, 32.1,⑮⑮⑯
16, 7,Ｏメトロネイチャ, 14,熊沢重, 4.5, 29, -14, -19,15,414.5,⑬⑯⑯,16, 8,Ｑフェアリｰバイオ,-24,佐久間, 1.9, 34, -20,  -6,15,159.7, ⑰⑰,,,,,,,,,,,,,16, 1,Ｐポｰトエレガント, 53,和田竜, 2.4, 52,   5, -21,15,129.0,④⑧⑩
,,,,,,,,,,,,17, 7,Ｒアンゴラシチｰ,-37,北村浩, 1.9, 33, -15, -11,16,181.8, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,10,Ｐクラクエンジェット, 19,高野容, 2.1, 30, -20,  -9,18,388.8, ⑰⑱,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-4),,,,,,,,,,,
