06年 8月12日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 8月12日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-15.1,,,,,■ 4R  芝1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.7,,,,,■ 7R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4.3,,,,,■10R  ダ1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀬波温泉特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａタカラパｰク, 50,蛯名正,, 52,  -5,* -3, 1,  1.2, ③②, 1, 7,Ｋダイワグラディウス, 37,中舘英,, 64,*  6,  -1, 2,  7.1,   , 1, 9,Ａドリｰムパｰトナｰ, 81,蛯名正,, 74,  10,*  5, 1,  1.9, ⑨⑨, 1, 3,Ｆシルクヒｰロｰ, 74,武士沢,, 84,   4,* 21, 4,  8.2,⑨⑧⑧
 2,12,Ｂコスモファルバラン, 49,丹内祐, 1.4, 36,  -6, -17, 4, 19.0, ④⑤, 2,11,Ａフジマサゴｰルド, 61,蛯名正, 0.4, 56,*  1,  -4, 1,  1.6,   , 2, 3,Ｆシルキｰステラ, 72,吉田豊, 0.5, 69,  11,  -5, 2,  5.3, ⑥⑥, 2, 8,Ｊピｰスオブレグルス, 71,大庭和, 0.1, 76,   4,  15, 7, 11.1,⑤⑤③
 3, 8,Ｅブラックゴッド, 24,村田一, 1.5, 33, -13, -10,11,217.8, ⑦⑦, 3,17,Ｃリトルラブソング, 57,丹内祐, 0.6, 50,*  2, -10, 5,  9.3,   , 3,13,Ｃマイネルエクセラン, 74,長谷川, 0.6, 68,   9,  -2, 6, 14.4, ⑬⑫, 3, 1,Ｌフサイチギガダイヤ, 69,田中勝, 0.2, 73,*  5,  12, 2,  4.9,②②②
 4,11,Ｃドキュメント, 29,穂苅寿, 1.6, 33, -10, -14,10,116.4, ⑥⑥, 4,16,Ｐカゼノコウテイ, 21,斉藤正, 0.8, 47, -23,*  6,15,297.8,   , 4,12,Ｉオイワケウコン, 64,丹内祐, 0.6, 65,   8,  -4, 9, 24.1, ⑪⑩,12, 9,Ｅニシノグレイシャ, 74,木幡初, 0.3, 74,   4,  14,11, 29.6,⑤⑥⑥
 5, 9,Ｌベルモントリボン,  1,石橋脩, 1.7, 33, -13, -10,12,271.9, ⑦⑦, 5, 4,Ｄサｰクルチェンジ, 53,柴田善, 0.8, 48,  -6,  -6, 3,  8.3,   , 5, 6,Ｈマックスチャンプ, 66,柴田善, 0.6, 68,   9,  -2, 4, 11.9, ⑩⑩, 4,14,Ｎチャｰムダンス, 66,伊藤直, 0.5, 67,*  6,   7,15,117.6,①①①
 6, 6,Ｄガルグリｰン, 26,吉田隼, 2.0, 31, -19, -11, 8, 35.7, ⑩⑨, 6,12,Ｊシｰスケｰプ, 41,小野次, 0.8, 48,  -4,  -7, 8, 40.8,   , 6,10,Ｅパルエクスプレス, 72,木幡初, 0.7, 67,* 12, -10, 3,  8.6, ②②, 5, 6,Ｄバンブｰライカルト, 74,斉藤正, 0.6, 79,   3,* 18, 1,  4.8,⑪⑪⑪
 7, 3,Ｋテイエムスパｰク,  5,武士沢, 2.0, 30, -17, -12, 7, 35.1, ⑨⑨, 7, 1,Ｂセンテヒッショウ, 59,小林淳, 0.9, 45, -18,*  1, 6, 22.9,   , 7, 1,Ｇシンボリモｰガン, 70,塚田祥, 0.7, 64,  10, -10, 7, 19.1, ⑦⑥, 6,13,Ｇウインプレジｰル, 72,石神深, 0.6, 73,   2,  14,12, 58.8,⑨⑧⑨
 8, 1,Ｉレオティアラ, 14,木幡初, 2.3, 29,  -7, -22, 5, 23.0, ⑤④, 8, 9,Ｍシンボリジュピタｰ, 27,西田雄, 1.0, 43, -21,*  1, 9, 90.7,   , 8,11,Ｄフェスティブドラマ, 73,吉田隼, 0.8, 61,* 10, -16, 8, 20.7, ②②, 7, 4,Ｉタガノエクリプス, 72,小野次, 1.0, 69,   1,  12, 3,  6.8,⑪⑪⑪
