06年 8月27日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 8月27日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.6,,,,,■ 4R  芝1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7.8,,,,,■10R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿蘇ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｄダイメイザバリヤル, 52,幸英明,, 80,* 10,*  8, 5,  9.0, ②②, 1, 3, シャイナムスメ,---,武豊  ,, 71,*  9,  -3, 1,  2.9, ①①, 1,13,Ｂジョｰプライズ, 72,渡辺薫,, 80,  -6,* 19, 1,  2.2, ⑪⑨, 1,12,Ｄサンライズキング, 87,和田竜,, 94,* 13,* 20, 2,  4.2,①①①
 2, 4,Ｃブラックホｰル, 54,太宰啓, 0.2, 73,   3,* 11, 2,  3.3, ⑥③, 2, 2, ハｰドリレｰ,---,太宰啓, 0.9, 46, -23,*  2, 2,  3.2, ⑥⑤, 2,14,Ｈトッケンショウブ, 54,川田将, 0.0, 78,  -3,* 16, 4,  8.6, ⑧⑥, 2,14,Ｃメイショウホウオウ, 87,幸英明, 0.2, 90,* 12,* 18, 6, 10.7,③②②
 3, 7,Ｉカシノマイハｰト, 35,小牧太, 0.2, 75,   7,*  8,11,133.3, ③③, 3, 6, ゼンノイグアス,---,和田竜, 1.0, 40,  -6, -10, 3,  5.0, ④④, 3,16,Ｋワンダｰノンブｰレ, 49,船曳文, 0.6, 58,   1,   1,14,200.8, ③②, 3, 3,Ｇサイレントディｰル, 82,武豊  , 0.8, 89,  12,  17, 3,  4.6,⑪④③
 4, 5,Ｂマヤノラヴィｰナ, 54,武豊  , 0.4, 74,* 10,   2, 3,  3.9, ①①, 4, 1, グランプリサクセス,---,川田将, 1.2, 35, -25,  -1, 5,  7.5, ⑥⑥, 4,17,Ｇジｰザスクロス, 58,野元昭, 0.6, 63,  -3,   7, 9, 61.8, ⑧⑥, 4,15,Ｎアンドゥオｰル, 72,川田将, 1.0, 88,  10,  18, 8, 24.2,⑨⑦⑥
 5,12,Ａタケイチゼット, 69,和田竜, 0.8, 64,   5,   0, 1,  3.1, ④③, 5, 7, ミナミノオドリコ,---,幸英明, 1.6, 36,   2, -23, 6, 14.9, ②②, 5,12,Ａキングシェｰバｰ, 72,石橋守, 0.9, 57,  -4,   4, 3,  8.2, ⑪⑩, 5, 5,Ｈエドモンダンテス, 80,赤木高, 1.2, 81,  10,  11, 4,  7.0,④④⑥
 6, 2,Ｈキシュウヒマワリ, 35,菊地昇, 1.3, 53,  -6,   3, 8, 53.8, ⑨⑨, 6, 9, バイオレットピｰス,---,赤木高, 2.5,-92, -56,  -1, 7, 54.2, ⑨⑨, 6, 5, フミノフクヒメ,---,角田晃, 1.0, 54,   1,  -2, 6, 22.6, ⑤②, 6, 9,Ｅエｰピｰフラッシュ, 82,角田晃, 1.2, 85,   5,* 20,10, 36.9,⑮⑬⑪
 7,10,Ｊミッチｰジョイ, 32,角田晃, 1.4, 52,  -3,  -1, 7, 44.9, ⑦⑦, 7, 5, シルバｰジャンパｰ,---,角田晃, 2.6, 22,   5, -40, 4,  6.6, ②②, 7, 2,Ｊスズカリｰガル, 50,幸英明, 1.0, 53,*  9, -10, 7, 27.2, ①①, 7, 1,Ｏタｰボフラッシュ, 68,生野賢, 1.8, 75,   7,   8,12,104.2,⑦⑩⑨
 8, 9,Ｆテイエムヤマサクラ, 43,橋本美, 1.5, 54,   5, -11, 4,  7.2, ④⑥, 8, 4, ライオンマル,---,熊沢重, 2.9,-32, -23, -29, 8, 65.9, ⑥⑦, 8, 9,Ｉヒルクライム, 50,太宰啓, 1.1, 52,  -3,  -1, 8, 60.1, ⑧⑫, 8, 2,Ｂミリオンベル, 87,太宰啓, 1.9, 76,* 13,   3, 1,  3.9,②②④
