06年 8月13日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 8月13日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.0,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.0,,,,,■10R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,富良野特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｆフジファレノプシス, 47,四位洋,, 56,  -8,*  3, 3,  4.8,⑧④②, 1, 4, マンハッタンバｰ,---,川島信,, 46,* -7,  -4, 6, 23.5,①①①, 1, 6,Ａウルフボｰイ, 71,横山典,, 70, -18,* 24, 1,  1.3,③③③, 1, 7,Ｇケイエスジェネラス, 67,小林徹,, 75, -15,* 25, 7, 21.9,⑬⑫⑩
 2,12,Ｈエｰグルドゥｰス, 44,菊沢隆, 1.1, 49,  -9,  -4,11, 56.1,⑨⑦③, 2, 6, ブライトロジック,---,安藤勝, 0.2, 55, -16,* 13, 1,  2.5,③③②, 2, 7,Ｄオレンジアロマ, 57,藤田伸, 0.1, 65,*-17,* 22, 3, 11.1,②②②, 2, 5,Ｈヒカリクロメｰト, 66,本田優, 0.0, 48, -13,   9, 6, 17.7,④④③
 3, 9,Ｂヒノクニオゴジョｰ, 50,北村宏, 1.5, 44,  -8, -11, 4,  6.7,⑦④③, 3,10, トｰセントゥルｰ,---,柴山雄, 0.4, 51, -17,  12, 8, 27.2,④③③, 3, 5,Ｆグラスアフリｰト, 54,芹沢純, 0.7, 51,*-16,  15, 4, 20.6,①①①, 3, 8,Ａメジロマシュｰズ, 81,藤田伸, 0.0, 45,*-12,   6, 1,  2.0,②②②
 4,11,Ｉマリンブルｰ, 44,岩田康, 1.5, 44, -12,* -2, 5,  7.4,⑪⑩⑦, 4, 2, シｰディドアラバイ,---,菊沢隆, 0.7, 48, -16,  10, 9, 29.1,④⑤⑤, 4, 1,Ｂワキノムテキ, 61,安藤勝, 1.0, 55, -20,  19, 2,  5.2,⑧⑥⑤, 4, 4,Ｄメジロスパイダｰ, 69,菊沢隆, 0.2, 50, -11,  10, 4, 13.1,④④⑦
 5, 5,Ｃメイショウナタリｰ, 49,黛弘人, 2.0, 38, -10, -14,10, 48.4,⑩⑦⑥, 5, 9, アドマイヤヒビキ,---,岩田康, 1.1, 38, -19,   6, 3,  4.9,⑧⑧⑥, 5, 8,Ｅツルガオカアサヒ, 54,菊沢隆, 1.1, 58, -21,  20, 9, 71.2,⑩⑩⑥, 5,11,Ｂカムイヌプリ, 73,藤岡佑, 0.3, 55, -13,  14, 5, 14.7,⑦⑧⑦
 6,10,Ｄラフィｰク, 49,郷原洋, 2.0, 39,* -6, -18, 1,  4.0,⑤②①, 6,11, トｰセンクラウン,---,本田優, 1.4, 33, -19,  -1,11, 65.6,⑥⑤⑥, 6, 9,Ｈデイバイデイ, 49,河北通, 1.3, 48, -20,  16, 5, 23.3,⑥⑥⑨, 6, 3,Ｅブレッザ, 68,柴山雄, 0.5, 59, -15,* 17, 8, 25.5,⑪⑫⑫
 7, 6,Ａダノンスペシャル, 58,柴山雄, 3.1, 31,* -6, -30, 2,  4.2,②①③, 7,12, ナンヨｰヘブン,---,五十嵐, 1.6, 54, -30,* 19, 5, 14.6,⑬⑬⑬, 7, 2,Ｇメイショウランマル, 52,小島太, 1.5, 40, -19,   8,10,107.9,③③④, 7,14,Ｋキングアｰサｰ, 58,横山典, 0.5, 38,*-12,  -2, 2,  5.0,②②③
 8, 3,Ｊアルデラミン, 42,古川吉, 4.3, 22, -15, -25, 8, 28.8,⑫⑫⑨, 8, 5, コｰトユｰフォリア,---,秋山真, 1.8, 31, -19,  -7,12, 67.8,⑥⑤⑧, 8, 4, アオイハル,---,北村宏, 1.6, 41, -22,  12, 6, 39.1,⑥⑥⑦, 8, 6,Ｍセブンスアンコｰル, 49,北村宏, 0.6, 38, -13,   0,11, 70.5,⑦④③
