06年12月 2日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年12月 2日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5.7,,,,,■ 4R  芝2970m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  芝1400m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,千両賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｋスズカコｰズウェイ, 35,武豊  ,, 71, -32,* 26, 2,  5.4, ⑤⑤, 1, 5, オｰスミサムソン,,柴田未,,,,, 7, 37.7,③④②, 1, 2, スウィｰプシルバｰ,---,石橋守,, 56, -24,* 19, 4, 10.3, ③⑤, 1,10,Ｃマザｰズウィッシュ, 63,スボリ,, 58,* -3,  -1, 8, 45.5, ②②
 2,14,Ａコンティネント, 71,横山典, 0.1, 52,*-28,* 17, 1,  1.4, ①①, 2,14, スリｰオペレｰタｰ,,林満明, 0.3,,,, 1,  1.8,①①①, 2, 5, ヤマカツブライアン,---,池添謙, 0.0, 52,*-22,  16, 2,  3.9, ①①, 2, 7,Ｅスマｰトカスタム, 60,岩田康, 0.1, 58,  -6,*  0, 2, 10.9, ③③
 3, 8,Ｂイイデレインジャｰ, 70,池添謙, 1.0, 33, -32,  11, 4, 10.5, ⑦⑤, 3,10, ヘキレキ,,今村康, 1.2,,,, 3,  6.7,②②②, 3, 3, テｰオｰギャング,---,福永祐, 0.2, 52, -25,* 17, 1,  1.9, ⑤⑦, 3, 1,Ａゼットカｰク, 71,武豊  , 0.2, 57,  -7,*  0, 1,  1.1, ⑤④
 4, 7,Ｍヒカルライジング, 26,藤田伸, 1.1, 27,*-30,   6, 7, 91.9, ⑤③, 4, 7, テイエムヒビキ,,高井彰, 1.7,,,, 6, 15.5,⑨⑧⑥, 4,11, ステラパラダイス,---,小牧太, 0.6, 42, -26,  13, 5, 17.3, ⑩⑧, 4, 4,Ｂアマノチェリｰラン, 65,秋山真, 0.4, 49,* -2,  -9, 3, 12.1, ①①
 5, 4,Ｆトットンメ, 48,岩田康, 1.1, 35, -34,  12, 3,  8.9, ⑨⑩, 5,13, サクセスストｰリｰ,,沢昭典, 1.9,,,,12, 85.2,⑥④④, 5, 1, エｰシンエヴァン,---,藤田伸, 0.8, 37, -26,   9, 3,  7.0, ⑤⑧, 5, 8,Ｉヤマカツシリウス, 52,池添謙, 0.4, 54,  -9,*  0, 7, 45.3, ⑦⑦
 6, 9,Ｅキｰランナｰ, 51,内田浩, 1.2, 34, -35,  12,10,250.0, ⑫⑩, 6,11, ピクシｰストｰン,,植野貴, 2.5,,,, 9, 65.9,⑦⑥⑤, 6, 8, ルミノゴｰルド,---,プラｰ, 1.4, 28, -26,   0,10, 57.3, ⑧⑧, 6, 6,Ｆマイネルカｰロ, 60,横山典, 0.5, 54, -11,*  2, 4, 16.9, ⑩⑩
 7,12,Ｈクオン, 43,秋山真, 1.3, 28, -33,   7, 8,168.3, ⑭⑧, 7, 1, ディクタトル,,菊地昇, 2.9,,,, 4, 10.0,⑩⑩⑨, 7,10, ファンドリウェｰブ,---,横山典, 1.7, 25, -32,   6, 9, 46.8, ⑩⑪, 7, 9,Ｊコンゴウリュウオｰ, 49,ビｰド, 0.5, 50,  -7,  -4, 5, 27.7, ⑤④
 8,10,Ｊワンダｰスティｰヴ, 36,プラｰ, 1.3, 24,*-30,   3,11,270.8, ③③, 8, 4, スリｰクリプト,,小林慎, 3.9,,,,14,163.0,⑩⑨⑧, 8, 4, ウィッシングデュｰ,---,秋山真, 1.7, 23,*-22, -11, 8, 38.8, ⑦②, 8, 5,Ｇグロリアスウェザｰ, 55,藤田伸, 0.5, 51,  -8,  -3, 6, 37.7, ⑦⑦
