06年11月 5日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年11月 5日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3.5,,,,,■ 4R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9.8,,,,,■ 7R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.5,,,,,■10R  芝1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,桂川ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｃブルｰプレミアム, 57,安藤勝,, 68,*  8,  -4, 1,  2.8, ②②, 1, 3,Ａディｰプスピリット, 68,岩田康,, 64,   0,*  4, 1,  2.2, ⑨⑥, 1, 2,Ｊプリティタヤス, 55,石橋守,, 75, -14,* 19, 3,  6.8, ⑭⑬, 1, 3,Ｃキンシャサノキセキ, 83,安藤勝,, 97,  -1,* 32, 1,  3.4, ⑥⑤
 2, 8,Ａゴｰルデンシャイン, 60,船曳文, 0.3, 62,*  6,  -8, 5,  7.8, ②③, 2, 4,Ｂタケイチゼット, 65,安藤勝, 0.4, 60,   3,  -7, 2,  3.0, ③③, 2,13,Ｂクィｰンマルトク, 67,小林徹, 0.3, 61,*  1,   1, 4,  9.0, ①①, 2,10,Ｅスピニングノアｰル, 82,岩田康, 0.5, 95,  -9,* 36, 6, 15.0, ⑪⑩
 3, 6,Ｅロｰドクルｰザｰ, 49,岩田康, 0.7, 62,*  9, -12, 4,  6.4, ①①, 3, 6,Ｃグッドキララ, 57,福永祐, 0.5, 59,*  5, -12, 3,  7.5, ②②, 3, 6,Ｇヘイロｰフジ, 60,飯田祐, 0.3, 66,  -9,* 12, 5,  9.4, ⑩⑨, 3, 6,Ｂシンボリウエスト, 84,藤田伸, 0.6, 77,*  4,  17, 2,  3.9, ③③
 4, 7,Ｄタニノロッキｰ, 50,武豊  , 0.9, 52, -11,*  5, 3,  4.7, ⑪⑪, 4, 2,Ｋワイルドキャット, 10,小牧太, 1.1, 48,  -4,  -5,11,181.6, ⑪⑪, 4,10,Ａペプチドジャスミン, 70,小牧太, 0.4, 60,*  0,   2, 1,  3.3, ②②, 4,13,Ａコスモシンドラｰ, 87,武幸四, 0.9, 78,  -5,  25, 4, 10.0, ⑧⑧
 5,12,Ｊオｰナｰドリｰム, 35,田村太, 1.2, 47,  -4,  -7,13,379.0, ⑥⑥, 5,10,Ｇマルブツゴｰルド, 42,和田竜, 1.3, 48,   3, -21, 9, 78.2, ③③, 5,12,Ｅカントリｰスタイル, 64,秋山真, 0.5, 61,  -7,   6, 6, 10.5, ⑦④, 5, 2,Ｋフィレンツェ, 76,武豊  , 1.1, 80, -11,* 29, 7, 16.9, ⑬⑬
 6, 4,Ｂオグリスペシャル, 59,福永祐, 1.2, 52,   2, -11, 2,  3.3, ④④, 6,11,Ｅニオウ, 54,太宰啓, 1.3, 48,   3, -21, 6, 15.2, ③③, 6,15,Ｍクリテリウム, 51,藤岡佑, 0.5, 64, -12,* 12,13,184.4, ⑫⑨, 6,12,Ｉナリタシｰクレット, 78,幸英明, 1.2, 69,*  8,   3,13, 53.8, ①①
 7, 5,Ｇリバｰトｰマス, 36,長谷川, 1.2, 49,  -6,  -3,10,191.5, ⑧⑦, 7, 1,Ｆポｰルシャトル, 53,本田優, 1.5, 47,*  7, -30, 5, 13.0, ①①, 7, 7,Ｄエタｰナルサｰガ, 64,幸英明, 0.7, 58,  -6,   5, 8, 19.3, ⑦⑦, 7,11,Ｍタッチザピｰク, 70,柴原央, 1.3, 69,  -5,  19, 8, 17.8, ⑧⑧
 8,13,Ｋシゲルエファリスト, 34,幸英明, 1.4, 47,  -4,  -7, 8,113.9, ⑥⑦, 8, 5,Ｊエプソムブラスト, 13,石山繁, 1.6, 43,   0, -21,10,154.5, ⑦⑥, 8,14,Ｆスズカロｰズマリｰ, 61,安藤勝, 0.7, 56,* -1,   0, 2,  4.1, ③③, 8,14,Ｄマルカジｰク, 83,福永祐, 1.3, 72,  -9,  23, 3,  4.2, ⑪⑩
 9,10,Ｉタケカサチノヤマ, 35,小池隆, 1.6, 45,  -8,  -5,12,213.7, ⑩⑩, 9, 9,Ｄチャリティショウ, 56,藤岡佑, 2.0, 39,   1, -29, 7, 16.8, ⑥⑥, 9, 4,Ｉフォｰチュネイタｰ, 56,田中学, 0.8, 55,  -3,   0,10, 26.4, ④④, 9,16,Ｈエムオｰウイナｰ, 79,小牧太, 1.4, 65,   0,  10, 5, 14.6, ⑤⑤
10, 1,Ｌテイエムサプライズ, 32,藤岡佑, 1.7, 46, -12,  -2, 7, 34.0, ⑪⑪,10, 8,Ｈマルカグレイシｰ, 35,長谷川, 2.1, 38,  -2, -26, 8, 31.9, ⑨⑨,10, 1,Ｈユｰクロニア, 58,岩田康, 0.9, 56, -10,   5, 7, 11.8, ⑩⑨,10, 7,Ｊエアニックス, 78,四位洋, 1.5, 65,*  4,   3,12, 52.4, ③③
11, 9,Ｆシゲルタンギュオ, 40,小原義, 2.0, 45, -14,  -3,11,197.2, ⑬⑬,11, 7,Ｉメイショウラッシｰ, 34,武幸四, 3.2, 28,  -1, -44, 4, 11.5, ⑦⑨,11, 3,Ｏサウンドバイト, 43,藤田伸, 1.1, 53,  -7,   2,11, 82.6, ⑦⑦,11, 4,Ｆダンスオブサロメ, 81,秋山真, 1.6, 67, -11,  21,10, 39.7, ⑬⑬
12,11,Ｍタイセイハヤテ,  5,和田竜, 2.2, 40,  -1, -18, 6, 30.8, ⑤⑤,,,,,,,,,,,,,12, 8,Ｋヒナギク, 55,南井大, 1.3, 52, -13,   5, 9, 20.9, ⑫⑬,12, 8,Ｎマキハタサｰメット, 70,藤岡佑, 1.6, 66,*  7,  -2,11, 48.8, ②②
13, 3,Ｈタカラジャイアンツ, 35,佐藤哲, 3.2, 31,  -5, -24, 9,163.6, ⑧⑦,,,,,,,,,,,,,13, 9,Ｌシゲルサンダｰアイ, 52,上野翔, 1.4, 47,  -5,  -5,14,223.4, ④④,13, 5,Ｐセイウンヒノアラシ,-14,長谷川, 1.7, 62,  -7,  15,15,401.9, ⑩⑩
,,,,,,,,,,,,,,,,,,,,,,,,14,11,Ｎロンプバイオ, 46,長谷川, 2.3, 43,  -6, -12,12,176.1, ⑥⑨,14,15,Ｇマッチメイト, 80,和田竜, 1.9, 60,  -2,   6, 9, 34.3, ⑦⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 9,Ｌポｰトジェネラル, 75,佐藤哲, 2.2, 61, -19,  23,14,191.3, ⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
