06年12月16日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年12月16日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4.5,,,,,■ 4R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.7,,,,,■ 7R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.4,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,16,Ｇシャインジュエリｰ, 47,和田竜, 1.7, 35,  -1, -22, 5, 14.9, ⑥⑦,12, 1,Ｏミカヅキホマレ, 47,田辺裕, 2.0, 47, -16,   2, 8,156.7, ⑬⑭,12, 2,Ｍハッスルシチｰ, 55,鈴来直, 2.5, 53,   1,  -7,14,101.0,⑮⑭⑪,12, 2,Ｌキシュウティアラ, 52,鮫島良, 2.4, 56,   1,  -7,14,133.5,⑦⑦⑧
13,12,Ｋハナリュウ, 37,佐藤聖, 1.8, 30, -20, -13,14,268.7, ⑭⑮,13, 8,Ｍケンミラノ, 48,佐藤聖, 2.0, 45, -19,   2,13,263.7, ⑮⑮,13,14,Ｇファイトザパワｰ, 61,北村浩, 2.7, 51,   2, -10, 9, 25.6,⑫⑫⑪,13, 6,Ｋレイゴｰルド, 55,大庭和, 2.7, 54,  -4,   2,13,111.6,⑮⑯⑭
14, 7,Ｃユｰオｰミｰ, 57,中舘英, 2.0, 37,*  4, -28, 3,  5.8, ①②,14,14,Ｇサウンドバイト, 59,加藤士, 2.3, 43, -11,  -4,11,188.4, ⑩⑪,14,16,Ｃマルタｰズビクタｰ, 69,津村明, 3.4, 46,   4, -23, 1,  4.6,⑨⑧⑧,14, 5,Ｍベルモントディガｰ, 51,田辺裕, 3.0, 52,  -3,  -3,16,298.0,⑯⑭⑮
15, 5,Ｅテイエムカモシカ, 50,田嶋翔, 2.3, 27, -15, -19,11,133.5, ⑫⑬,15,13,Ｌヒットニｰロクニｰ, 48,北村浩, 2.4, 42, -14,  -3,16,481.2, ⑬⑫,15,11,Ｎアンティックタイル, 53,鮫島良, 3.7, 44,   2, -22,13, 80.4,⑨⑪⑮,15, 9,Ｆサオヒメ, 59,菊沢隆, 3.9, 45,   3, -23, 7, 14.3,④③④
16,15,Ｐレイザマｰベラス,-52,村田一, 4.2,-48, -29, -29,16,593.6, ⑯⑯,16, 9,Ｐスカイイレブン, 40,佐久間, 2.9, 37, -22,  -3,15,291.7, ⑯⑯,16, 3,Ｉゲイルホｰク, 61,赤木高, 3.8, 45,*  8, -31, 6,  9.0,①②③,16,14,Ｅレオアライブ, 61,津村明, 6.6, 27,  -4, -38,10, 73.1,⑫⑭⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+13 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:稍重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:稍重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:稍重(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:稍重(指数:-7),,,,,,,,,,,
"単勝:190円 複勝:11=130円 01=940円 10=170円 枠連:3,760円",,,,,,,,,,,,単勝:470円 複勝:04=130円 06=100円 15=120円 枠連:360円,,,,,,,,,,,,"単勝:4,430円 複勝:06=810円 08=300円 10=480円 枠連:670円",,,,,,,,,,,,単勝:870円 複勝:10=270円 03=120円 01=400円 枠連:560円,,,,,,,,,,,
"馬連:6,870円 ワイド:01-11=1,760円 10-11=330円 01-10=2,640円",,,,,,,,,,,,馬連:400円 ワイド:04-06=200円 04-15=370円 06-15=160円,,,,,,,,,,,,"馬連:9,180円 ワイド:06-08=2,830円 06-10=5,030円 08-10=2,760円",,,,,,,,,,,,"馬連:850円 ワイド:03-10=430円 01-10=2,090円 01-03=710円",,,,,,,,,,,
"馬単:9,840円 3連複:10,520円",,,,,,,,,,,,"馬単:1,080円 3連複:500円",,,,,,,,,,,,"馬単:28,950円 3連複:64,570円",,,,,,,,,,,,"馬単:2,570円 3連複:4,710円 3連単:30,510円",,,,,,,,,,,
■ 2R  ダ1700m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 5R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.5,,,,,■ 8R  芝1800m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-0.7,,,,,■11R  芝2000m 3歳上ｵｰﾌﾟﾝ(牝) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,報知杯中京2歳S,,,,,,,,,,,,愛知杯 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6, インフォｰマｰ,---,幸英明,, 61,*  0,* -1, 2,  4.1,①①①, 1, 4,Ａキクノハヤテ, 74,安藤勝,, 77,* -4,* 18, 1,  1.6,④③③, 1, 1,Ｂダイワスカｰレット, 65,安藤勝,, 73,*-12,  30, 1,  2.2,②②②, 1,14,Ａアドマイヤキッス, 87,武豊  ,, 83,   8,  21, 1,  1.9,③③③
 2, 8, エｰシンエｰエル,---,藤田伸, 0.2, 58,* -1,* -1, 1,  2.7,②②②, 2,15,Ｆクラッシックベル, 58,川島信, 0.5, 66,* -3,  11,11,113.8,④②①, 2, 3,Ｇアドマイヤオｰラ, 49,武豊  , 0.1, 77, -14,* 33, 2,  2.5,⑤⑥③, 2, 5,Ｇコスモマｰベラス, 79,安藤勝, 0.2, 92,   1,* 31, 3,  6.3,⑩⑩⑩
 3,10, マニフィｰク,---,高橋亮, 0.5, 56,* -1,  -4, 7, 26.5,③②②, 3, 6,Ｎガイアヘッド, 39,鮫島良, 0.8, 64,* -5,  11,12,133.7,⑥④⑤, 3, 8,Ｃゴｰルドキリシマ, 61,石橋守, 0.9, 52,*-11,  16, 3,  5.1,①①①, 3,15,Ｂソリッドプラチナム, 86,小牧太, 0.2, 80,   3,  22, 2,  6.2,⑦⑦⑦
 4, 9, アドマイヤカｰネル,---,柴山雄, 1.2, 48,  -8,*  0, 4,  6.1,⑨⑨⑨, 4,10,Ｂモリノミヤコ, 74,菊沢隆, 0.9, 66,  -6,* 13, 2,  4.7,⑬⑦⑥, 4, 5,Ａビンチェロ, 68,鮫島克, 1.2, 48, -14,  15, 4,  9.8,⑦④③, 4, 3,Ｅレクレドｰル, 81,柴山雄, 0.3, 90,   1,* 30, 5, 17.7,⑪⑩⑩
 5,14, ロフティマウンテン,---,武豊  , 1.7, 46,  -3, -12, 3,  4.3,⑤④④, 5, 8,Ｅデポジットブック, 59,赤木高, 0.9, 63,* -4,  10, 3, 11.7,⑦④④, 5, 6,Ｄマイネインティマ, 60,佐藤哲, 1.2, 50, -16,  19, 6, 37.3,⑥⑦⑦, 5,10,Ｃヤマトマリオン, 85,菊沢隆, 0.4, 75,   1,  19, 7, 20.5,⑦⑦⑦
 6,12, メイショウデンカ,---,飯田祐, 1.9, 43,  -6, -10, 6, 20.5,⑥⑦⑥, 6,16,Ｈスズカイｰグル, 54,伊藤直, 1.2, 57,* -3,   4, 8, 35.5,①①②, 6, 2,Ｈマイネルカンタｰレ, 45,和田竜, 1.7, 45,*-13,   6, 8, 68.0,③③③, 6,11,Ｊファランドｰル, 78,津村明, 0.4, 66,*  8,   1,10, 49.0,②②①
 7, 5, ラファル,---,和田竜, 2.1, 42,  -4, -16, 9, 54.2,③④④, 7,12,Ｃリスティアプロトス, 65,津村明, 1.4, 58,  -7,   9, 6, 20.3,⑬⑦⑦, 7, 7,Ｆオオアタリ, 52,小牧太, 1.8, 44, -14,   6, 5, 26.6,④④③, 7,13,Ｆピアチェヴォｰレ, 81,二本柳, 0.5, 68,   2,  13, 8, 27.4,⑤⑤④
 8, 4, エｰシンダｰドマン,---,鮫島克, 2.4, 39, -10,  -7,10, 70.0,⑩⑩⑩, 8, 5,Ｄテイエムポラリス, 63,和田竜, 1.6, 54,  -5,   4, 5, 18.9,③④⑦, 8, 4,Ｅブレイブボｰイ, 57,藤田伸, 2.4, 41, -17,   3, 7, 66.6,⑧⑧⑧, 8, 6,Ｎニシノフジムスメ, 75,藤田伸, 0.6, 70,   3,  14, 4,  8.9,⑤⑤⑥
 9, 2, セオソフィア,---,佐藤哲, 2.7, 38,  -6, -18, 5, 12.4,⑧⑦⑥, 9, 2,Ｊシャドウダスタｰ, 48,藤田伸, 2.0, 53,  -8,   6, 7, 21.6,⑪⑩⑩,,,,,,,,,,,,, 9, 2,Ｄキｰプクワイエット, 84,川島信, 0.8, 65,   1,  13,13, 59.1,⑦⑦⑦
