06年 4月 2日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 4月 2日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7.9,,,,,■ 4R  芝2880m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1.9,,,,,■10R  ダ1800m 3 歳ｵｰﾌﾟﾝ 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-0.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,伏竜ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａペンタコｰド, 45,横山典,, 59,*-14,*  8, 2,  4.0, ①①, 1, 7, マイネルホライズン,,柴田未,,,,, 1,  2.4,⑤①①, 1, 8,Ｃマイティｰナイト, 63,田中博,, 70,*  8,  -3, 5, 10.7,②②①, 1,12,Ｄフレンドシップ, 70,四位洋,, 80,*  7,  12, 1,  3.9,⑤④④
 2,13, メダイユドｰル,---,蛯名正, 0.0, 59,*-14,*  8, 4,  9.0, ①①, 2,11, ハイヤｰザンヘブン,,宗像徹, 1.6,,,, 3,  4.0,②③③, 2,10,Ａリスティアプロトス, 72,津村明, 0.0, 70,   5,*  4, 4,  6.0,⑤④⑤, 2,10,Ｅマルブツリｰド, 70,江田照, 0.2, 79,   3,* 16, 3,  5.0,⑪⑩⑨
 3, 2,Ｄカシノロイヤル, 43,吉永護, 0.4, 54, -17,*  7, 6, 20.2, ③③, 3, 3, マウントフォンテン,,田中剛, 1.8,,,, 2,  3.9,④③④, 3, 1,Ｇペイデイ, 59,田中勝, 0.1, 72,   7,   4, 2,  3.7,④④④, 3,11,Ａユｰワハリケｰン, 80,後藤浩, 0.3, 77,*  7,   8, 2,  4.0,①①①
 4,15,Ｃオｰブシュプレｰム, 44,四位洋, 1.0, 46,*-16,   0, 3,  5.2, ③③, 4,12, ブレｰブティック,,浜野谷, 2.5,,,, 7, 17.3,①①②, 4, 9,Ｆリワｰドレオン, 61,勝浦正, 0.5, 69,   8,  -3, 3,  5.5,③③③, 4, 7,Ｃヤマタケゴｰルデン, 73,池田鉄, 0.4, 77,   4,* 13,11, 55.3,⑤⑥⑥
 5,10,Ｅラストプルｰフ, 42,石橋脩, 1.4, 41, -18,  -2, 7, 27.1, ⑤⑤, 5, 6, ダイシンツウィギｰ,,沢昭典, 3.2,,,,12,227.4,⑦⑦⑤, 5, 4,Ｄシャドウキャスタｰ, 62,内田博, 0.9, 66,   4,   1, 1,  2.6,⑥⑥⑥, 5, 2,Ｉピサノバンキッシュ, 65,横山典, 0.4, 77,   6,  10, 4,  6.1,③⑤④
 6, 6,Ｂエプソムメガミ, 45,内田博, 1.9, 35, -19,  -5, 1,  2.2, ⑤⑤, 6,13, ピエナビスケット,,蓑島靖, 7.8,,,, 9,144.9,⑨⑧⑦, 6, 5,Ｅマドンナシチｰ, 61,吉田豊, 1.0, 65,   1,   4, 6, 15.4,⑧⑧⑦, 6, 3,Ｂジョウテンロマン, 74,北村宏, 0.6, 74,*  7,   5, 8, 20.1,③①②
 7, 5,Ｈクチベニ, 33,郷原洋, 2.4, 33, -32,   1,11,154.9, ⑮⑬, 7, 4, ゴｰルドデビルマン,,今村康, 8.3,,,, 8,135.8,⑧⑨⑧, 7, 2,Ｈキングバッハ, 55,蛯名正, 1.4, 63,  -1,*  5, 9, 42.2,⑨⑨⑨, 7, 4,Ｆキャスティング, 67,菊沢隆, 0.9, 73,   4,   8,10, 37.2,⑫⑥⑥
 8, 8,Ｌプレｰミオ, 19,江田照, 2.5, 26, -18, -12, 8, 27.6, ⑤⑦, 8, 1, オンワｰドタトゥ,,仲田雅, 8.4,,,,10,147.8,⑩⑩⑨, 8, 7,Ｉオンリｰワンクロス, 51,四位洋, 2.1, 57,   4, -10, 8, 35.5,⑦⑥⑦, 8, 6,Ｇナムラアトランテス, 67,石橋脩, 1.1, 71,   5,   5, 6, 13.4,⑤⑥⑧
