06年 1月28日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 1月28日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(抽) 馬齢,,,,,,,,,,,,■ 4R  芝3000m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1600m 3 歳500万(混) 馬齢,,,,,,,,,,,,■10R  芝2400m 4歳上1000万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,箱根特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｆプライベｰトプラン, 48,武豊  ,, 64,*  0,*  2, 1,  2.7,①①①, 1, 9, バンチフラワｰ,,穂苅  ,,,,, 2,  4.6,②③②, 1, 9,Ａダイワオンディｰヌ, 65,柴田善,, 63,* -2,   5, 4, 10.8,②②②, 1, 8,Ａフィヨルドクルｰズ, 83,吉田豊,, 82,   4,* 23, 5,  8.5,⑩⑩⑨
 2, 6,Ｅグレｰトアドミラル, 49,ペリエ, 0.7, 57,  -7,*  4, 4,  8.7,⑧⑨⑧, 2, 7, フュｰチャギャング,,金子光, 0.0,,,, 6, 19.4,⑨⑧⑤, 2, 6,Ｆリファインドボディ, 57,小野  , 0.1, 62,* -1,   3, 7, 20.2,①①①, 2, 3,Ｂリキアイサイレンス, 83,後藤浩, 0.0, 81,   6,* 18, 2,  3.6,⑦⑦⑦
 3,10,Ｇミロンガ, 44,後藤浩, 1.1, 54,* -1,  -8, 5,  9.0,②②②, 3,10, チアズボニｰト,,横山義, 0.4,,,, 1,  1.7,⑥⑤④, 3, 2,Ｅゼットコマンダｰ, 59,吉田豊, 0.3, 61,  -4,   5, 2,  5.9,③③③, 3,12,Ｄウォｰライクトニｰ, 80,バルジ, 0.3, 79,   4,* 18, 7, 21.9,⑩⑩⑨
 4,11,Ｂコスモメテオ, 55,松岡  , 1.1, 53,  -5,  -4, 2,  3.4,⑦⑥⑤, 4, 8, コスモベルモット,,山本  , 2.8,,,, 5, 16.2,⑧②③, 4, 4,Ｂジャッキｰライオン, 64,吉田隼, 0.3, 60,  -7,*  6, 5, 13.1,⑥⑥⑦, 4,11,Ｆリアルコンコルド, 73,武豊  , 0.4, 76,   8,   6, 1,  3.3,④④③
 5, 2,Ｍスマｰトビジョン, 27,柴山  , 1.5, 49,  -6,  -6, 9, 85.1,⑥⑥⑦, 5, 6, シャフツベリｰ,,柴田大, 3.2,,,, 3,  5.8,①①①, 5, 3,Ｄパッシングマｰク, 61,武豊  , 0.5, 62,  -6,*  7, 1,  1.6,⑧⑨⑨, 5, 1,Ｃマイネルアンセム, 81,佐藤哲, 0.5, 74,   7,   6, 4,  5.6,⑤⑤⑤
 6,13,Ａヤマテプログレス, 59,丹内  , 1.8, 45,  -4, -14, 6, 10.3,③③③, 6, 2, タツショウワ,,田中剛, 3.5,,,, 4, 11.4,⑦⑦⑧, 6,10,Ｃマナｰハウス, 64,柴山  , 0.5, 60,  -5,   5, 3,  8.8,⑨⑥⑥, 6, 4,Ｊロｰドグランディス, 71,柴田善, 0.6, 73,*  9,   0, 8, 57.6,②②②
 7, 4,Ｊサｰプラス, 36,バルジ, 1.8, 47,  -7,  -7, 8, 41.2,⑩⑧⑧, 7, 1, ハウルサンダｰ,,沢    , 4.7,,,,12,153.1,⑫⑪⑪, 7, 8,Ｉオリオンザブレイブ, 52,石橋脩, 0.6, 57,  -4,   0,10,279.1,⑤③③, 7,10,Ｇディｰエスハリアｰ, 72,石橋脩, 0.8, 72,   6,   4, 3,  5.4,⑤⑤⑥
 8, 1,Ｈトｰセンピュア, 41,吉田隼, 2.0, 42,  -5, -15,12,355.2,④③④, 8, 3, サクラアクｰト,,江田勇, 5.1,,,, 8, 68.6,⑪⑩⑩, 8, 5,Ｇマイラヴユアラヴ, 56,村田  , 0.7, 57,  -4,   1, 8, 26.0,③③③, 8, 6,Ｅトウカイエｰル, 79,村田  , 1.0, 70,   8,  -5, 6,  9.4,③③③
