06年 2月 4日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 2月 4日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利 馬齢,,,,,,,,,,,,■ 4R  芝1200m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万(混) 別定,,,,,,,,,,,,■10R  芝2000m 4歳上500万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,紫川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｃオｰメドック, 45,和田  ,, 55,* -1,  -6, 3,  5.9,①②②, 1, 7, パワｰ,---,佐藤哲,, 51,* -8,  -3, 2,  4.3,①①①, 1, 1,Ｃメイショウウｰキｰ, 64,武幸  ,, 70,  -3,* 12, 1,  1.5,④③②, 1, 9,Ａスマイルフォライフ, 74,武豊  ,, 71,  -3,* 14, 1,  1.2,⑫⑨⑤
 2, 1,Ｈタマモヘヴン, 38,津村  , 0.3, 47,  -7,  -7,11, 53.3,⑤④④, 2, 9, ハッピｰバロｰズ,---,津村  , 0.6, 39, -16,  -7, 4, 10.4,③③②, 2, 8,Ａハッスルシチｰ, 66,中舘  , 0.1, 72,  -6,* 17, 2,  5.1,⑩⑧⑦, 2,11,Ｃノッティングサン, 67,古川吉, 0.2, 70,  -5,* 15, 9, 43.5,⑭⑫⑧
 3,10,Ａグリュｰエント, 53,鮫島良, 0.5, 43, -12,  -6, 1,  2.7,⑦⑥⑥, 3, 8, マヤノモノポリｰ,---,武豊  , 0.9, 37, -23,  -3, 3,  4.9,⑤⑥⑥, 3, 7,Ｇフジタカモニュマン, 58,野元  , 0.8, 62,  -4,   7, 4, 10.7,⑤⑤④, 3,16,Ｉショｰトロｰブス, 63,二本柳, 0.2, 65,   0,   5,11, 58.8,④②②
 4, 4,Ｆサクセスストｰリｰ, 40,中谷  , 0.6, 44, -15,* -3,10, 46.0,⑧⑧⑦, 4, 5, ウインウラカワ,---,藤岡  , 1.0, 36, -15, -12, 6, 14.5,④③②, 4, 3,Ｅシルキｰパンチ, 59,嘉藤  , 1.1, 60,  -5,   6, 9, 75.8,⑧⑦④, 4, 5,Ｂロングヘラクレス, 69,田嶋翔, 0.3, 66,  -2,   6, 2, 11.3,⑥⑦⑤
 5, 8,Ｉシャｰディｰペｰジ, 37,大西  , 1.0, 44,* -1, -16, 9, 41.9,①②②, 5, 3, マヤノダリンカ,---,畑端  , 1.1, 33, -16, -12,10, 81.8,⑤⑤⑤, 5, 4,Ｍフサイチフォルツァ, 48,小牧太, 1.5, 54,* -2,  -4, 3,  9.4,②②①, 5,15,Ｊシルキｰパフュｰム, 63,塚田  , 0.4, 66,  -4,   9,12, 94.8,⑩⑪⑧
 6, 9,Ｅジュエリｰクイｰン, 44,中舘  , 1.1, 36, -21,* -4, 2,  3.7,⑫⑪⑩, 6,11, リッカコマンチ,---,川田  , 1.2, 30, -28,  -3, 7, 43.5,⑦⑧⑧, 6,13,Ｆパワｰクレスト, 59,高橋亮, 1.6, 53,  -4,  -1, 7, 39.5,⑤⑤⑦, 6, 8,Ｎスペシャルシチｰ, 57,佐藤聖, 0.5, 61,   0,   0,15,163.1,④②②
 6, 3,Ｊマイネルクｰゲル, 37,太宰  , 1.1, 36, -18,  -6,12, 55.9,⑨⑨⑨, 7, 2, メイショウクラマ,---,武幸  , 1.3, 31,* -8, -23, 1,  2.1,①②②, 7, 2,Ｋジュリアスアロｰ, 54,高野和, 1.8, 49,  -8,   0, 8, 60.4,⑩⑧⑨, 7,12,Ｆキャンベラシチｰ, 65,川田  , 0.6, 60,*  0,  -3, 3, 14.6,③②②
 8, 6,Ｍアイラインドリｰム, 32,野元  , 1.3, 31, -26,* -3, 8, 18.1,⑭⑭⑫, 8, 6, ザカロッサル,---,中舘  , 1.3, 30, -24,  -7, 9, 79.7,⑦⑥⑥, 8,11,Ｄグレｰトザラン, 60,鮫島良, 2.0, 45,* -3, -11,10, 92.2,①①②, 8, 1,Ｈマイネルプログレス, 64,田中勝, 0.6, 65,  -5,* 11, 4, 16.9,⑬⑭⑫
 9, 5,Ｄグレｰトセイウン, 44,赤木  , 1.5, 38,*  1, -22, 6, 15.7,①①①, 9, 4, ハトル,---,小牧太, 1.5, 28, -39,*  3, 8, 50.0,⑪⑪⑩, 9,10,Ｂハｰドチケット, 64,内田浩, 2.1, 51,  -7,   0, 6, 37.9,⑭⑫⑬, 9, 2,Ｏモエレオｰプンヒメ, 52,西田  , 0.8, 57,*  2,  -9,13,126.0,①①①
10, 7,Ｌタｰフスウォｰド, 33,川田  , 1.6, 28, -20, -10, 7, 16.1,⑨⑨⑩,10,10, エイシンフタイテン,---,池添  , 1.7, 25, -34,  -4, 5, 11.4,⑨⑨⑧,10, 9,Ｈダイタクバンクス, 56,田辺  , 2.8, 42,  -6,  -8,12,178.3,⑧⑧⑫,10, 7,Ｅレッドハヤブサ, 65,赤木  , 0.9, 56,  -2,  -3, 7, 39.0,⑧⑦⑧
