06年 3月26日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 3月26日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.4,,,,,■ 4R  芝2880m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1200m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.9,,,,,■10R  芝1200m 4歳上1600万 ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,船橋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｃミンナシアワセ, 47,小林淳,, 58,  -7,*  2, 5,  9.5, ⑦⑥, 1, 5, テイエムジェネラス,,西谷誠,,,,, 1,  1.8,⑦①①, 1,13,Ａスピンオフ, 71,藤田伸,, 73, -12,* 21, 2,  3.1, ⑥④, 1, 6,Ｈワイルドシャウト, 78,秋山真,, 84,* -5,  25, 3,  5.7, ①①
 2, 7,Ａカズサハｰト, 54,勝浦正, 0.6, 51, -11,*  1, 4,  8.2, ⑨⑧, 2, 3, オンワｰドワンダｰ,,沢昭典, 0.5,,,, 8, 81.8,③②②, 2, 9,Ｅサチノスイｰティｰ, 60,鈴来直, 0.2, 67,* -6,  12, 6, 21.1, ①①, 2, 2,Ｇダイワメンフィス, 78,北村宏, 0.2, 85,  -8,* 28, 7,  9.2, ④①
 3, 8,Ｂパッションルンバ, 52,藤田伸, 0.6, 52,* -4,  -6, 2,  3.2, ①①, 3, 2, スカイコンコルド,,北沢伸, 1.4,,,, 4, 10.9,⑥⑤⑥, 3, 6,Ｂロｰドスウェアｰ, 70,北村宏, 0.4, 64,* -7,  11, 3,  6.6, ③①, 3, 7,Ｂビｰナスライン, 85,藤田伸, 0.4, 77,  -9,  24, 1,  5.2, ④⑤
 4, 9, ロドリｰバニヤン,---,木幡初, 0.7, 48, -21,*  8, 8, 23.1, ⑭⑭, 4, 6, ライブインザムｰン,,田中剛, 1.4,,,, 3,  6.6,④③④, 4,14,Ｇアッパｰジｰン, 59,石崎隆, 0.4, 69, -20,* 23, 4,  9.3, ⑫⑥, 4, 1,Ｄマルタｰズホビｰ, 81,横山典, 0.6, 73, -13,  24, 4,  6.1, ⑦⑦
 5, 2,Ｊブンブンブン,-44,石崎隆, 0.8, 50,* -5,  -7, 9, 35.0, ③③, 5,10, サクラティガｰ,,五十嵐, 2.3,,,, 2,  3.6,①③③, 5, 7,Ｄコスモコントワｰル, 60,秋山真, 0.4, 65, -17,* 20, 5, 19.7, ⑨⑩, 5,12,Ｍダイタクソニック, 69,勝浦正, 0.6, 72, -13,  23,14,176.5, ⑦⑦
 6, 1,Ｈアルマｰジ, 34,北村宏, 0.9, 49,  -6,  -7,10,101.1, ③③, 6, 9, タイキストライカｰ,,鈴木慶, 2.4,,,,13,401.0,⑨⑧⑦, 6, 8,Ｈシンボリカッシｰニ, 55,西田雄, 0.7, 60, -15,  14,11,238.5, ⑧⑥, 6,14,Ｊヒシフェアレディ, 77,吉田豊, 0.7, 72, -20,* 27,11, 53.3, ⑫⑩
 7, 4,Ｄシｰスケｰプ, 43,小野次, 0.9, 48,  -6,  -7, 7, 19.8, ③⑥, 7, 4, ヤマニンマクベス,,山本康, 2.7,,,, 7, 29.7,④⑤④, 7,10,Ｆケイアイフォｰユｰ, 60,蛯名正, 0.8, 55,  -9,   6, 7, 21.3, ④⑤, 7, 8,Ｃナチュラルメイク, 82,後藤浩, 0.7, 74, -14,  24, 6,  8.1, ⑩⑦
 8,14, ワイルドオｰキッド,---,蛯名正, 0.9, 49,* -5,  -8, 3,  7.9, ③③, 8, 1, マイハマムスメ,,宇田登, 4.1,,,, 5, 18.4,⑫⑬⑬, 8, 2,Ｃアドマイヤフッキｰ, 62,横山典, 0.9, 53,* -6,   1, 1,  2.1, ①①, 8, 9,Ａホｰマンアピｰル, 86,安藤勝, 0.9, 70, -21,* 27, 2,  5.7, ⑫⑭
