06年10月22日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年10月22日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4.0,,,,,■ 4R  ダ1150m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.6,,,,,■ 7R  芝1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.9,,,,,■10R  ダ1150m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,相馬特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂリキサンファイタｰ, 64,大野拓,, 70,*  1,*  6, 2,  3.2, ①①, 1, 3,Ａマイティｰキラｰ, 62,鮫島良,, 63,*  1,*  1, 1,  2.1, ②②, 1, 1,Ｂナイトアットオペラ, 75,田中博,, 67,  -1,  11, 4,  8.1, ④⑤, 1,12,Ｂピサノベガス, 69,長谷川,, 70,   3,*  6, 3,  4.3, ⑤⑥
 2, 1,Ｈタマイエス, 33,吉田隼, 0.3, 66,  -1,*  5, 3,  9.1, ④④, 2, 1,Ｆゼンノアピｰル, 46,中舘英, 0.3, 60,  -1,*  2, 8, 29.6, ⑥⑤, 2,10,Ｃエイシンラビアン, 75,柴山雄, 0.0, 71,  -1,  14, 1,  3.0, ④③, 2, 6,Ｅサキノリュウオｰ, 62,村田一, 0.2, 67,   1,*  6, 6, 18.7, ⑧⑦
 3, 9,Ａアｰビタｰ, 71,柴山雄, 0.9, 53,*  1,  -5, 1,  1.8, ②②, 3,15,Ｂビュｰファインダｰ, 55,大野拓, 0.3, 58,  -1,  -2, 2,  4.7, ④④, 3,12,Ｉイケタイトル, 62,田嶋翔, 0.0, 70,*  2,  12, 9, 37.9, ②②, 3,13,Ｆアルジェナｰ, 62,塚田祥, 0.2, 67,  -3,*  9, 5, 12.1, ⑪⑩
 4, 7,Ｅクリノアドベンチャ, 44,武士沢, 1.1, 51,  -5,  -2, 8, 40.0, ⑦⑦, 4,16,Ｄバクシンホｰプ, 53,芹沢純, 0.4, 60,*  3,  -3, 3,  6.9, ②②, 4,16,Ｄルミナスポイント, 73,塚田祥, 0.0, 71,  -6,* 16, 3,  5.0, ⑧⑦, 4,16,Ｉサンエムワｰルド, 57,佐久間, 0.4, 66,*  7,  -1,12,106.3, ③②
 5,12,Ｄマルマツフェロｰ, 46,田辺裕, 1.3, 46,  -2,  -8, 6, 18.8, ⑤⑤, 5,13,Ｈブルｰベルベット, 42,吉田隼, 0.4, 57,  -3,*  1, 5, 16.6, ⑥⑦, 5, 8,Ａウイッチ, 81,吉田隼, 0.2, 64,*  1,   8, 2,  4.3, ②③, 5, 9,Ａショウエンジェリコ, 72,赤木高, 0.4, 65,   4,   1, 4,  4.9, ④④
 6, 3,Ｉストロングキャロル, 28,鈴来直, 1.6, 41, -13,  -4, 9, 52.0, ⑧⑧, 6,10,Ｊガｰルインスタイル, 41,柴山雄, 0.7, 57,*  6,  -8,10, 42.4, ①①, 6,15,Ｆリトルホｰプ, 67,中村将, 0.2, 62,*  2,   5, 6, 15.8, ①①, 6, 7,Ｊヤングヘイロｰ, 57,川島信, 0.7, 62,   2,   0,10, 62.4, ⑦⑦
 7,10,Ｇカシノエデン, 41,塚田祥, 1.6, 40, -17,  -2, 7, 33.9, ⑨⑨, 7,14,Ｋジョニｰロｰズ, 39,赤木高, 1.0, 51, -11,*  3,15,151.8, ⑬⑩, 7, 6,Ｋクリノハッピｰデイ, 60,川島信, 0.2, 73, -13,* 22,13, 56.3, ⑮⑮, 7, 5,Ｃフォレストジャガｰ, 68,中舘英, 0.7, 62,   3,  -1, 1,  3.7, ⑤④
 8, 8,Ｃコスモフトゥｰロ, 56,梶晃啓, 1.7, 39,*  0, -18, 5, 18.5, ②②, 8,12,Ｃセクシｰクィｰン, 54,的場勇, 1.6, 44,  -2, -14, 7, 20.1, ⑤⑦, 8, 2,Ｌシャドウムｰン, 58,長谷川, 0.3, 69,  -9,* 18, 8, 30.1, ⑫⑫, 8, 4,Ｍオｰメドック, 51,芹沢純, 0.9, 59,  -6,   5,13,113.4, ⑬⑫
 9, 2,Ｆイエロｰファイト, 44,スボリ, 1.9, 36,  -3, -18, 4, 15.9, ⑤⑥, 9, 5,Ｇリゾｰトシチｰ, 43,スボリ, 1.7, 44, -14,  -3, 4, 12.1, ⑮⑩, 9, 4,Ｎノｰブルレディ, 53,田辺裕, 0.4, 65,  -6,  13,15,101.9, ⑨⑨, 9, 1,Ｇパレスワｰルド, 58,田嶋翔, 1.1, 58,   0,  -2, 7, 20.7, ⑩⑩
10, 5,Ｌステキナガバナｰ,-92,西田雄, 2.8, 24, -35,  -1,10,240.0, ⑫⑫,10, 8,Ｅコアレスビジョン, 47,鈴来直, 1.7, 45, -12,  -3, 9, 30.9, ⑮⑩,10,11,Ｅカレンナルｰジュ, 70,芹沢純, 0.6, 59,  -1,   5, 5, 13.3, ④⑤,10,10,Ｄフジヤマスウィｰプ, 63,スボリ, 1.1, 58,   1,  -3, 2,  3.9, ⑧⑦
11, 6,Ｋデルママｰガレット,  1,佐藤聖, 2.9, 18, -34,  -7,11,249.5, ⑪⑪,11, 9,Ｍベルネｰジュ, 24,田中克, 1.9, 41,  -4, -15,11, 50.9, ⑥⑥,11, 5,Ｍフロｰネ, 54,鮫島良, 0.8, 55, -10,   9, 7, 19.8, ⑫⑭,11, 8,Ｈフリｰダムガｰル, 58,吉田隼, 1.3, 57,* 10, -12, 8, 46.9, ①①
12,11,Ｊイエロｰコスモス, 14,黛弘人, 3.2, 10, -24, -21,12,260.8, ⑩⑩,12,11,Ｏシロキタパレｰド, 11,長谷川, 2.0, 41, -10,  -8,16,218.4, ⑫⑯,12, 3,Ｇアルファジュリア, 66,武士沢, 0.8, 55,  -3,   4,10, 38.3, ⑦⑦,12, 3,Ｋスパイシｰ, 54,吉永護, 1.5, 53, -10,   2,14,124.5, ⑭⑭
