06年 3月 4日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 3月 4日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-12.2,,,,,■ 4R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.1,,,,,■ 7R  ダ1000m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1.2,,,,,■10R  ダ1700m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-0.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,13,Ｌコウエイチャレンジ, 11,田中克, 5.1, 17, -19, -26,13,276.7,⑫⑫⑬,12, 5,Ｏプレイトゥディアナ, 18,松田大, 1.3, 28, -21,  -4,10, 70.2,⑨⑩⑪,12, 8,Ｋゴッドヘイロｰ, 59,赤木高, 1.4, 49, -14,   5, 8, 24.3, ⑫⑭,12, 5,Ｂクライストシチｰ, 67,田中克, 2.1, 55,   5, -15, 9, 36.8,③⑦⑧
13, 5,Ｍハッピｰオペラ,  3,畑端省, 5.4, 17, -15, -33,12,245.9,⑪⑪⑪,13,11,Ｉブライティアシｰズ, 46,田嶋翔, 1.4, 26, -21,  -5,13, 95.8,⑬⑩⑪,13, 3,Ｌタイセイドラゴン, 59,北村浩, 1.5, 49, -14,   4,11, 38.9, ⑫⑫,13, 6,Ｍメイショウハｰデス, 52,上野翔, 2.5, 53,  -1,  -8,16,344.2,⑧⑮⑭
,,,,,,,,,,,,14,12,Ｎトップアスタｰ, 25,鮫島良, 2.0, 13, -24, -15,14,139.8,⑫⑩⑭,14,12,Ｏエイティビジュｰ, 49,角田晃, 1.9, 40, -26,*  8,16,317.1, ⑯⑯,14,14,Ｎレｰベン, 51,宇都英, 2.9, 52,   1, -11,15,280.7,⑬⑭⑭
,,,,,,,,,,,,15, 7,Ｋマヤノダリンカ, 33,畑端省, 2.1, 12,*-17, -27,11, 79.6,①①①,15,10,Ｐルスナイプリンス, 42,飯田祐, 2.0, 45,  -9,  -4,10, 35.1, ⑩⑨,15, 8,Ｊオンヴァプリエ, 59,長谷川, 3.0, 51,   8, -25,12, 68.3,①④⑤
,,,,,,,,,,,,16,10,Ｐオアシスシチｰ, 11,丹内祐, 2.2, 15, -26, -11,16,299.0,⑮⑯⑯,16, 7,Ｅノｰブルレディ, 63,芹沢純, 2.3, 40, -12,  -5,15,175.4, ⑫⑫,16,15,Ｐドッグソウレインボ, 30,丹内祐, 3.1, 48,  -1, -13,14,160.0,⑧⑮⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+12 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-5),,,,,,,,,,,
"単勝:1,930円 複勝:06=470円 12=270円 03=320円 枠連:3,850円",,,,,,,,,,,,"単勝:990円 複勝:04=330円 16=290円 06=320円 枠連:2,200円",,,,,,,,,,,,"単勝:1,390円 複勝:16=520円 05=350円 01=490円 枠連:1,620円",,,,,,,,,,,,単勝:290円 複勝:11=130円 04=150円 07=250円 枠連:420円,,,,,,,,,,,
"馬連:6,630円 ワイド:06-12=1,370円 03-06=1,210円 03-12=800円",,,,,,,,,,,,"馬連:4,760円 ワイド:04-16=1,630円 04-06=1,760円 06-16=1,830円",,,,,,,,,,,,"馬連:7,640円 ワイド:05-16=2,800円 01-16=3,840円 01-05=2,740円",,,,,,,,,,,,馬連:630円 ワイド:04-11=270円 07-11=610円 04-07=950円,,,,,,,,,,,
"馬単:18,350円 3連複:13,580円",,,,,,,,,,,,"馬単:9,180円 3連複:11,420円",,,,,,,,,,,,"馬単:14,850円 3連複:43,140円",,,,,,,,,,,,"馬単:1,110円 3連複:2,100円 3連単:8,030円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.5,,,,,■ 5R  ダ1000m 4歳上500万(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3.7,,,,,■ 8R  芝2500m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0.4,,,,,■11R  芝1800m 4歳上1000万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中京ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｅカゼノアルペジオ, 45,須貝尚,, 63,* 10,  -9, 7, 17.8, ①①, 1,10,Ｈモアマイガｰル, 65,丹内祐,, 74,*  9,   3, 9, 26.7, ③②, 1, 1,Ｆチョウノゾミ, 67,武幸四,, 67,*-11,* 19, 3,  5.4,⑤②②, 1, 5,Ｂサンバレンティン, 79,中舘英,, 76,   8,*  7, 1,  3.5,⑮⑭⑬
 2,14,Ｄテイエムポラリス, 45,和田竜, 0.0, 58,   2,* -4, 1,  2.6, ③③, 2, 3,Ｇブリｰジｰウッズ, 65,中舘英, 0.2, 76,* 15,  -1, 1,  2.1, ①①, 2, 8,Ｉドリｰムパｰトナｰ, 64,高橋智, 0.2, 68, -12,* 21, 5,  5.6,⑩⑦⑥, 2,12,Ｊゲイリｰスティング, 73,酒井学, 0.1, 75,  14,  -7, 7, 22.9,④②②
 3, 7,Ｃシャンフェン, 47,北村浩, 0.3, 54,  -3,* -4, 8, 20.6, ⑥⑤, 3, 8,Ａレオアンナ, 76,大野拓, 0.3, 68,   5,   2, 2,  5.8, ⑤④, 3, 2,Ｏハンシンテイオｰ, 55,橋本美, 0.2, 58,*-11,  13,13, 84.9,①①①, 3,11,Ａサンレイジャスパｰ, 83,難波剛, 0.3, 73,  12,  -5, 2,  4.0,⑧⑥⑦
 4,13,Ｎアフタｰアワｰズ, 23,河北通, 0.5, 55,*  6, -12,11, 55.4, ②②, 4,13,Ｅポｰトガルチ, 68,鮫島良, 0.6, 60,  -7,*  7, 4,  9.5, ⑪⑩, 4, 7,Ａダンツトレジャｰ, 75,田中克, 0.2, 65, -15,* 19, 2,  5.0,⑧⑦④, 4, 8,Ｎロｰレルオスカｰ, 68,橋本美, 0.6, 70,   7,*  1,15,145.9,⑮⑮⑬
 5,16,Ａオリエンタルゲイル, 56,吉田隼, 0.9, 44,  -4, -11, 3,  6.7, ⑥⑤, 5,15,Ｃミヤジアイ, 68,和田竜, 0.8, 64,   5,  -1, 3,  8.3, ⑤⑥, 5,14,Ｄテイエムサッカｰ, 68,和田竜, 0.5, 58,*-12,  14, 1,  3.5,⑤⑤②, 5,13,Ｈロｰドアンセム, 74,松田大, 0.6, 69,  14, -12, 3,  5.5,⑥②③
