06年 5月13日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 5月13日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.6,,,,,■ 4R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.7,,,,,■ 7R  芝1400m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.9,,,,,■10R  芝2400m 4歳上1000万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,白川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｃイイデカミノヤマ, 48,岩田康,, 68,  -2,*  7, 4,  6.3, ⑥④, 1, 8,Ｇニホンピロレガｰロ, 52,小牧太,, 69,* 20, -22, 3,  7.5, ②②, 1,17,Ｆスマイリングルｰラ, 67,川田将,, 68,  14,*-13,11, 39.4, ⑪⑧, 1, 1,Ｅポップロック, 76,岩田康,, 92,* 21,* -3, 1,  2.4,④⑤③
 2,12,Ａメディアスナイパｰ, 54,小林徹, 0.4, 65,*  5,  -5, 1,  2.9, ②②, 2, 3,Ａハリｰダンカン, 64,岩田康, 0.2, 67,  15,*-18, 1,  1.9, ⑨⑧, 2,11,Ｅマチカネタマカズラ, 67,岩田康, 0.0, 69,  19, -18, 1,  2.9, ④②, 2, 2,Ｆバトルブレｰヴ, 74,太宰啓, 1.0, 80,* 21, -21, 9, 31.1,②②②
 3, 7,Ｄシゲルキタハマ, 45,熊沢重, 0.5, 65,*  6,  -7, 5,  7.8, ①①, 3, 5, アンドレルノｰトル,---,熊沢重, 0.3, 65,  14,*-18, 7, 21.9, ⑨⑧, 3,18,Ｈマルノサプライズ, 65,太宰啓, 0.3, 63,  13,*-14, 8, 20.2, ⑪⑪, 3, 5,Ｈエキサイトラン, 71,松田大, 1.0, 80,* 21, -21, 2,  5.9,①①①
 4,15,Ｂチョウスキスキ, 52,太宰啓, 1.2, 56,*  4, -12, 3,  5.9, ③③, 4, 4,Ｂレッドディクシｰ, 63,福永祐, 0.4, 64,* 21, -30, 2,  7.2, ①①, 4,13,Ｂロｰタス, 69,川原正, 0.4, 65,  18, -23, 5, 10.5, ⑥②, 4, 7,Ｂオルドリｰバ, 79,幸英明, 1.3, 79,  18,*-15, 8, 26.9,⑦⑩⑨
 5, 5,Ｉシュンキチ, 28,内田浩, 1.4, 52,  -5,  -6, 7, 22.0, ⑦⑥, 5,17,Ｉサンライズヤマト, 48,秋山真, 0.5, 64,  16, -24, 6, 19.3, ⑥③, 5, 8,Ｇオグリシルク, 65,佐藤友, 0.7, 57,   7,*-12, 7, 16.6, ⑯⑭, 5, 8,Ｄトウカイエリｰト, 77,芹沢純, 1.3, 79,  20, -19, 4,  6.2,⑩⑦⑦
 6,14,Ｌミキノミュｰズ, 17,和田竜, 1.4, 53,  -1,  -9,11,110.0, ⑤④, 6,10,Ｃヒシワンスモア, 60,武幸四, 0.7, 60,* 19, -31, 5, 12.1, ②③, 6, 4,Ｉブレイズワン, 62,角田晃, 0.8, 58,  18, -29, 3,  6.8, ⑥⑤, 6, 6,Ｋイブキレボルシオン, 68,小牧太, 2.2, 71,  18, -30, 6, 19.3,⑫⑫⑨
 7, 2,Ｋサンゴタｰル, 21,上野翔, 2.3, 38,  -9, -13,14,270.3, ⑧⑧, 7,11,Ｏマジックポｰ, 31,渡辺薫, 0.8, 58,   6,*-12,15,403.4, ⑯⑯, 7, 5,Ｃオｰスミタキオン, 69,和田竜, 1.1, 50,   3,*-12,10, 27.5, ⑱⑱, 7,12,Ｇヒシルｰシッド, 72,福永祐, 3.0, 61,* 20, -48, 5,  7.7,⑦⑤⑤
 8, 6, シゲルシサンカブ,---,飯田祐, 2.4, 39, -12,  -9, 8, 41.7, ⑪⑩, 8,13,Ｊスナｰクチトセオｰ, 44,安部幸, 1.1, 56,  11, -24,14,366.1, ⑮⑬, 8,16,Ａグランプリシリウス, 72,福永祐, 1.6, 47,  15, -36, 4,  7.3, ⑩⑧, 8, 4,Ａリキアイサイレンス, 81,本田優, 3.1, 60,  19, -48, 3,  6.0,⑩⑦⑦
 9, 8, シゲルカブトチョウ,---,河北通, 2.6, 37,  -8, -15, 6, 11.4, ⑧⑨, 9,14,Ｋグランドストｰム, 39,菊地昇, 1.1, 55,  15, -31,18,575.8, ⑨⑧, 9,15,Ｋハｰドバクシンオｰ, 55,武幸四, 1.6, 44,   8, -27,14, 62.2, ⑭⑭, 9,11,Ｉテイエムハヤブサ, 71,武幸四, 3.6, 54,* 20, -56,10, 41.1,④②⑤
10, 9,Ｅグレｰトセイウン, 44,川原正, 2.6, 35, -16,  -7,13,251.1, ⑫⑫,10, 2, テｰオｰエンペラｰ,---,上村洋, 1.3, 52,  12, -28,10, 46.9, ⑬⑬,10, 6,Ｐスズカフロｰラ, 47,上村洋, 1.7, 44,   7, -27,13, 55.4, ⑯⑭,10, 9,Ｃカノヤバトルクロス, 78,川原正, 4.0, 51,  17, -54,11, 67.0,⑨⑩⑫
11,10,Ｊホｰマンマジスティ, 23,畑端省, 2.7, 35,  -9, -15,12,171.8, ⑧⑩,11, 6,Ｈヘンメイレン, 50,船曳文, 1.4, 46,  13, -38,16,535.7, ⑥⑧,11, 3,Ｑメイショウマボンヌ, 44,酒井学, 1.9, 40,  16, -42,17,238.7, ⑧⑪,11,10,Ｊショウナンパレス, 69,安藤勝, 4.0, 50,* 20, -64, 7, 22.3,③②③
12,11,Ｈマルタカネイティブ, 29,佐藤友, 2.7, 33, -23,* -2,16,452.2, ⑭⑬,12, 9,Ｆヒｰロｰルンタ, 52,藤岡佑, 1.7, 47,  13, -36,11, 64.2, ⑬⑬,12, 9,Ｊコスモコントワｰル, 62,秋山真, 2.0, 40,  16, -44,12, 40.7, ⑧⑧,12, 3,Ｌアグネスプラネット, 64,上村洋, 5.0, 40,  18, -72,12, 84.2,⑥⑦⑪
13, 1, ビュｰエクスプレス,---,安部幸, 2.7, 33, -22,  -3, 9, 57.0, ⑬⑬,13,18,Ｎテイエムラブリｰ, 38,和田竜, 1.9, 46,  18, -48,12,102.7, ④③,13, 1, グロｰバリズム,---,板野央, 2.3, 37,* 21, -56,18,254.5, ①②,,,,,,,,,,,,
14,16,Ｆメイショウレゴン, 40,幸英明, 3.1, 33,   0, -27,10,108.1, ④⑦,14, 7,Ｅスタｰアリエス, 54,川原正, 2.0, 43,   3, -24, 9, 31.4, ⑱⑰,14,12,Ｏスカイノミツキ, 50,安部幸, 2.6, 29,   7, -41,15,127.2, ⑭⑰,,,,,,,,,,,,
15, 3, ヘラクレスバイオ,---,池添謙, 4.0, 16, -31,  -7, 2,  4.2, ⑯⑯,15,16,Ｄフィｰルドユウキ, 60,池添謙, 2.1, 43,  16, -48, 4,  7.7, ⑥⑥,15,14,Ｌイイデチェロキｰ, 55,藤岡佑, 2.8, 28,  13, -51, 9, 25.0, ⑪⑬,,,,,,,,,,,,
16, 4,Ｇカルストンアナｰド, 34,船曳文, 4.3, 12, -26, -17,15,329.5, ⑮⑮,16, 1,Ｍケンブリッジファン, 38,川田将, 2.4, 36,  16, -54, 8, 25.6, ④⑥,16, 2,Ｍシゲルシンキガイ, 53,幸英明, 2.9, 28,  19, -61, 6, 16.4, ④⑤,,,,,,,,,,,,
,,,,,,,,,,,,17,12,Ｌデンコウグリｰン, 39,幸英明, 2.4, 39,  14, -49,13,316.5, ⑨⑧,17,10,Ｎエイシンラブリｰ, 52,小牧太, 3.6, 18,* 20, -73,16,225.1, ③⑤,,,,,,,,,,,,
,,,,,,,,,,,,18,15,Ｐルスナイガｰネット, 26,畑端省, 4.4, 12,   6, -64,17,573.3, ⑯⑰,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:重(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+20 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:重(指数:12),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+16 ﾚｰｽｱｶﾞﾘ指数:-15 馬場:不良(指数:13),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+13 ﾚｰｽｱｶﾞﾘ指数:-20 馬場:不良(指数:13),,,,,,,,,,,
単勝:630円 複勝:13=190円 12=130円 07=200円 枠連:970円,,,,,,,,,,,,単勝:750円 複勝:08=270円 03=120円 05=730円 枠連:370円,,,,,,,,,,,,"単勝:3,940円 複勝:17=1,060円 11=190円 18=370円 枠連:660円",,,,,,,,,,,,"単勝:240円 複勝:01=130円 02=470円 05=190円 枠連:2,520円",,,,,,,,,,,
"馬連:1,070円 ワイド:12-13=360円 07-13=800円 07-12=400円",,,,,,,,,,,,"馬連:980円 ワイド:03-08=430円 05-08=3,140円 03-05=1,020円",,,,,,,,,,,,"馬連:8,190円 ワイド:11-17=2,610円 17-18=5,210円 11-18=1,320円",,,,,,,,,,,,"馬連:2,330円 ワイド:01-02=920円 01-05=360円 02-05=1,280円",,,,,,,,,,,
"馬単:2,500円 3連複:1,990円",,,,,,,,,,,,"馬単:2,460円 3連複:6,600円",,,,,,,,,,,,"馬単:20,830円 3連複:35,150円",,,,,,,,,,,,"馬単:3,070円 3連複:4,180円 3連単:19,860円",,,,,,,,,,,
■ 2R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4.9,,,,,■ 5R  ダ1800m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.1,,,,,■ 8R  ダ1200m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0.8,,,,,■11R  芝1200m 4歳上1600万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-3.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,朱雀ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｄウインザタロｰ, 57,安部幸,, 64,*  7,  -9, 2,  4.6, ①①, 1, 2,Ｋポｰトエレガント, 54,安部幸,, 66,* -3,  10,12,284.0,①①①, 1,10,Ｅマヤノポペット, 66,秋山真,, 66,   4,  -1, 5,  9.8, ④③, 1,13,Ｂリボンアｰト, 83,池添謙,, 83,   9,* 12, 6, 16.1, ⑬⑩
