06年 2月11日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 2月11日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(父) 馬齢,,,,,,,,,,,,■ 4R  芝1600m 3 歳未勝利(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(牝) 別定,,,,,,,,,,,,■10R  芝1800m 4歳上1000万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,春日特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂヤシャオｰキセキ, 52,福永  ,, 68, -17,* 17, 4,  7.5,⑬⑪⑩, 1,14,Ｃグレｰスバニヤン, 48,熊沢  ,, 58,* -1,  -5, 6, 14.9,③②①, 1, 2,Ｂアキノロマンス, 64,ペリエ,, 76,   1,* 12, 1,  2.7,③③②, 1, 9,Ｆケｰジｰフジキセキ, 75,武豊  ,, 87, -10,* 32, 1,  1.8,⑧⑥④
 2,12,Ａジョｰデュｰク, 57,武豊  , 0.8, 47,*-12,   0, 1,  1.9,②②②, 2,15,Ａエリモフィナｰレ, 60,武豊  , 0.2, 56,* -2,  -6, 1,  2.2,⑤②②, 2, 7,Ｃエイダイダンツ, 62,岩崎  , 0.1, 75,   1,* 11, 6, 12.9,③③②, 2,10,Ｂサンレイジャスパｰ, 84,難波  , 0.1, 88, -12,* 34, 2,  4.2,⑪⑩⑧
 3, 8,Ｄナリタベガ, 48,安藤勝, 0.9, 51, -15,   5, 3,  5.8,⑦⑦⑦, 3, 8,Ｂフラワｰパレｰド, 51,池添  , 0.2, 58,  -9,*  6, 7, 15.7,⑫⑫⑨, 3, 5,Ｇキシュウレディ, 59,安部幸, 0.9, 69,  -1,   7,12, 62.1,⑨⑥⑤, 3,15,Ｉロｰドアンセム, 70,熊沢  , 0.2, 80,  -9,  28, 3,  9.0,⑥⑥④
 4,11,Ｇクロスビスティｰ, 47,四位  , 0.9, 46,*-12,  -1, 5, 14.8,⑤②①, 4, 1,Ｆズｰムトウショウ, 46,安部幸, 0.6, 54, -10,*  1, 4, 12.3,⑮⑭⑨, 4, 4,Ｎスタｰピアス, 53,熊沢  , 1.0, 67,*  2,   1,11, 54.9,①①①, 4, 4,Ｅマイジョｰカｰ, 76,池添  , 0.2, 71,* -7,  23, 5, 14.3,③②②
 5, 3,Ｋアドマイヤグロｰリ, 35,上村  , 1.1, 48, -15,   3,10, 98.6,⑧⑨⑤, 5, 7,Ｇサフランキセキ, 40,上村  , 0.8, 50,  -7,  -6,11, 84.4,⑨⑧⑥, 5,14,Ｍトｰアセンヒメ, 54,長谷川, 1.3, 64,*  1,  -2,10, 44.9,②②②, 5, 7,Ｌシェリｰル, 68,四位  , 0.5, 64,* -5,  14, 8, 29.5,①①①
 6, 7,Ｎゴｰルドビガｰ, 27,長谷川, 1.4, 41, -14,  -3,14,310.5,⑥⑤④, 6, 4,Ｋストライキング, 34,小牧太, 0.8, 50, -14,*  4,12, 91.1,⑮⑯⑮, 6, 8,Ｅビクトリアメｰク, 60,小林徹, 1.4, 64,  -1,   3, 4, 11.8,⑬⑥⑦, 6, 1,Ｊスズカロｰラン, 70,安藤勝, 0.6, 74, -12,  26, 9, 46.8,⑥⑥⑧
 7, 9,Ｅホクザンワンダフル, 48,幸    , 1.6, 43, -17,   1, 8, 70.5,⑪⑪⑩, 7,11,Ｊライトモチｰフ, 35,石橋守, 0.8, 49,* -3, -14, 2,  4.5,⑥④④, 7, 1,Ｉクｰドゥシャンス, 56,秋山  , 1.5, 64,  -2,   3, 9, 38.9,⑩⑩⑨, 7, 2,Ａエｰピｰチャｰジ, 86,福永  , 0.6, 76, -13,  29, 4, 13.8,⑨⑩⑪
 8, 2,Ｊウォルトンパワｰ, 44,安部幸, 1.6, 46, -18,   4,13,201.0,⑯⑭⑬, 8, 5,Ｉロｰズドレッシュ, 38,福永  , 0.9, 47,  -6,  -9, 9, 41.8,⑨⑧⑥, 8, 6,Ｈバアゼルロｰズ, 58,本田  , 1.9, 61,  -3,   2,14,111.3,⑫⑬⑪, 8,12,Ｃメイショウアカシ, 76,松永  , 0.7, 75, -13,  28,13,128.4,⑪⑬⑮
 9,10,Ｃパレストップガン, 51,田嶋翔, 2.1, 34, -15,  -7, 2,  4.4,④⑤⑨, 9,16,Ｍヘンメイレン, 29,幸    , 0.9, 47,  -5, -12,15,331.5,⑧④⑤, 9, 9,Ｄキｰステｰジ, 61,小牧太, 1.9, 60,  -1,  -2, 8, 33.3,⑥⑥⑦, 9,14,Ｎアズマアビリティｰ, 67,小牧太, 0.7, 63,* -8,  17,14,170.2,④④④
