06年 2月25日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 2月25日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 4R  芝2880m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1200m 3 歳500万(混) 馬齢,,,,,,,,,,,,■10R  芝2500m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,潮来特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｆリワｰドアルコン, 42,勝浦正,, 71,*  2,*  6, 4,  9.8, ③②, 1, 7, スｰパｰヒｰロｰ,,五十嵐,,,,, 1,  2.2,②③③, 1,15,Ｄモンプティクｰル, 64,塚田祥,, 72,   0,*  9, 3,  5.9, ④③, 1, 4,Ａフィヨルドクルｰズ, 82,吉田豊,, 84,   9,* 16, 3,  5.2,⑤⑥⑦
 2, 8,Ｃラスカルシチｰ, 53,木幡初, 0.5, 66,*  3,   0, 2,  3.5, ②②, 2,12, マイネルホライズン,,柴田未, 0.2,,,, 2,  3.9,②①①, 2,16,Ａデュアルプロセッサ, 69,木幡初, 0.2, 73,   0,* 10, 1,  1.7, ⑤③, 2, 2,Ｄニュｰヨｰクカフェ, 78,蛯名正, 0.2, 79,   7,  10, 2,  3.5,⑦⑥⑥
 3, 6,Ａフジマサリｰダｰ, 59,横山典, 1.5, 57,*  5, -12, 1,  2.0, ①①, 3,14, ハイヤｰザンヘブン,,宗像徹, 0.8,,,, 3,  4.3,①②①, 3, 8,Ｂアサクサブラボｰ, 67,デムｰ, 0.5, 70,*  4,   4, 2,  4.5, ①①, 3, 9,Ｅブラックファルコン, 76,デムｰ, 0.4, 77,   4,* 14, 4,  9.1,⑫⑩⑨
 4, 9,Ｂコアレスビジョン, 54,内田博, 1.5, 55,   1,  -8, 3,  5.6, ④④, 4,10, カゲトラオｰ,,山本康, 1.9,,,, 4, 14.4,⑥④④, 4, 6,Ｉセレスダイナミック, 55,中舘英, 0.9, 66,*  5,  -1, 7, 31.1, ①①, 4, 1,Ｇマヤノスタｰダム, 73,松岡正, 0.6, 74,   6,   7, 6,  9.6,⑩⑧⑦
 5,15,Ｎカザバナジョウ, 21,穂苅寿, 1.5, 53,  -6,  -2,10,121.4, ⑩⑩, 5, 3, ラガｰルｰジュ,,林満明, 1.9,,,, 5, 14.9,⑨⑥⑥, 5,11,Ｈアリマエクセレント, 57,田中勝, 1.2, 60,  -4,   4, 5, 23.1, ⑨⑪, 5,12,Ｆチェストウイング, 76,内田博, 0.7, 71,*  7,  -1, 5,  9.5,③④③
 6,13,Ｅコスモマリアｰジュ, 43,バルジ, 1.6, 53,   0,  -8, 5, 14.0, ④④, 6, 5, オンワｰドワンダｰ,,沢昭典, 3.2,,,,12,106.1,④⑤⑤, 6,12,Ｌテンジンテンリュウ, 51,高山太, 1.3, 61,  -2,   1, 9, 42.4, ⑥⑥, 6, 3,Ｂピサノパテック, 82,横山典, 0.7, 75,*  9,   1, 1,  3.4,③④③
 7, 3,Ｌカンファｰプレス, 31,石橋脩, 1.6, 50, -13,*  4,11,123.8, ⑪⑪, 7, 1, レオルｰセント,,金子光, 3.5,,,, 7, 34.1,⑫⑦⑦, 7, 7,Ｋニシノインピッシュ, 52,北村宏, 1.3, 60,*  4,  -4,12,215.3, ①⑤, 7, 7,Ｉエプソムボス, 69,小林淳, 0.7, 72,*  8,  -2, 8, 25.1,⑤③③
 8,12,Ｉリュウスパイク, 40,津村明, 2.0, 47,  -3, -11, 9, 81.9, ⑥⑥, 8, 4, ショウナンキング,,柴田大, 3.6,,,, 9, 50.3,⑥⑧⑦, 8, 5,Ｇグリｰンジュエリｰ, 58,津村明, 1.5, 56,  -4,  -1, 4, 18.6, ⑨⑨, 8, 5,Ｊヤマニンアロンディ, 69,鈴木慶, 0.7, 72,   6,   5,11, 78.4,⑧⑧⑨
