06年12月16日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年12月16日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(父) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4.2,,,,,■ 4R  芝2970m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.4,,,,,■10R  芝1600m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,摂津特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｂニホンピロコナユキ, 58,酒井学,, 57,*  2,  -9, 6, 11.0, ②②, 1, 7, マンテンフラワｰ,,白坂聡,,,,, 6,  9.0,①①①, 1, 5,Ｄワンダｰタイキ, 63,田村太,, 73,  -1,* 17, 6, 26.1,⑩⑩⑨, 1, 5,Ｉタガノボｰディング, 72,岩田康,, 79,   3,  15, 2,  4.2, ⑥⑥
 2, 7,Ａエリモハルカ, 61,渡辺薫, 0.3, 55,*  3, -13, 1,  4.2, ②①, 2, 5, スズカウエスト,,北沢伸, 0.0,,,, 1,  4.0,⑤④③, 2, 9,Ｂスイｰトアリッサム, 67,福永祐, 0.0, 77,   3,* 13, 2,  5.4,⑤⑤④, 2,10,Ａシンボリプレオ, 78,武幸四, 0.1, 84,  -2,* 21, 4,  6.8, ⑩⑩
 3,12,Ｉハｰドリレｰ, 47,福永祐, 0.3, 48, -11,*  1, 7, 17.8, ⑫⑩, 3, 4, マキハタスパｰト,,出津孝, 1.6,,,,13, 50.1,②②②, 3,12,Ｋフォｰリクラッセ, 58,四位洋, 0.5, 73,   4,   6, 3, 15.0,③③③, 3, 1,Ｂトップオブツヨシ, 76,池添謙, 0.2, 79,   2,  17, 1,  2.7, ⑦⑧
 4, 2,Ｄニオウ, 51,岩田康, 0.3, 51,  -1,  -9, 4,  6.4, ④⑤, 4,14, エムテイクラウン,,林満明, 2.0,,,,14,122.7,⑦⑥⑤, 4, 7,Ｃロングユリシｰズ, 66,長谷川, 1.5, 65,   1,   3, 7, 33.3,⑨⑨⑨,10, 6,Ｅジョウノオｰロラ, 74,福永祐, 0.2, 78,   2,  16, 5, 11.8, ⑨⑧
 5, 5,Ｅハギノエアロ, 50,四位洋, 0.4, 47, -10,* -1, 5,  7.2, ⑪⑩, 5, 8, ユウゼニス,,仲田雅, 2.3,,,, 4,  7.5,⑧⑧⑧, 5, 2,Ｌアグネスモナク, 50,秋山真, 2.0, 62,*  5, -10,11,167.7,①①①, 4, 3,Ｃビッグカポネ, 75,長谷川, 0.3, 71,   5,   8, 3,  6.3, ③③
 6,10,Ｇイカンセン, 49,本田優, 0.5, 47,  -5,  -7,11, 38.0, ⑥⑦, 6,11, アドマイヤワシ,,高田潤, 2.3,,,, 5,  7.7,③③③, 6, 4,Ｇニホンピロファイブ, 61,熊沢重, 2.0, 62,*  5, -10, 5, 23.0,②②②, 5,11,Ｄマルブツシルヴァｰ, 74,四位洋, 0.4, 68,*  7,   3, 7, 14.9, ②②
 7,11,Ｆシルバｰジャンパｰ, 50,角田晃, 0.6, 50,   1, -14,10, 35.7, ④④, 7, 2, ピクシｰストｰン,,宇田登, 3.0,,,, 8, 19.7,④⑤⑤, 7,11,Ｉツルマルロｰレル, 58,渡辺薫, 2.0, 61,   2,  -4, 9, 57.4,⑧⑦⑦, 6, 8,Ｊヤナギムシ, 67,岩部純, 0.5, 66,   3,   5, 8, 17.8, ⑤⑤
 8,14,Ｌトｰワコジｰン, 37,上村洋, 1.0, 42,  -6, -11, 9, 26.4, ⑧⑨, 8, 6, トップアｰチ,,植野貴, 3.9,,,, 3,  5.9,⑥⑦⑦, 8, 1,Ａサクラキングダム, 69,岩田康, 2.1, 60,   2,  -4, 1,  1.3,⑥⑦⑦, 7, 7,Ｇトウカイポピｰ, 73,上村洋, 0.5, 74,  -3,  16,11, 74.5, ⑪⑪
