06年 8月26日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 8月26日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-11.3,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.0,,,,,■10R  芝1500m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:9.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｸﾛｰﾊﾞｰ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂマロンラッシュ, 36,本田優,, 57,  -5,*  2, 2,  3.1, ④④, 1,10, アドマイヤプルｰト,---,岩田康,, 47,*  2, -11, 1,  4.6, ①①, 1,10,Ｆヤマニンデュエル, 61,四位洋,, 69,*  5,   2, 1,  3.5, ①①, 1, 4,Ｅイクスキュｰズ, 57,北村宏,, 63,   2,   0, 1,  2.3,④③③
 2, 5,Ａヴェリタス, 48,秋山真, 0.0, 57,  -3,  -1, 1,  2.1, ②②, 2, 8, ラストベガ,---,川島信, 0.0, 51, -12,   3,11, 42.2, ⑥⑤, 2, 7,Ｇコペルニクス, 59,藤田伸, 0.4, 58, -14,*  8, 8, 12.1, ⑩⑨, 2, 1,Ａビｰビｰガルダン, 74,秋山真, 0.3, 58,*  4, -10, 4,  8.6,①①①
 3, 1,Ｆティンバｰルｰカン, 24,五十嵐, 1.1, 42, -10,  -7, 4,  9.6, ⑤⑤, 3, 7, カラベルラティｰナ,---,津村明, 0.0, 49, -11,   1, 7, 13.7, ⑤⑤, 3, 8,Ｊダイナミックタｰン, 54,秋山真, 0.5, 59,  -5,   1, 3,  5.4, ⑥④, 3, 2,Ｆスイングロウ, 52,藤岡佑, 0.4, 56,  -3,   2, 6, 12.5,⑧⑦⑥
 4, 6,Ｅタイニｰダンサｰ, 29,川島信, 1.4, 38, -18,  -5, 6, 22.0, ⑥⑥, 4,13, ベルベットイｰグル,---,服部剛, 0.1, 49, -14,   3, 4,  7.0, ⑥⑦, 4, 3,Ｉアミフジハナザカリ, 55,黛弘人, 0.5, 60,*  2,  -3,10,137.2, ②④, 4,10,Ｃマイニングゴｰルド, 73,安藤勝, 0.4, 56,*  3, -10, 2,  3.5,②②②
 5, 7,Ｄラガｰホノカｰ, 31,津村明, 1.6, 40,  -3, -17, 7, 54.6, ②①, 5,12, アラハ,---,秋山真, 0.3, 43,* -3, -11, 5,  8.3, ③②, 5, 5,Ａルルドウォｰタｰ, 68,柴山雄, 0.6, 58,  -1,  -2, 2,  4.4, ④④, 5, 7, グランドカラｰ,---,五十嵐, 0.5, 51,  -7,*  3, 9,117.6,⑨⑨⑨
 6, 2,Ｈラストアラシ,-68,菊沢隆, 2.2, 28, -19, -14, 8,103.8, ⑥⑦, 6, 4, エプソムキララ,---,武幸四, 0.4, 44, -19,   3, 6,  8.9, ⑧⑨, 6, 2,Ｅアルファキャスパｰ, 62,津村明, 0.7, 58,  -4,   0, 7, 11.1, ⑥⑦, 6, 5,Ｂフリｰダムエアｰ, 73,本田優, 0.6, 52,   1, -10, 3,  5.4,④③③
 7, 4,Ｃベルモントウッディ, 36,四位洋, 2.4, 25, -17, -17, 3,  4.6, ⑥⑦, 7, 3, サニｰラブカフェ,---,四位洋, 0.4, 42,  -7,  -8, 9, 26.4, ④④, 7, 1,Ｂスプリントシチｰ, 66,千葉直, 0.9, 54,  -5,  -3, 9, 17.3, ⑥⑨, 7, 3, アロマンシェス,---,川島雅, 0.6, 50,  -6,   0, 8,112.2,⑪⑧⑥
 8, 8,Ｇロッキｰパラダイス, 21,北村宏, 2.9, 28,* -1, -31, 5, 18.4, ①②, 8, 5, ニシノシンワ,---,本田優, 0.5, 45, -23,*  6,10, 42.1, ⑩⑩, 8, 6,Ｃクレバｰジェフリｰ, 63,武幸四, 0.9, 55,*  2,  -7, 4,  8.1, ②②, 8, 8,Ｄブレイブボｰイ, 59,藤田伸, 0.8, 50,   2, -15, 5, 10.6,②③③
,,,,,,,,,,,, 9, 2, リキアイアチｰブ,---,菊沢隆, 0.5, 42, -17,   0, 8, 17.3, ⑧⑦, 9, 9,Ｈシルクリザルト, 58,五十嵐, 0.9, 58,   0,  -4, 5,  9.1, ④②, 9,11, ビｰビｰレイラ,---,服部茂, 1.4, 43, -10,  -3,10,149.8,⑩⑪⑩
,,,,,,,,,,,,10, 6, グロリアスウェザｰ,---,五十嵐, 1.1, 39, -38,* 11,12, 43.4, ⑬⑫,10, 4,Ｄアサヒカレンダｰ, 62,小林徹, 1.2, 51,  -4,  -6, 6, 11.1, ⑥⑦,10, 9, トップサバトン,---,井上俊, 1.4, 41,  -3, -17, 7, 29.3,⑥⑥⑧
,,,,,,,,,,,,11,11, ダンツクラフト,---,藤田伸, 1.5, 12,* -1, -31, 3,  4.9, ②②,,,,,,,,,,,,,11, 6, ミヤビチェリｰ,---,山口竜, 1.9, 37,  -6, -17,11,191.5,⑦⑨⑩
,,,,,,,,,,,,12,14, イソノクイｰン,---,柴山雄, 1.9, 21, -38,  -2,13,180.2, ⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13, 1, チェリｰカントリｰ,---,小林徹, 2.1, 16, -28, -14,14,256.4, ⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14, 9, ホットフレイバｰ,---,藤岡佑, 2.5, -1, -35, -14, 2,  4.7, ⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-5),,,,,,,,,,,
単勝:310円 複勝:03=110円 05=100円 01=170円 枠連:0円,,,,,,,,,,,,"単勝:460円 複勝:10=200円 08=1,040円 07=490円 枠連:1,120円",,,,,,,,,,,,単勝:350円 複勝:10=160円 07=300円 08=170円 枠連:520円,,,,,,,,,,,,"単勝:230円 複勝:04=150円 01=200円 02=270円 枠連:1,040円",,,,,,,,,,,
馬連:290円 ワイド:03-05=140円 01-03=380円 01-05=250円,,,,,,,,,,,,"馬連:8,380円 ワイド:08-10=2,560円 07-10=700円 07-08=4,040円",,,,,,,,,,,,"馬連:2,860円 ワイド:07-10=1,090円 08-10=370円 07-08=780円",,,,,,,,,,,,馬連:960円 ワイド:01-04=440円 02-04=720円 01-02=990円,,,,,,,,,,,
馬単:700円 3連複:740円,,,,,,,,,,,,"馬単:13,310円 3連複:30,340円",,,,,,,,,,,,"馬単:4,330円 3連複:4,170円",,,,,,,,,,,,"馬単:1,780円 3連複:2,890円 3連単:12,180円",,,,,,,,,,,
■ 2R  芝1500m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9.8,,,,,■ 5R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4.1,,,,,■ 8R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.2,,,,,■11R  芝2600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿寒湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｉリワｰドアルビオン,-48,四位洋,, 48,* -6,* -8, 5, 15.3,②②②, 1, 6,Ｄクｰルビスティｰ, 60,松田大,, 66,*  2,   2, 7, 15.3,②③②, 1, 3,Ｃビコｰジェネラル, 69,横山典,, 62,*-10,  14, 2,  4.9,②②②, 1,11,Ｃトレオウオブキング, 79,岩田康,, 79,*-13,* 29, 3,  5.8,①①①
 2, 8,Ａスマｰトフォルム, 60,柴山雄, 0.2, 49,* -3, -11, 3,  6.3,②②①, 2, 7,Ｈメジロアレグレット, 55,藤田伸, 0.0, 66,*  3,   2, 1,  3.1,④③③, 2, 9,Ｂユノナゲット, 71,北村宏, 0.0, 76, -12,* 23, 3,  5.2,⑥⑨③, 2, 4,Ａピサノパテック, 79,藤田伸, 0.3, 71,*-13,  26, 1,  3.2,②②②
