06年 3月25日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 3月25日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.9,,,,,■ 4R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.9,,,,,■ 7R  ダ1000m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1.3,,,,,■10R  芝1200m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,庄内川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂアドマイヤミラクル, 52,中舘英,, 60,*  2,  -6, 1,  2.1,②①①, 1,10,Ｅラブハｰト, 54,長谷川,, 66,   1,   3, 2,  4.0, ④④, 1,11,Ｃスカイノヒｰロ, 67,幸英明,, 70,*  4,*  4, 4,  7.4, ①①, 1, 5,Ｂサイキョウワｰルド, 70,中舘英,, 74,   0,* 12, 1,  2.1, ③③
 2,13,Ｇインスパイアリング, 46,渡辺薫, 0.0, 60,*  2,  -6, 6, 21.7,②①①, 2, 6,Ｊチャｰムスタｰ, 45,鮫島良, 0.4, 60,*  9, -14, 6, 18.0, ①①, 2, 8,Ｂキクノグロｰリｰ, 70,中舘英, 0.3, 66,   3,*  2, 1,  2.3, ③③, 2, 2,Ｋタイキマｰズ, 61,長谷川, 0.2, 71,  -5,* 13, 6, 12.0, ⑧⑥
 3, 9,Ｅランティランナｰ, 50,幸英明, 0.4, 56,  -3,* -1, 4,  6.7,⑪⑥⑥, 3,15,Ａハイブレッド, 64,藤岡佑, 0.6, 56,  -3,  -1, 1,  3.1, ⑧⑧, 3,16,Ｆバンダムハリアｰ, 63,加藤士, 0.7, 62,   2,  -1, 5, 11.4, ⑤④, 3,10,Ｆダイイチミラクル, 66,柴山雄, 0.2, 70,  -3,* 11, 3,  7.0, ⑦⑥
 4,12,Ｋトシツカサオｰ, 34,小林徹, 1.4, 49,  -1, -14,11,182.6,⑦④④, 4,11,Ｂサクラサクセス, 58,小島太, 0.7, 48, -14,*  3, 3,  5.8, ⑫⑫, 4,14,Ａデュランティ, 71,塚田祥, 0.7, 61,*  5,  -5, 2,  4.3, ①①, 4, 3,Ｎコスモスパｰブ, 56,小林久, 0.4, 68,  -8,* 13,14,105.8, ⑫⑪
 5, 3,Ｊマイスイｰトプラン, 38,芹沢純, 1.8, 46,  -7,  -8, 8, 48.9,⑬⑩⑧, 5, 8,Ｇグッドショコラ, 50,渡辺薫, 0.7, 52, -12,*  5, 7, 18.1, ⑫⑫, 5, 4,Ｅタケデンバトル, 66,吉田隼, 0.8, 55,  -2,  -3, 3,  7.0, ⑤⑦, 5, 8,Ｍサクラチェリｰ, 57,高橋亮, 0.5, 66,*  5,  -1,10, 54.3, ①①
 6,14,Ａアゴヒゲイッポン, 54,大野拓, 1.9, 42,  -3, -21, 3,  6.1,④④④, 6,16,Ｈハギノミネルバ, 49,古川吉, 0.7, 54,  -7,   0, 9, 31.1, ⑩⑧, 6,10,Ｈスタｰペスゲンズイ, 57,上野翔, 0.8, 56,  -5,   0, 9, 55.9, ⑧⑧, 6, 4,Ｐピサノランゲ, 51,北村浩, 0.5, 66,  -5,   8,16,236.9, ⑧⑨
 7, 1,Ｈサダムスカイミロク, 42,酒井学, 2.0, 44,  -5, -12,10, 95.0,⑧⑨⑧, 7, 7, ワンダｰタバスコ,---,野元昭, 0.8, 50, -15,*  7,13, 62.9, ⑮⑭, 9, 9,Ｄヤクモソニック, 67,芹沢純, 0.9, 57,  -4,   0, 6, 11.6, ⑧⑧, 7,18,Ｄニホンピロブリュレ, 69,村田一, 0.6, 64,*  1,   0, 8, 32.7, ③③
 8, 7,Ｄルルドウォｰタｰ, 50,柴山雄, 2.2, 43,*  2, -27, 2,  5.6,①①①, 8,12,Ｋアソビゴコロ, 37,川島信, 0.8, 53,  -4,  -4,15, 97.4, ⑧⑧, 7, 3,Ｇカウンタｰブラスト, 60,石橋脩, 0.9, 56,  -7,*  2, 7, 24.3, ⑩⑩, 8, 7,Ｅフジタカペトラ, 68,野元昭, 0.7, 63, -11,* 11, 9, 36.2, ⑬⑪
 9,11,Ｃコスモマゼンタ, 51,鮫島良, 2.5, 37,  -6, -21, 7, 23.4,⑤⑧⑧, 9, 4,Ｍサイキョウキング, 29,柴山雄, 1.0, 46, -19,*  8,14, 75.7, ⑰⑰, 8, 2,Ｏシｰグランジャｰ, 48,太宰啓, 1.3, 55,   2,  -7, 8, 32.7, ⑤④, 9,13,Ｃニホンピロリビエラ, 69,小林徹, 0.8, 62,  -6,   5, 7, 14.1, ⑩⑨
10, 6,Ｆロｰランシャルフ, 47,藤岡佑, 2.6, 39,  -3, -22, 5,  8.2,⑤⑥⑥,10, 2,Ｆトウケイアトラント, 52,高橋亮, 1.0, 52,*  5, -15, 8, 19.7, ②②,10, 6,Ｌエイシンブラボｰ, 50,長谷川, 1.3, 51,  -8,  -1,11,135.8, ⑪⑪,10, 1,Ｉセイウンボｰルド, 64,川田将, 0.8, 61,*  2,  -2, 4, 11.4, ③③
11, 8,Ｉクｰルテイスト, 38,小島太, 2.9, 34, -16,* -6, 9, 81.5,⑭⑬⑬,11, 9,Ｉナリタモｰガン, 46,橋本美, 1.1, 44, -16,   3,11, 57.1, ⑮⑯,11, 1,Ｍドッグソウレインボ, 50,丹内祐, 1.4, 46, -15,*  1,15,267.4, ⑬⑬,11,17,Ａファインテイオｰ, 76,芹沢純, 1.0, 57,  -7,   2, 2,  6.2, ⑩⑪
12, 2,Ｌジュンノホｰプ, 32,川島信, 3.0, 36, -10, -14,14,240.9,⑪⑪⑪,12, 1,Ｑクリノゴｰルド,-12,北村浩, 1.2, 49,*  3, -17,16,130.2, ③②,12,15,Ｉギャンブルアゲン, 53,柴山雄, 1.4, 53,   3, -10,10, 61.2, ③④,12,15,Ｈグランプリペガサス, 64,幸英明, 1.0, 58,  -1,  -2, 5, 11.5, ⑥⑥
13,10,Ｍイケヘイロｰ, 17,河北通, 3.7, 31, -10, -21,12,188.3,⑩⑪⑪,13,14,Ｎザトライアンフ, 27,幸英明, 1.2, 45,  -7,  -7,10, 43.7, ⑩⑪,13,12,Ｋデンコウパワｰ, 51,小島太, 1.4, 46, -10,  -4,13,145.9, ⑪⑫,13, 9,Ｌコスモライトアップ, 58,藤岡佑, 1.1, 56, -17,* 12,15,109.9, ⑯⑯
14, 4,Ｎションリｰ,  3,加藤士, 7.5,  0, -15, -48,13,220.6,⑨⑬⑭,14,17,Ｃキャラメレ, 57,田中克, 1.8, 34,  -1, -26, 5, 12.5, ④④,14,13,Ｎタニノカフェオｰレ, 49,鮫島良, 1.5, 44, -14,  -2,12,144.5, ⑬⑬,14,14,Ｏゴｰルドガンダム, 55,武幸四, 1.1, 56, -15,   8,13, 88.9, ⑭⑭
,,,,,,,,,,,,15, 5,Ｐアラビックリｰダｰ, 18,二本柳, 1.9, 30, -24,  -1,18,320.3, ⑱⑱,15, 5,Ｊサンサンシャイン, 52,田中克, 2.2, 35, -16,  -8,16,285.9, ⑬⑬,15,11,Ｇロｰズギャラリｰ, 66,石橋脩, 1.2, 54,*  3, -11,12, 83.9, ②②
,,,,,,,,,,,,16,13,Ｌイサミフラワｰ, 33,中舘英, 2.1, 33,   1, -29,12, 58.3, ④④,16, 7,Ｐライトアンドパワｰ, 32,岩崎祐, 2.6, 30, -24,  -4,14,229.2, ⑯⑯,16,12,Ｒシルクエクストラ, 45,渡辺薫, 1.4, 52, -17,   7,17,293.0, ⑯⑯
,,,,,,,,,,,,17,18,Ｄメイルリヒト, 57,石橋脩, 2.2, 32,   1, -31, 4,  7.7, ④④,,,,,,,,,,,,,17,16,Ｊナイキクラウン, 63,田辺裕, 1.5, 49, -13,   0,11, 75.9, ⑭⑭
,,,,,,,,,,,,18, 3,Ｏトライアンファル, 21,上野翔, 2.5, 19, -13, -25,17,303.2, ⑫⑭,,,,,,,,,,,,,18, 6,Ｑクリノフォｰチュン, 49,川島信, 1.8, 45, -23,   5,18,438.1, ⑱⑱
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-5),,,,,,,,,,,
単勝:210円 複勝:05=120円 13=500円 09=210円 枠連:430円,,,,,,,,,,,,"単勝:400円 複勝:10=150円 06=410円 15=130円 枠連:4,560円",,,,,,,,,,,,単勝:740円 複勝:11=200円 08=130円 16=340円 枠連:740円,,,,,,,,,,,,単勝:210円 複勝:05=110円 02=300円 10=190円 枠連:660円,,,,,,,,,,,
"馬連:1,640円 ワイド:05-13=660円 05-09=350円 09-13=1,760円",,,,,,,,,,,,"馬連:5,130円 ワイド:06-10=1,700円 10-15=230円 06-15=1,520円",,,,,,,,,,,,"馬連:780円 ワイド:08-11=380円 11-16=1,390円 08-16=590円",,,,,,,,,,,,"馬連:1,440円 ワイド:02-05=560円 05-10=300円 02-10=1,340円",,,,,,,,,,,
"馬単:2,490円 3連複:4,120円",,,,,,,,,,,,"馬単:8,710円 3連複:4,660円",,,,,,,,,,,,"馬単:2,180円 3連複:3,010円",,,,,,,,,,,,"馬単:2,120円 3連複:3,010円 3連単:10,090円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7.3,,,,,■ 5R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.4,,,,,■ 8R  ダ2300m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-0.2,,,,,■11R  芝1200m 4歳上1000万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-0.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,知立特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ａシャンフェン, 52,村田一,, 63,* -1,*  1, 4,  6.3, ③③, 1, 4,Ｅミルキｰウェイ, 50,幸英明,, 57,*-28,* 19, 3,  5.6,③②③, 1,10,Ｅリュウゴｰルド, 65,塚田祥,, 62,* -8,  12, 4,  9.2,⑧③③, 1, 9,Ｈアグネスラズベリ, 73,中舘英,, 89,   4,* 22, 2,  5.0, ⑦⑤
 2, 4,Ｐショウエンジェリコ,-25,長谷川, 0.3, 61,*  2,  -4, 5,  9.1, ①①, 2,15,Ｃセピアウインド, 54,芹沢純, 0.0, 53,*-26,  16, 1,  3.2,①①①, 2, 9,Ｃプライヴァティｰア, 68,柴山雄, 0.2, 67,  -8,* 16, 1,  3.0,⑮⑦⑦, 2,14,Ａマルブツブリザｰド, 82,川島信, 0.2, 87,   8,  16, 3,  6.4, ⑤③
 3, 3,Ｈブルｰバスタｰ, 40,中舘英, 0.6, 58,*  2,  -7, 2,  4.0, ①①, 3, 2,Ｆグランオマｰジュ, 50,中舘英, 0.1, 61, -30,* 22, 2,  3.4,⑦⑦⑧, 3, 5,Ｈトｰセンマウンテン, 63,加藤士, 0.4, 63,  -8,  13, 8, 16.9,⑤⑤⑤, 3,10,Ｅタイキミュｰズ, 77,藤岡佑, 0.4, 83,* 10,  11, 5, 11.6, ③③
 4,11,Ｂビｰトザディｰラｰ, 51,柴山雄, 0.7, 52,  -9,  -1, 1,  2.9, ④④, 4, 7,Ｈシャドウストリｰム, 40,川田将, 0.3, 45,*-28,  12, 4,  6.4,②②①, 4, 8,Ｄロｰレルハッピｰ, 65,北村浩, 0.5, 64,  -8,  14, 2,  3.3,⑭⑧⑦, 4, 1,Ｉエミナ, 71,石橋脩, 0.4, 81,  -3,* 24, 8, 16.4, ⑮⑬
 5, 8,Ｄクリスタルハｰト, 48,鮫島良, 0.8, 46, -19,*  2, 3,  5.6, ⑧⑧, 5, 3,Ｂティアラプリンセス, 55,太宰啓, 0.6, 43, -29,  13, 6, 10.9,⑤⑤⑥, 5, 1,Ｆバンダムカｰン, 63,村田一, 0.8, 56,  -7,   8, 3,  7.6,③⑤⑤, 5, 5,Ｃプリティメイズ, 79,西田雄, 0.4, 81,   1,  19, 1,  4.5, ⑩⑩
 6, 9,Ｆデルマヘリオス, 41,吉田隼, 1.4, 40, -15,  -6,11, 80.7, ⑤⑤, 6, 5,Ｋマイスイｰトロｰド, 31,上野翔, 0.7, 39, -32,  11,14,358.2,⑦⑦⑥, 6,15,Ｂワンダｰタイキ, 69,田村太, 0.9, 63, -12,* 16, 6, 12.9,⑫⑮⑭, 6,12,Ｂストｰンブリッジ, 80,武幸四, 0.5, 82,* 11,   8, 6, 12.3, ①①
 7, 1,Ｅカシノエスケイプ, 43,生野賢, 1.6, 37, -25,*  0,10, 68.6, ⑬⑭, 7,11,Ａトｰホウシャイン, 61,渡辺薫, 0.9, 28,*-28,   5, 5,  7.8,③②③, 7,11,Ｌエプソムライジン, 55,二本柳, 0.9, 64, -10,* 15,14,172.3,⑫⑬⑪, 7, 8,Ｄヒシアスカ, 79,田嶋翔, 0.7, 79,* 12,   3,12, 34.1, ①①
 8,14,Ｇヤマニンアルテミス, 40,二本柳, 1.7, 40, -13,  -9, 8, 50.5, ⑤⑤, 8, 1,Ｉマチカネワカナ, 32,藤岡佑, 1.1, 37, -32,  11, 9, 99.9,⑩⑩⑩, 8, 7,Ａカルストンキングオ, 72,吉田隼, 1.0, 55, -10,   9, 5, 10.6,⑨⑧⑨, 8,15,Ｎポイントセブン, 68,川田将, 0.8, 75,   0,  14, 9, 16.8, ⑪⑩
 9, 6,Ｃエプソムバクシン, 49,川田将, 1.7, 38, -15,  -8, 6, 17.0, ⑤⑤, 9, 6,Ｍブザムカレッサｰ, 20,武英智, 1.1, 42, -34,  14,16,601.3,⑫⑪⑪, 9,16,Ｉヴイトゥリｰ, 61,丹内祐, 1.2, 47,* -6,  -3, 7, 16.2,⑤①①, 9, 2,Ｌマヤノジャハｰン, 69,長谷川, 0.9, 71,  -8,* 20,14, 53.2, ⑯⑰
10,15,Ｉリュウスパイク, 39,塚田祥, 1.8, 33, -27,  -3,12, 91.1, ⑬⑪,10,14,Ｊマジカルサリｰ, 32,橋本美, 1.2, 45, -36,* 17,13,356.7,⑮⑬⑬,10, 6,Ｋヤクモアクティヴ, 55,長谷川, 1.3, 52,  -9,   7,12,137.0,⑨⑧⑩,10,16,Ｆエムオｰウイナｰ, 76,橋本美, 1.0, 73,   4,   6, 4,  7.4, ⑦⑤
11, 2,Ｊスティｰルレディ, 34,藤岡佑, 1.9, 35, -20,  -6,16,242.6, ⑨⑨,11,16,Ｎレモンフレｰヴァｰ, 19,二本柳, 1.3, 42, -36,  16,11,264.8,⑯⑬⑬,11,14,Ｊラガｰチトセオｰ, 60,川田将, 1.5, 45,* -6,  -6,10, 47.2,②①①,11, 3,Ｐチャレンジセイエン, 68,村田一, 1.1, 68,   0,   9,17, 96.2, ⑪⑬
12,16,Ｍバンダムマッスル, 29,田村太, 2.1, 29, -22,  -9,14,184.3, ⑨⑪,12,13,Ｌディアフラワｰ, 25,小原義, 1.4, 24, -32,   5,12,328.9,⑨⑨⑧,12,13,Ｍホｰリｰオラクル, 47,内田浩, 1.6, 46,* -6,  -3,15,185.6,③③④,12, 7,Ｏメイショウブンゴ, 68,幸英明, 1.1, 69,  -8,  18,16, 96.0, ⑯⑮
13,10,Ｋジョｰリュウショウ, 32,丹内祐, 2.1, 28, -33,  -2,15,219.7, ⑯⑮,13, 8,Ｏフレッシュチェリｰ, 10,吉田隼, 1.6, 31, -39,  11,15,414.7,⑬⑯⑮,13, 2,Ｇハｰドチケット, 63,幸英明, 2.5, 42,  -9,  -3, 9, 43.1,⑪⑫⑬,13,11,Ｍシセイヒカリ, 69,柴山雄, 1.1, 67, -10,  19,11, 27.8, ⑯⑱
14,12,Ｏワイルドスピｰド, -1,上野翔, 2.4, 27, -20, -13, 9, 51.2, ⑨⑨,14,10,Ｄジｰザスクロス, 52,田中克, 1.8, 12, -30,  -9, 7, 25.3,⑤⑤③,14,12,Ｏロｰランシエロ, 37,中舘英, 2.7, 47, -13,   7,11, 64.3,⑮⑯⑯,14, 4,Ｒミスホｰユｰ, 62,荻野要, 1.3, 66,   4,   2,18,244.3, ⑦⑨
15, 5,Ｎパｰプルサンバ, 11,石橋脩, 2.5, 28, -24, -10,13,144.4, ⑫⑪,15, 9, ナイスビクトリア,---,小林徹, 2.2, 12, -34,  -3,10,150.6,⑬⑪⑫,15, 4,Ｎマッキｰエンペラｰ, 44,野元昭, 4.9, 19,  -9, -29,13,143.9,①⑧⑪,15, 6,Ｑトｰセンラヴ, 65,丹内祐, 1.3, 68,   0,   7,15, 56.2, ⑪⑩
16, 7,Ｌウインウラカワ, 29,幸英明, 3.0, 20, -28, -12, 7, 18.6, ⑮⑮,16,12,Ｇシルクアウロｰラ, 43,長谷川, 3.7,-11, -36, -21, 8, 52.5,⑩⑬⑯,16, 3,Ｐファインピｰク, 37,田辺裕, 5.4, 18, -11, -28,16,279.7,⑤⑭⑮,16,17,Ｇケイウンバクシン, 76,鮫島良, 1.4, 64,  -2,   6, 7, 15.1, ⑭⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,18,Ｊオｰスチンロｰズ, 70,高山太, 1.7, 62,   6,  -6,10, 22.2, ⑥⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,13,Ｋメイショウリオン, 70,小林徹, 2.1, 56,* 10, -15,13, 43.8, ③⑤
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-21 ﾚｰｽｱｶﾞﾘ指数:+19 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+21 馬場:良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-5),,,,,,,,,,,
"単勝:630円 複勝:13=220円 04=370円 03=210円 枠連:1,050円",,,,,,,,,,,,単勝:560円 複勝:04=150円 15=130円 02=130円 枠連:600円,,,,,,,,,,,,"単勝:920円 複勝:10=330円 09=160円 05=340円 枠連:1,320円",,,,,,,,,,,,単勝:500円 複勝:09=240円 14=240円 10=340円 枠連:770円,,,,,,,,,,,
"馬連:4,300円 ワイド:04-13=1,330円 03-13=760円 03-04=1,070円",,,,,,,,,,,,馬連:790円 ワイド:04-15=290円 02-04=270円 02-15=270円,,,,,,,,,,,,"馬連:1,480円 ワイド:09-10=620円 05-10=1,930円 05-09=690円",,,,,,,,,,,,"馬連:1,850円 ワイド:09-14=850円 09-10=1,200円 10-14=1,260円",,,,,,,,,,,
"馬単:9,010円 3連複:7,380円",,,,,,,,,,,,"馬単:1,980円 3連複:800円",,,,,,,,,,,,"馬単:3,590円 3連複:5,920円",,,,,,,,,,,,"馬単:3,320円 3連複:6,670円 3連単:29,440円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.7,,,,,■ 6R  ダ1700m 4歳上500万(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0.3,,,,,■ 9R  ダ1700m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0.1,,,,,■12R  芝2000m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,熱田特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｅモトメチャン, 50,大野拓,, 53,* -7,* -1, 6, 11.3,③①①, 1, 8,Ａレイナシンフォニｰ, 68,幸英明,, 61,  -9,*  8, 5,  8.7,⑥⑤④, 1, 1,Ａユｰスフルデイズ, 71,小林久,, 71,* -8,* 17, 1,  1.7,②①①, 1, 7,Ｃテイエムハヤブサ, 69,武幸四,, 71,*  1,   8, 3,  7.3,⑦④①
