06年 7月16日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 7月16日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.9,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.9,,,,,■10R  芝1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,博多ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａテイエムノブシオｰ, 64,小牧太,, 67,*  2,*  3, 1,  1.4, ①①, 1, 6, ストラテジｰ,---,太宰啓,, 64,* -9,* 11, 3,  5.3, ①①, 1,12,Ｈタヤスゼンカイ, 57,赤木高,, 79,*  0,* 16,10, 44.9,②②②, 1,10,Ｃアップドラフト, 86,川田将,, 81,  10,* 15, 5, 10.5,⑪⑪⑧
 2, 8,Ｃスペクタクル, 54,佐藤哲, 0.8, 54,  -2,  -4, 2,  7.9, ②②, 2,14, ジｰニアス,---,川田将, 0.8, 51, -24,* 12, 1,  2.0, ⑩⑧, 2, 7,Ａダノンシャトル, 73,中村将, 0.0, 77,* -2,* 15, 1,  2.2,③③③, 2, 2,Ｅマヤノグレイシｰ, 83,池添謙, 0.0, 83,  13,*  9, 1,  2.7,④④③
 3, 6,Ｄキタサンキングオｰ, 53,赤木高, 0.9, 53,*  0,  -6, 5, 12.0, ②②, 3, 2, オｰスミオｰカン,---,石橋守, 0.8, 49, -19,   8, 4,  9.8, ⑤⑤, 3, 4,Ｂペプチドジャスパｰ, 69,小牧太, 0.3, 72,*  0,* 12, 2,  4.5,①①①, 3, 6,Ｆフェイトトリックス, 83,福永祐, 0.3, 78,  11,   7, 2,  5.6,⑧⑥⑤
 4,11,Ｆホｰマンラブリｰ, 50,飯田祐, 1.0, 52,  -5,  -4, 4, 11.6, ⑥⑥, 4,11, テンシノウィｰク,---,中村将, 0.9, 44, -22,   6, 6, 27.0, ⑧⑦, 4,15,Ｄナナヨｰヒマワリ, 65,小原義, 1.1, 69,  -4,* 13, 5, 12.1,⑩⑨⑦, 4, 8,Ｊニホンピロキｰス, 79,佐藤哲, 0.4, 78,  11,* 10, 6, 13.6,⑨⑪⑧
 5, 2,Ｅジャストファイブ, 52,中村将, 1.3, 44,  -5,  -9, 6, 18.6, ⑤④, 5,10, ツルマルアイ,---,武豊  , 1.0, 44, -15,   2, 2,  4.4, ④③, 5, 2,Ｇチャンプイズヒア, 60,福永祐, 2.2, 51,  -3,  -1, 6, 12.7,⑦⑦⑥, 5, 4,Ｌダイタクアルビン, 76,石橋守, 0.5, 73,   9,   4,14,170.7,⑤⑨⑩
 6,10,Ｇビオンディｰナ, 47,川田将, 1.6, 41,  -5, -10, 7, 26.6, ⑥⑥, 6, 1, リサミサツインズ,---,小牧太, 1.0, 43,*-14,   0,11, 88.3, ③③, 6,14,Ｅマルブツブラボｰ, 63,船曳文, 2.4, 50,  -7,   2, 3,  9.5,⑪⑪⑩, 6, 9,Ｍカゼニフカレテ, 75,田中学, 0.6, 71,   8,   4,13,132.4,⑬⑪⑩
 7, 4,Ｉラクシュミｰ, 32,幸英明, 1.9, 39, -23,  -2, 9,202.1, ⑩⑨, 7, 8, マイネルビスタ,---,佐藤哲, 1.2, 42, -23,   6,10, 83.5, ⑩⑧, 7, 1,Ｃロｰドフォｰミュラ, 66,岩田康, 2.7, 49,  -1,  -8, 7, 14.7,③④④, 7, 3,Ａホッコｰソレソレｰ, 89,小牧太, 0.8, 73,  13,  -4, 3,  6.4,⑥④⑤
 8,12,Ｈエヴァブルｰム, 45,田中学, 2.0, 36,  -2, -16, 8, 73.7, ②⑤, 8, 4, タケイチゼット,---,池添謙, 1.3, 44, -32,* 12, 9, 59.8, ⑭⑪, 8,10,Ｉベネディクタス, 55,和田竜, 2.8, 49,  -1,  -8,11, 61.9,⑦⑤④, 8,15,Ｈエロｰグ, 80,岩田康, 1.0, 71,* 14,  -8,10, 32.8,③③①
