06年 5月20日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 5月20日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 3 歳未勝利(父) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.2,,,,,■ 4R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3.8,,,,,■ 7R  ダ1700m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1.9,,,,,■10R  ダ1700m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-4.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昇竜ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂビッグタキオン, 59,和田竜,, 67,   1,* 11, 2,  4.4,⑩⑧⑧,14, 8,Ｃロケットシュｰト, 61,藤岡佑, 0.0, 69,  -2,* 14, 6, 19.1,⑥⑥③, 1, 7,Ｅワキノエクセル, 62,小牧太,, 67,* -2,  10, 4,  9.3,①①①, 1,13,Ｆバンブｰエｰル, 67,池添謙,, 71,*  7,*  2, 6, 12.2,②②②
 2, 4,Ｉミスタｰキセキ, 41,上村洋, 0.2, 65,   3,   5, 9, 73.1,④⑥⑥, 1, 1,Ｄセレスステｰラｰ, 60,和田竜,, 69,*  0,*  9, 2,  4.6,③③①, 2,11,Ｂパントマイミスト, 71,武幸四, 0.0, 68,* -3,* 11, 2,  3.3,③②②, 2,14,Ｃフィｰルドオアシス, 69,田中勝, 0.3, 68,*  6,   0, 4,  6.0,⑦②③
 3, 1,Ｄサンファイバｰ, 55,本田優, 0.3, 66,*  9,  -9, 4,  7.3,⑧②①, 2, 4,Ｌスズカトゥルｰ, 40,上村洋, 0.6, 62,  -3,   8,11, 95.7,⑩⑩⑦, 3,14,Ｍナムラチｰフ, 53,秋山真, 0.2, 66,* -2,  10, 8, 22.6,②②②, 3, 2,Ｄヒシハイグレｰド, 69,小林淳, 0.3, 69,   6,*  1, 5, 11.3,⑤⑤④
 4,13,Ａアドマイヤラン, 68,岩田康, 0.4, 61,  -1,*  9, 1,  2.0,⑪⑪⑩, 3, 9,Ｉラッキｰジンクス, 50,吉田稔, 0.9, 58,  -4,   6,10, 64.4,⑪⑫⑨, 4, 6,Ａホウシュウムサシ, 74,高田潤, 0.2, 67,  -4,* 11, 1,  2.8,⑨④④, 4, 5,Ａユｰワハリケｰン, 78,本田優, 0.6, 66,   5,   0, 1,  3.4,⑭⑧⑥
 5, 6,Ｆガチャガチャ, 49,佐藤哲, 0.5, 62,   5,  -4, 8, 63.0,②④④, 4,13,Ｂヒカルユメハナビ, 62,四位洋, 1.1, 56,  -2,  -3, 1,  2.2,⑧⑥④, 5, 3,Ｈフィｰルドジュエル, 60,佐藤哲, 0.3, 69,  -6,* 14, 9, 29.6,⑪⑩⑧, 5, 3,Ｐウォｰタｰポロ, 56,秋山真, 0.7, 65,*  8,  -6,15,131.0,①①①
 6, 7,Ｅフラワｰパレｰド, 51,池添謙, 0.6, 60,   4,  -4, 7, 49.2,⑥⑤⑤, 5, 2,Ｅサンデｰカズ, 55,池添謙, 2.3, 42,  -2, -20, 5, 11.9,⑪⑥⑧, 6, 5,Ｇケｰジｰエリシオ, 60,内田浩, 0.5, 64,  -5,  10,13,199.3,⑥⑦⑥, 6, 9,Ｈメイショウシャフト, 66,武幸四, 0.7, 65,   5,  -2, 8, 22.6,③⑦⑧
 7, 2,Ｈヤマカツダンサｰ, 43,高田潤, 0.7, 58,   1,   2, 6, 18.5,⑥⑩⑧, 6, 7,Ｊウォｰタｰトリトン, 44,菊地昇, 2.5, 39,*  3, -34, 9, 31.4,①①②, 7,10,Ｄジョｰキャプテン, 64,本田優, 1.0, 57,  -5,   6, 7, 18.3,⑪⑧⑦, 7, 7,Ｌツルマルスリｰ, 63,和田竜, 1.1, 64,   0,*  3, 9, 30.0,⑯⑮⑮
 8,11,Ｃバブルガムライト, 55,角田晃, 1.1, 55,*  7, -18, 3,  5.2,⑤③③, 7, 5,Ａロｰランアントレ, 73,田中学, 2.6, 38,*  0, -30, 3,  6.5,③③④, 8,13,Ｃグランドパルファン, 66,和田竜, 1.1, 56,  -5,   5, 3,  6.7,⑨⑧⑧, 8, 4,Ｏゼットコマンダｰ, 61,丸野勝, 1.2, 62,   4,  -5,10, 38.5,⑦⑨⑧
