06年 9月30日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 9月30日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.5,,,,,■ 4R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.1,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.9,,,,,■10R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,恵庭岳特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｉケイアイスパイダｰ, 29,北村宏,, 78,*  1,* 10, 2,  4.2, ②②, 1,13,Ｈソノフェリｰチェ, 41,大野拓,, 55,*-11,   5, 8, 30.3, ①①, 1, 3,Ｂグランドホイッスル, 62,岩田康,, 69, -13,* 22, 2,  3.0,③④④, 1,11,Ｉマイネルキッツ, 62,柴山雄,, 69,   0,  10, 3,  5.3,⑨④⑤
 2, 5,Ｂカネスラファｰル, 52,柴山雄, 0.8, 65,  -3,*  5, 4,  8.4, ③③, 2,10,Ｂトドロキカポネツｰ, 62,小林徹, 0.1, 62, -19,* 14, 1,  3.1, ⑧⑧, 2, 7,Ａホッカイラブリｰ, 64,北村宏, 0.5, 69, -17,* 24, 1,  3.0,⑬⑩⑦, 2, 4,Ｂゲイルバニヤン, 71,藤田伸, 0.0, 72,  -2,* 13, 2,  3.9,⑧⑨⑥
 3, 4,Ａスキマチェリｰ, 55,鈴来直, 0.8, 63,*  5,   0, 1,  2.0, ①①, 3, 7,Ｏコｰルトゥマインド,-62,塚田祥, 0.4, 53, -24,* 11,11,111.9, ⑬⑪, 3,13,Ｆヴィｰトマルシェ, 57,小島太, 0.5, 56,*-13,  15, 3,  5.9,③③②, 3, 2,Ｅアｰスクリスハｰン, 65,岩田康, 0.3, 63,   0,   6, 4,  5.6,③④③
 4, 8,Ｃグランエクレｰル, 48,四位洋, 1.5, 55, -14,*  5, 3,  6.6, ⑤④, 4, 8,Ｇヴィオレッタ, 44,柴山雄, 0.7, 43,*-13,  -1, 3,  6.1, ②②, 4, 2,Ｈエイシンサンバレｰ, 55,柴山雄, 0.6, 56,*-12,  14, 6, 21.1,②②②, 4,14,Ｃワインアドバイザｰ, 71,鈴来直, 0.3, 59,*  2,   0, 9, 37.9,①①①
 5,11,Ｋセレスクラｰジュ, 15,岩田康, 2.7, 38, -10, -10, 7, 21.5, ④⑤, 5,15,Ｅスカイヴォイジャｰ, 48,秋山真, 0.7, 43,*-12,  -3, 6, 11.9, ②②, 5, 4,Ｅプリモレディ, 59,大野拓, 0.9, 60, -18,* 20, 8, 27.3,⑪⑫⑨, 5, 8,Ｋクｰルダンサｰ, 59,北村宏, 0.4, 58,*  2,   0, 6, 14.2,②②②
 6, 7,Ｆサンライトフェロｰ, 32,五十嵐, 2.9, 35, -22,  -4, 8, 64.3, ⑪⑩, 6,12,Ａサｰクルチェンジ, 63,的場勇, 0.8, 38, -18,  -2, 2,  3.9, ⑤④, 6, 8,Ｇアジアン, 56,千葉直, 0.9, 53, -15,  14, 9, 48.5,⑤⑤⑥, 6, 9,Ａクｰルビスティｰ, 72,松田大, 0.5, 57,*  1,   0, 1,  3.4,③③③
 7, 1,Ｈレッドソウル, 30,古川吉, 2.9, 35, -18,  -7,10,169.4, ⑦⑧, 7, 4,Ｉセイカバｰバリアン, 40,北村宏, 1.1, 38, -21,   0,10, 90.3, ⑪⑨, 7, 6,Ｊツインタイトル, 51,秋山真, 0.9, 58, -17,  18,12, 85.9,⑤⑧⑨, 7, 3,Ｈモンブランカフェ, 64,小島太, 0.6, 60,   0,   4, 7, 16.1,⑤④⑥
 8, 9,Ｅタイニｰダンサｰ, 37,川島信, 2.9, 35, -18,  -7, 9, 75.5, ⑦⑦, 8,16,Ｋドクタｰヴィガラス, 38,菊沢隆, 1.1, 39, -26,   5,13,171.2, ⑭⑬, 8, 5,Ｉスズカノフジアロｰ, 51,松田大, 1.0, 56, -15,  16,10, 60.8,⑧⑥⑤, 8, 5,Ｍドレスコｰド, 57,藤岡佑, 0.7, 56,   0,   0, 5, 13.7,⑤④⑥
