06年 9月24日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 9月24日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-14.4,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.1,,,,,■10R  ダ1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,茨城新聞杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａマイネルブリアｰ, 45,岩田康,, 59,  -5,*  3, 2,  3.2,⑦④③, 1, 1, ジャガｰ,,金子光,,,,, 4,  7.0,③②①, 1, 5,Ｃミネルバサウンド, 69,横山典,, 65,*  4,  -2, 4,  8.0,②①①, 1, 1,Ａダイワインディアナ, 74,北村宏,, 79,* 10,  10, 2,  5.5, ③③
 2, 2,Ｉクロスホｰリｰ, 23,郷原洋, 0.0, 57,* -1,  -5,13,219.3,①①①, 2, 6, マイネルゼスト,,山本康, 1.2,,,, 6, 12.4,④④②, 2,14,Ｂスパイラルリング, 70,五十嵐, 0.0, 65,   2,*  4, 2,  4.8,⑧⑧⑨, 2,14,Ｏサンエムウラノス, 67,上村洋, 0.2, 75,   7,   9,13, 46.6, ⑤⑤
 3,10,Ｂゲラウトマイウエイ, 39,横山典, 0.1, 57,  -5,*  0, 3,  7.2,②④③, 0, 7, ベネディクタス,,林満明, 2.6,,,, 1,  2.9,①③③, 3, 1,Ａパｰプルプロｰズ, 72,蛯名正, 0.3, 63,   1,*  0, 1,  2.3,⑭⑧④, 3, 9,Ｄハニｰハント, 74,田中勝, 0.3, 76,   3,  12, 4, 12.0, ⑨⑨
 4,13,Ｎオｰクロイヤル, 13,勝浦正, 0.6, 51,  -7,  -3, 9,145.8,⑦⑦⑥, 3, 8, マイネルシルバｰト,,大庭和, 2.9,,,, 7, 22.4,⑧⑤④, 4, 7,Ｊマイネエムロｰド, 62,北村宏, 0.6, 59,   0,*  0,10, 46.9,⑩⑩⑪, 4,11,Ｈエイシンアスワン, 73,小野次, 0.4, 71,* 11,   4, 6, 13.3, ①①
 5, 3,Ｅコスモエタｰナル, 33,松岡正, 0.8, 48,  -7,  -6, 8, 36.8,⑨⑦⑧, 4,12, クリアｰザコｰスト,,岩崎祐, 4.1,,,, 3,  5.0,⑥⑦⑥, 5, 8,Ｍアライブシチｰ, 53,二本柳, 0.7, 60,   1,  -1,14,298.5,⑨⑩⑪, 5, 6,Ｇエプソムボス, 73,石神深, 0.5, 76,  -3,* 15,14, 89.9, ⑬⑭
 6,15,Ｆボレロビｰト, 32,吉田豊, 0.8, 47,* -4, -12, 1,  1.9,④③③, 5, 9, フレンドリｰステラ,,穂苅寿, 6.1,,,, 5,  8.4,⑥⑥⑤, 6,12,Ｆマｰベラスカクテル, 64,勝浦正, 0.9, 59,*  4,  -9, 7, 15.5,②②②, 6, 5,Ｌインサイダｰ, 70,勝浦正, 0.5, 74,  -2,* 14,10, 31.2, ⑬⑫
 7, 7,Ｃカヤドｰブラン, 38,小野次, 0.9, 49, -14,*  3, 6, 16.8,⑭⑭⑮, 6,11, リバルドボｰイ,,浜野谷, 6.1,,,, 8, 35.9,⑨⑧⑦, 7,10,Ｈプレゼンスウｰマン, 64,小野次, 0.9, 58,   2,  -6, 5, 14.0,⑥⑥④, 7,10,Ｉゼンノエキスプレス, 73,小林淳, 0.5, 74,   2,  11, 7, 13.7, ⑨⑨
 8, 9,Ｄシンボリブラｰムス, 34,蛯名正, 0.9, 49, -12,*  0, 5, 16.1,⑫⑪⑫, 7, 4, スガｰペンタイア,,蓑島靖,10.4,,,,11,120.8,⑩⑩⑨, 8, 3,Ｄシルクプレシャス, 66,岩田康, 1.1, 56,   2,  -9, 3,  5.8,⑤④④, 8, 8,Ｃダンシングホｰク, 74,池田鉄, 0.6, 69,   4,   6,15, 94.8, ⑦⑦
