06年 6月24日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 6月24日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.2,,,,,■ 4R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.2,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.9,,,,,■10R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,湯川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａラスカルシチｰ, 54,木幡初,, 60,* -5,   3, 1,  1.9, ①①, 1, 2,Ｋエイシンシテンノｰ, 41,横山典,, 75,*  1,* 15, 5,  7.1,①①①, 1, 6,Ａエスティメｰション, 70,菊沢隆,, 76,   7,*  7, 1,  2.1, ③②, 1, 6,Ｂニュｰヨｰクカフェ, 76,武幸四,, 82,   7,* 15, 1,  2.9,⑥④②
 2, 2, ワンモアチャンプ,---,四位洋, 0.6, 52, -14,   3, 6, 15.7, ⑥⑤, 2,11,Ａアグネスチャンス, 69,秋山真, 0.4, 82,  -7,* 23, 1,  4.1,⑬⑬⑪, 2,11,Ｃジェイケイボストン, 66,藤田伸, 0.4, 68,   5,   3, 2,  4.5, ④④, 2, 2,Ａピサノパテック, 78,藤田伸, 0.0, 82,   8,* 14, 3,  3.1,③③④
 3, 1,Ｇツルマルケン, 39,佐藤哲, 0.7, 51, -19,*  5, 8, 39.3, ⑨⑦, 3,13,Ｃパｰプルカフェ, 53,池添謙, 0.6, 73,  -5,* 17, 2,  4.7,⑨⑩⑦, 3, 7,Ｆミッドナイトトｰク, 57,長谷川, 0.5, 69,   2,   5, 5, 10.9, ⑤⑤, 3, 3,Ｅアドマイヤサンサン, 67,四位洋, 0.1, 81,   7,* 14, 4,  6.8,⑤④⑤
 4, 9,Ｅアンクルマックス, 42,芹沢純, 0.8, 48,* -6,  -4, 9, 39.6, ②②, 4, 7,Ｇマヤノテンザン, 46,小林徹, 0.9, 66,  -5,  13, 7, 16.6,⑪⑩⑪, 4, 3,Ｅレディアマポｰラ, 61,横山典, 0.7, 64,*  8,  -1, 3,  5.0, ②②, 4, 8,Ｃエキサイトラン, 75,松田大, 0.4, 77,*  9,   5, 2,  3.0,②②②
 5,12,Ｄグリフィンアイズ, 47,柴山雄, 1.3, 41,* -6,  -9, 5, 14.5, ②②, 5, 3,Ｄセンタｰファルコｰ, 53,藤田伸, 1.0, 59,  -2,   6, 3,  5.2,⑦⑤④, 5, 8,Ｂデュランティ, 67,塚田祥, 0.9, 58,*  9,  -5, 4,  7.9, ①①, 5, 7,Ｇスｰパｰキャノン, 63,菊沢隆, 1.0, 68,*  9,  -8, 7, 42.6,①①①
 6, 8,Ｆノイモント, 40,津村明, 1.4, 39, -16,  -5, 4, 12.5, ⑧⑦, 6,12,Ｂニシノミライ, 55,藤岡佑, 1.0, 57,*  0,   1, 4,  5.3,②②②, 6, 9,Ｈジパングエンジェル, 56,古川吉, 1.0, 61,  -6,   5, 9,100.0, ⑦⑦, 6, 4,Ｄケイエスジェネラス, 68,小林徹, 1.0, 69,   5,   5, 8, 81.0,⑦⑦⑥
 7, 5,Ｉトｰアキンボシ, 25,郷原洋, 1.4, 40, -19,  -2,10, 46.8, ⑨⑩, 7,10,Ｏセラフ, 37,塚田祥, 1.3, 50,* -3,  -4,11, 64.0,④③②, 7,10,Ｇスズカフロｰラ, 56,芹沢純, 1.0, 61,  -6,   4, 6, 22.3, ⑦⑦, 7, 1, ストリア,---,藤岡佑, 2.2, 57,   6, -13, 5, 26.6,⑦⑦⑥
 8, 7,Ｈトウショウビｰム, 35,塚田祥, 1.6, 35, -11, -12,11, 47.1, ④④, 8, 1,Ｅハッピｰムｰド, 53,須貝尚, 1.3, 55,  -3,   3,10, 44.3,⑤⑦⑦, 8, 1,Ｉシルクグラビティｰ, 52,山口竜, 1.2, 59,  -9,   5, 7, 26.6, ⑨⑨, 8, 5,Ｆマイネルアエラス, 66,秋山真, 2.2, 57,   7, -17, 6, 39.9,④④⑥
 9, 6,Ｂタイキマジェスティ, 51,須貝尚, 1.7, 37, -11, -10, 2,  3.9, ④⑤, 9, 6,Ｉミヤコノアドミラル, 45,木幡初, 1.3, 55,  -3,   3, 9, 29.7,⑧⑦⑦, 9, 4,Ｄブラックシチｰ, 63,鹿戸雄, 1.3, 55,  -3,  -1, 8, 31.6, ⑥⑥,,,,,,,,,,,,
10,11,Ｊエｰデルシュタイン,  1,菊沢隆, 2.7, 28, -13, -19,12,170.0, ⑥⑦,10, 8,Ｊマイネミニケリｰ, 42,佐藤哲, 1.3, 54,* -1,  -2, 6, 16.5,③③④,10, 2, ハイパｰストロング,---,黛弘人, 2.1, 43, -15,  -2,10,114.5, ⑩⑩,,,,,,,,,,,,
11, 4, アイウォｰル,---,小林徹, 3.2, 18, -21, -19, 7, 23.8, ⑪⑩,11, 4,Ｈクリイｰスト, 46,四位洋, 1.8, 50,  -6,   1, 8, 18.5,⑭⑫⑪,11, 5,Ｊヒｰロｰオブタイム, 44,北村友, 2.2, 42, -23,   1,11,193.0, ⑪⑪,,,,,,,,,,,,
,,,,,,,,,,,,12, 5,Ｎカトリｰヌシェアｰ, 39,武幸四, 1.9, 48,  -4,  -5,14,173.6,⑨⑨⑩,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13, 9,Ｆパルマロｰザ, 48,柴山雄, 2.1, 49,  -1, -12,12, 68.6,⑤⑤④,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14,15,Ｐメイプルクイｰン, 23,菊沢隆, 2.1, 48,  -9,   3,15,187.8,⑯⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,14,Ｌトウカイストｰリｰ, 40,長谷川, 2.4, 44,  -9,  -2,13,119.2,⑮⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,16,Ｍオンワｰドヨシノ, 39,鹿戸雄, 4.2,  2,  -9, -29,16,449.6,⑪⑭⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-2),,,,,,,,,,,
"単勝:190円 複勝:10=120円 02=350円 01=640円 枠連:1,320円",,,,,,,,,,,,単勝:710円 複勝:02=190円 11=160円 13=170円 枠連:810円,,,,,,,,,,,,単勝:210円 複勝:06=120円 11=160円 07=230円 枠連:360円,,,,,,,,,,,,単勝:290円 複勝:06=130円 02=120円 03=150円 枠連:0円,,,,,,,,,,,
"馬連:1,510円 ワイド:02-10=580円 01-10=1,560円 01-02=4,960円",,,,,,,,,,,,"馬連:1,350円 ワイド:02-11=610円 02-13=700円 11-13=450円",,,,,,,,,,,,馬連:570円 ワイド:06-11=220円 06-07=420円 07-11=590円,,,,,,,,,,,,馬連:470円 ワイド:02-06=200円 03-06=260円 02-03=260円,,,,,,,,,,,
"馬単:2,470円 3連複:16,560円",,,,,,,,,,,,"馬単:3,100円 3連複:2,520円",,,,,,,,,,,,"馬単:960円 3連複:1,470円",,,,,,,,,,,,"馬単:1,080円 3連複:660円 3連単:2,890円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-11.6,,,,,■ 5R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.8,,,,,■11R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-0.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大沼ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｄセンタｰザゴｰルド, 37,藤田伸,, 53,*-20,*  7, 1,  1.3,①①①, 1,11, チアズウイナｰ,---,藤田伸,, 52,  -2,* -3, 2,  3.5, ⑤④, 1, 3,Ｂスギノウルフ, 61,横山典,, 71,* -4,* 15, 3,  4.5,①①①, 1, 1,Ａフィｰルドルｰジュ, 91,柴山雄,, 98,   9,* 25, 2,  3.1,⑤④③
 2,12,Ｆケイエスヨシキ, 33,松田大, 0.7, 40,*-20,   1,12,342.2,②②②, 2, 5, オｰプンザゲｰト,---,木幡初, 0.1, 57,*  4,  -8, 4,  7.8, ②②, 2, 4,Ｆマイネルテセウス, 55,長谷川, 0.3, 66,* -6,  12, 6, 18.4,②②②, 2, 2,Ｂメテオバｰスト, 86,横山典, 0.5, 85,* 14,  12, 3,  4.9,①①①
 3, 3,Ａニシノプリンス, 48,本田優, 1.0, 39, -22,   2, 2,  8.1,⑤⑥④, 3, 9, ヴェリタス,---,秋山真, 0.2, 49,  -4,* -4, 7, 26.5, ⑤⑥, 3, 2,Ａホｰマンブラヴォｰ, 69,藤田伸, 0.6, 67,  -7,* 14, 1,  2.1,③④③, 3, 3,Ｄタガノゲルニカ, 83,池添謙, 1.3, 79,* 14,   6, 1,  1.7,②②②
 4, 8,Ｅダンスブルｰム, 36,柴山雄, 1.2, 32,*-20,  -3,10, 94.5,③③③, 4,10, ユｰオｰミｰ,---,池添謙, 0.3, 57,*  6, -12, 3,  7.1, ①①, 4, 8,Ｇサカイヤベンケイ, 53,柴山雄, 1.0, 61,  -8,  11, 4, 10.1,⑧⑧⑦, 4, 4,Ｅスタｰペスシンタ, 80,小林徹, 1.5, 78,   7,  12, 7, 98.4,③⑤⑤
