06年11月 4日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年11月 4日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7.0,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.8,,,,,■10R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宝ｹ池特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａウッドウインド, 54,佐藤哲,, 63,*  0,* -1, 1,  1.6, ①①, 1,11, デンコウグリｰン,,植野貴,,,,, 8, 26.6,④③②, 1,12,Ａレディキラｰ, 75,秋山真,, 73,  -1,* 12, 3,  5.6,⑫⑩⑪, 1, 4,Ｄエイシンデピュティ, 74,安藤勝,, 77,* -5,  22, 4,  6.4, ②②
 2,13,Ｌイカガデスカ, 16,ルメｰ, 0.0, 63,*  0,* -1, 4, 11.0, ②②, 2, 7, バリトンヴォイス,,岩崎祐, 0.4,,,, 4,  5.9,③②②, 2, 2,Ｊスギノベラｰジオ, 61,武幸四, 0.2, 69,   0,   6, 9, 18.5,⑦⑥⑤, 2, 1,Ｆタイキマドレｰヌ, 74,武豊  , 0.3, 77,  -8,* 23, 3,  4.6, ③③
 3, 7,Ｂメイショウハピネス, 43,武幸四, 0.9, 54,  -5,  -4, 3,  6.3, ③③, 3,14, スリｰオペレｰタｰ,,林満明, 0.5,,,, 5,  9.8,⑤⑤④, 3,10,Ｇホウシュウムサシ, 66,岩田康, 0.3, 70,  -2,* 10, 6, 10.4,⑭⑬⑭, 3, 3,Ｃアドマイヤディｰノ, 76,岩田康, 0.4, 78, -10,* 25, 5,  6.9, ⑥⑧
 4, 1,Ｆファンドリソング, 39,和田竜, 1.3, 50,  -8,  -4, 7, 29.3, ⑤④, 4, 6, キタサンブシドウ,,高田潤, 0.7,,,, 1,  3.6,⑧③④, 4, 3,Ｂタマモコンチェルト, 70,ルメｰ, 0.4, 69,  -1,*  8, 1,  4.1,⑫⑪⑩, 4, 8,Ｊケンブリッジマイア, 63,ルメｰ, 0.5, 69,  -7,  19, 8, 48.5, ③③
 5, 3,Ｉルビウス, 27,武豊  , 1.5, 48,  -7,  -7, 2,  5.3, ④④, 5, 9, リバｰスプライト,,今村康, 1.5,,,, 9, 41.1,⑩⑥⑥, 5,14,Ｆダンスアジョイ, 67,幸英明, 0.6, 66,   2,   0, 4,  8.2,⑤②②, 5, 7,Ｈカネトシツヨシオｰ, 68,秋山真, 0.5, 75, -10,* 24, 7, 31.3, ⑧⑧
 6, 2,Ｎニホンピロコナユキ,  4,小牧太, 1.7, 48, -14,*  0, 5, 25.2, ⑨⑨, 6, 4, マンテンフラワｰ,,佐久間, 1.7,,,,10, 44.1,①①①, 6, 7,Ｃダイショウジェット, 68,武豊  , 0.9, 63,*  2,  -4, 2,  5.3,②②④, 6, 2,Ｂトップオブツヨシ, 80,小牧太, 0.6, 61,* -2,   8, 2,  3.6, ①①
 7, 5,Ｇゲットザチャンス, 38,福永祐, 2.0, 46, -17,*  0, 6, 27.1, ⑪⑩, 7,13, カネトシパワフル,,小林慎, 2.2,,,, 3,  5.4,⑧⑩⑩, 7, 6,Ｎカワキタラプラタ, 53,和田竜, 0.9, 64,  -1,   1,13, 64.4,⑧⑨⑦, 7, 6,Ｅオリエントチャｰム, 74,藤岡佑, 1.0, 59,  -9,  14, 6, 14.9, ⑥⑥
 8, 8,Ｄオｰミチェリッシュ, 40,内田浩, 2.1, 42, -10, -10,10, 74.7, ⑥⑥, 8, 5, テイエムエｰス,,菊地昇, 2.3,,,, 7, 20.8,⑬⑪⑪, 8, 9,Ｋナリタブラック, 59,安部幸, 1.0, 64,  -2,   3,12, 41.0,⑧⑪⑪, 8,10,Ａシルクタイガｰ, 83,本田優, 1.1, 57,  -9,  12, 1,  3.2, ⑧⑥
