06年 7月22日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 7月22日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3.1,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6.1,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 馬齢,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾗﾍﾞﾝﾀﾞｰ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂオｰプンザゲｰト, 55,藤田伸,, 65,*  6,* -6, 1,  1.6, ①①, 1, 3, ビｰビｰガルダン,---,秋山真,, 69,* 16, -12, 2,  3.0, ①①, 1, 1,Ｅオメガエンドレス, 67,藤田伸,, 82,*  1,* 18, 3, 10.9,①①①, 1, 6, インパｰフェクト,---,山口竜,, 69,  15,* -5, 3,  7.9, ②③
 2,12,Ｄブラックバレット, 51,松田大, 0.6, 53,   2,  -9, 4,  8.7, ③③, 2, 4, フリｰダムエアｰ,---,藤田伸, 0.1, 66,* 14, -12, 1,  2.4, ②②, 2, 9,Ａランザロｰテ, 84,藤岡佑, 1.2, 63,* -2,   7, 1,  1.4,⑤②②, 2, 5, エイシンイッテン,---,藤岡佑, 0.0, 73,* 19, -10, 2,  2.4, ①①
 3, 6,Ａスマｰトフォルム, 61,柴山雄, 0.9, 46,  -5,  -6, 2,  4.7, ⑥⑤, 3, 6, メジロミランダ,---,藤岡佑, 0.9, 49,  -2,* -6, 5,  9.2, ⑤⑤, 3, 3,Ｇフルブラッサム, 65,四位洋, 1.3, 71,  -5,* 16, 5, 12.0,⑩⑩⑦, 3, 2, ロｰレルゲレイロ,---,藤田伸, 0.3, 65,  16, -11, 1,  2.0, ②②
 4,11,Ｋルチェｰレ, 31,五十嵐, 0.9, 54,*  5, -14,10, 72.2, ②②, 4, 7, エｰシンアロｰ,---,武幸四, 1.1, 45,   8, -21, 3,  5.4, ③③, 4,10,Ｄブレイバｰ, 68,横山典, 1.7, 57,  -2,   4, 4, 11.8,②③③, 4, 1, ヴィヴァチッシモ,---,坂下秀, 0.9, 54,   4,* -5, 4,  9.9, ④④
 5, 8,Ｆマルヨスｰパｰラブ, 44,鈴来直, 1.1, 48,   1, -12, 9, 71.9, ③④, 5, 5, メイショウコレット,---,池添謙, 1.6, 39,   5, -22, 4,  8.7, ④④, 5, 4,Ｆエイワンタッチ, 65,的場勇, 1.8, 58,  -4,   6, 7, 40.5,⑤⑤⑤, 5, 3, フジエスギャラント,---,宮崎光, 1.8, 43,  -1, -17, 6, 34.5, ⑥④
 6, 1,Ｉカネスラファｰル, 38,津村明, 1.1, 43, -14,* -4,11, 85.0, ⑪⑨, 6, 9, テッシュｰヒカリ,---,木幡初, 2.1, 34, -10, -16, 6, 23.6, ⑥⑥, 6, 8,Ｋワンダｰタイガｰ, 55,秋山真, 2.1, 57,  -3,   4, 8, 45.0,③⑤⑤, 6, 4, クロｰスハｰモニｰ,---,亀井洋, 2.3, 37,   4, -26, 7, 47.1, ④④
 7, 3,Ｈコデマリ, 39,池添謙, 1.1, 43,  -7,  -7, 8, 62.7, ⑦⑦, 7, 8, マイセンシチｰ,---,津村明, 2.2, 20, -13, -18, 7, 50.6, ⑥⑦, 7,11,Ｊサンレイコマンド, 56,松田大, 2.7, 49,  -3,  -5, 9,142.6,③③④, 7, 7, ヒデサンジュニア,---,川島雅, 5.3,-67, -12, -59, 5, 30.9, ⑦⑦
 8, 9,Ｃエイシンイップｰ, 52,藤岡佑, 1.1, 43,  -3, -11, 3,  6.5, ⑤⑤, 8, 2, ナイスドトウ,---,小林徹, 3.1,-39, -22, -22, 9, 66.8, ⑧⑧, 8, 5,Ｃティラノサウルス, 70,黛弘人, 2.8, 48,  -6,  -1, 6, 26.1,⑦⑦⑦,,,,,,,,,,,,
 9, 2,Ｅクリｰルパトラｰ, 50,武幸四, 1.3, 42, -10,  -7, 5, 28.2, ⑨⑨, 9, 1, ノボバウワｰ,---,長谷川, 5.3, 5.3---, -35, -40, 8, 64.9, ⑨⑨, 9, 6,Ｉツルガオカアサヒ, 57,鹿戸雄, 2.9, 51,  -5,   0,11,217.4,⑧⑩⑩,,,,,,,,,,,,
10,10,Ｇシャｰロックシチｰ, 41,芹沢純, 1.8, 34,  -8, -15, 7, 56.1, ⑦⑦,,,,,,,,,,,,,10, 2,Ｈウリエル, 59,武幸四, 3.0, 50,  -4,  -3,10,154.5,⑧⑦⑦,,,,,,,,,,,,
