06年 9月18日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 9月18日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.1,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3.8,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.8,,,,,■10R  芝1500m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-0.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,藻岩山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｂメイショウレガｰロ, 53,武幸四,, 54,*-22,* 18, 1,  1.7,①①①, 1, 9,Ａランキング, 64,藤田伸,, 63,*-11,* 13, 1,  2.1,①①①, 1, 2,Ａシルクアルボｰレ, 70,藤田伸,, 68,  -7,* 10, 1,  1.7, ④③, 1, 3,Ｄファインセラ, 78,横山典,, 79,  -1,* 17, 2,  4.1,④⑤③
 2, 5,Ａヒラボクロイヤル, 57,四位洋, 0.1, 59,*-24,* 21, 2,  3.5,③③③, 2, 8,Ｆマイネルマルス, 52,山口竜, 0.7, 58, -15,* 12, 9, 68.2,⑨⑨⑦, 2, 4,Ｅダノンエトランゼル, 61,加藤士, 0.2, 63,  -5,   7, 6, 22.3, ②②, 2, 8,Ｇセイントリｰプレア, 73,小林徹, 0.2, 68,*  1,   8, 9, 31.0,①①①
 3, 9,Ｇトｰセンクラウン, 37,北村宏, 0.3, 57, -26,* 21, 5, 14.5,⑨⑦⑥, 3, 1,Ｃミヤマリンドウ, 56,横山典, 0.8, 52,*-12,   7, 2,  3.5,③⑤③, 3,10,Ｉブロｰドチャンネル, 57,岩田康, 0.4, 59,*  0,   2, 7, 25.4, ①①, 3, 4,Ｆクリアエンデバｰ, 74,吉田豊, 0.4, 73,  -4,* 16, 6, 20.0,⑦⑧⑤
 4, 7,Ｄエプソムキララ, 46,藤田伸, 0.5, 41,*-23,  11, 4, 11.3,②②②, 4, 5,Ｅリックチョモランマ, 53,後藤浩, 0.9, 49,*-12,   5, 4, 10.7,⑬②②, 4, 6,Ｊマンボカｰニバル, 51,福永祐, 0.6, 59, -14,   9, 9, 66.3, ⑧⑥, 4,11,Ｊエレスサｰル, 68,藤岡佑, 0.5, 67,*  2,   8, 4,  7.9,③②②
 5, 8,Ｃマンハッタンスカイ, 51,岩田康, 0.7, 42, -25,  13, 3,  7.9,③③④, 5, 3,Ｊメイルリヒト, 47,藤岡佑, 1.0, 49, -13,   6, 7, 41.7,③⑤⑤, 5, 1,Ｂジｰティｰピｰチ, 62,小林徹, 0.6, 58,  -8,   5, 4, 11.9, ④⑤, 5, 6,Ｂアドマイヤディｰノ, 84,岩田康, 0.5, 68,  -2,  11, 1,  2.9,⑤⑤⑨
 6, 2,Ｅコデマリ, 41,的場勇, 0.8, 37, -28,  11,10,164.4,⑤⑦⑥, 6, 6,Ｂミヤコノアドミラル, 60,武豊  , 1.2, 54, -16,* 10, 3,  4.6,⑩⑫⑦, 6, 3,Ｇバｰニングキャット, 58,松岡正, 0.8, 57, -19,* 10,10,101.3, ⑩⑨, 6, 5,Ｍマチカネエンジイロ, 65,北村宏, 0.6, 67,  -5,  12,10, 34.4,⑧⑧⑪
 7,11,Ｈメイショウネストル, 35,藤岡佑, 1.2, 31, -26,   8, 9,155.2,⑪⑨⑨, 7, 2,Ｇトウカイラジカル, 51,北村宏, 1.8, 40, -14,   0, 6, 25.6,⑥⑨⑦, 7, 5,Ｃサウスバトルマン, 62,後藤浩, 0.9, 52,* -3,  -1, 3,  6.6, ②③, 7,10,Ｃヒカルアルタイル, 80,柴山雄, 0.8, 62,  -5,   9, 7, 22.8,⑧⑧⑤
 8, 3,Ｋハイフェイム, 19,菊沢隆, 1.3, 29, -26,   7, 6, 26.4,⑤⑨⑨, 8,12,Ｄラインウィット, 54,田辺裕, 1.8, 39,*-12,  -4,11, 90.4,③②⑥, 8, 8,Ｈダイナミックタｰン, 58,武豊  , 1.2, 49, -12,   1, 2,  4.4, ⑥⑦, 8,14,Ａミスティラブ, 86,藤田伸, 0.8, 60,  -3,   6, 5,  8.1,⑤⑤⑤
