06年 3月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 3月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.6,,,,,■ 4R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.8,,,,,■ 7R  ダ1200m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.4,,,,,■10R  芝1200m 4歳上1000万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾗｼﾞｵ関西賞仲春特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｈツルマルスリｰ, 46,和田竜,, 63,  -8,* 10, 3,  5.8,⑧⑦⑥, 1, 9,Ｅヴィヴァキセキ, 52,岩田康,, 59,   3,*-10, 1,  3.1,②③④, 1, 3,Ｄモエレフィｰルド, 64,藤田伸,, 68,* 12,  -9, 5, 10.8, ①①, 1,12,Ｅワイルドシャウト, 79,岩田康,, 83,  11,* 10, 3,  7.0, ⑤⑤
 2, 6,Ｂナムラバビロン, 54,小林徹, 0.2, 59,* -5,   2, 6, 13.9,①①①, 2,10,Ｆセピアウインド, 52,幸英明, 0.3, 56,*  5, -20, 2,  3.6,①①①, 2, 6,Ｆトラメイシ, 62,安部幸, 0.3, 62,   1,  -1, 7, 29.3, ⑨⑦, 2, 5,Ｌナリタシｰクレット, 73,幸英明, 0.2, 81,   6,* 12, 8, 19.5, ⑨⑦
 3, 9,Ａストラディヴァリオ, 57,岩田康, 0.5, 58,  -7,   3, 1,  2.3,④⑤⑤, 3, 2,Ｂティアラプリンセス, 55,太宰啓, 0.6, 53,   1, -14, 8, 24.0,⑤⑤⑥, 3,11,Ｅポｰトジェネラル, 62,幸英明, 0.3, 64,   9,  -9, 6, 11.5, ③②, 3,11,Ｃマルブツブリザｰド, 80,川島信, 0.2, 86,* 25,  -7, 5,  8.4, ①①
 4,10,Ｇヒシカツフォレスト, 46,藤田伸, 0.7, 55,* -6,  -2, 4, 11.8,②②②, 4,11,Ｌセンタｰファルコｰ, 37,藤田伸, 0.6, 53,*  5, -23, 3,  5.3,②①①, 4, 1,Ｃフィンマックｰル, 65,岩田康, 0.3, 61,   2,  -2, 3,  5.2, ⑦⑦, 4,16,Ｄストｰンブリッジ, 80,川原正, 0.3, 80,  13,   4,11, 28.8, ⑤⑤
 5, 1,Ｄロングエンパイヤ, 49,本田優, 1.2, 55, -11,   4, 5, 12.1,⑪⑪⑨, 5,14,Ｇスマｰトスパイラル, 50,佐藤哲, 0.9, 51,   2, -22, 9, 41.0,⑦⑤④, 5, 5,Ｇデヒアサウンド, 61,太宰啓, 0.7, 53, -10,*  5, 8, 38.8, ⑭⑭, 5, 3,Ｋエムオｰウイナｰ, 73,本田優, 0.4, 79,* 17,  -3, 1,  5.1, ②②
 6, 3,Ｃメイショウチョイス, 51,安部幸, 1.2, 53,  -8,  -2, 2,  4.3,⑧⑦⑥, 6, 7,Ｉメイショウチュラ, 43,本田優, 1.1, 50,  -2, -14, 7, 21.5,⑫⑩⑧, 6, 2,Ｋマｰベラスチｰフ, 51,渡辺薫, 0.8, 55,  -3,  -2,11,140.8, ⑪⑩, 6, 8,Ｏエミナ, 67,和田竜, 0.4, 75,   3,* 12,14, 43.4, ⑩⑪
 7,12,Ｋファンドリコンドル, 40,幸英明, 1.3, 51,* -7,  -6, 8, 19.2,④③③, 7, 3,Ｋテイエムピュアデｰ, 38,菊地昇, 1.2, 47,  -1, -20,10, 92.2,⑤⑦⑦, 7, 7,Ｊスマイリングフィル, 53,川原正, 0.8, 54,  -6,*  1,10, 94.2, ⑬⑬, 7,13,Ｂシｰキングマイラブ, 80,藤田伸, 0.5, 76,   6,   7, 6,  8.7, ⑩⑦
 8, 7,Ｊリｰガルマインド, 41,鮫島良, 1.6, 49, -13,   0,10, 89.0,⑬⑬⑪, 8, 5,Ｃトランスオｰシャン, 55,鮫島良, 1.2, 42,  -4, -18, 4,  6.4,⑩⑩⑫, 8, 8,Ｂシアトルバロｰズ, 71,佐藤哲, 0.8, 57,   6, -11, 1,  2.9, ⑤⑤, 8, 4,Ｊケイウンバクシン, 74,鮫島良, 0.5, 75,  11,   2,13, 31.3, ⑦⑦
