06年 6月 4日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 6月 4日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝2000m 3 歳未勝利(抽) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9.0,,,,,■ 4R  芝2800m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1700m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.7,,,,,■10R  芝2500m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,木曽川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｆシゲルシテカブ, 42,池添謙,, 62,   0,*  4, 6, 20.4,⑪⑨⑤, 1, 1, キングジョイ,,高田潤,,,,, 9, 56.4,②①②, 1,10,Ｋキｰンゲイル, 54,太宰啓,, 66,  -8,  16, 6, 11.0,⑤④③, 1,15,Ｃミツワスカイハイ, 75,渡辺薫,, 78,   6,* 16, 4,  6.8,⑫⑨⑦
 2, 3,Ａサンファイバｰ, 64,本田優, 0.0, 62,*  6, -11, 1,  1.4,②①①, 2,10, ロｰレルスパｰク,,林満明, 0.5,,,, 4,  8.6,②②①, 2,11,Ｄニシノロドリゲス, 61,中舘英, 0.2, 61,* -7,  12, 3,  5.7,⑧②②, 2, 2,Ｊウォｰライクトニｰ, 72,赤木高, 0.2, 77,   2,* 22,10, 31.7,⑯⑮⑬
 3, 9,Ｇヒｰロｰルンタ, 42,熊沢重, 1.0, 50,*  5, -25, 7, 23.1,⑥②②, 3, 3, マキオルｰブル,,仲田雅, 0.6,,,, 7, 32.9,⑦⑤④, 3, 8,Ｆマヤノズイウン, 58,中村将, 0.4, 65, -14,* 18,11, 36.7,⑤⑨⑧, 3,13,Ａヤマカツピレネｰ, 78,田嶋翔, 0.3, 73,   5,   7, 5,  9.5,⑦⑦③
 4, 5,Ｌカシノオウジャ, 24,西田雄, 1.0, 49,  -2,  -7,12,320.8,⑩⑪⑨, 4,11, タニノキャミソｰル,,村山明, 0.7,,,, 8, 53.3,④⑤④, 4,13,Ｅカネトシスティｰブ, 60,秋山真, 0.5, 65, -12,* 18, 5,  9.9,⑯⑨⑥, 4, 8,Ｄゴｰルドフォイル, 75,川田将, 0.4, 70,   6,   4, 6,  9.9,⑤④③
 5,10, アドマイヤヒｰロｰ,---,芹沢純, 1.1, 48,  -4,* -4, 3,  9.6,⑪⑫⑪, 5, 5, マルノウエスタン,,熊沢重, 0.8,,,, 3,  5.9,⑧④③, 5,14,Ｊオリオンザスカイ, 56,赤木高, 1.2, 49,* -6,   1, 7, 11.2,⑬①①, 5, 6,Ｉテイエムハヤブサ, 72,ボス  , 0.4, 73,   4,  11, 7, 20.7,⑨⑫⑨
 6,12,Ｄキｰプオンドリｰム, 43,酒井学, 1.3, 46,  -4,  -7,13,393.8,⑪⑫⑬, 6, 8, ラダマンテス,,高井彰, 0.9,,,, 5,  9.1,⑥⑦⑦, 6, 6,Ｉミシックキョウト, 56,ボス  , 1.3, 56, -14,  14,10, 18.8,⑪⑪⑪, 6, 9,Ｆメイショウアカシ, 74,武幸四, 0.5, 72,   3,  13,12, 46.1,⑭⑬⑬
 7,11,Ｉスｰパｰアンカｰ, 34,石橋守, 1.5, 45,   2, -23, 9, 60.3,⑨⑤⑤, 7,14, メイショウピュｰマ,,嘉堂信, 1.7,,,, 6, 16.2,⑧⑧⑧, 7,15,Ｍグッドフロマｰジュ, 50,内田浩, 1.4, 50, -11,   8,16,310.7,⑪⑥⑦,14, 1,Ｅトウカイエリｰト, 75,芹沢純, 0.6, 74,   8,   4, 1,  3.9,⑤④⑦
 8, 1,Ｋアッパｰクラス, 30,太宰啓, 1.7, 43,   1, -25, 8, 47.6,⑥⑥⑦, 8, 7, ライブリトレジャｰ,,江田勇, 2.4,,,,11, 67.1,⑫⑩⑩, 8, 4,Ｏラストクルセイダｰ, 45,金折知, 1.5, 55, -15,  15,14,135.1,⑩⑭⑭, 7,14,Ｇバトルブレｰヴ, 73,太宰啓, 0.7, 70,*  8,  -4, 3,  5.3,②②①
 9, 6,Ｃマイネエリス, 43,鮫島良, 1.9, 39,  -1, -28, 4, 15.0,⑥⑥⑧, 9, 2, ダグラスフォンテン,,柴田未, 3.4,,,,13,113.6,⑪⑪⑪, 9,12,Ａゼンノジュウシン, 64,和田竜, 1.5, 52, -14,  12, 1,  4.7,⑬⑪⑫, 8, 5,Ｂマｰブルバルダｰ, 76,長谷川, 0.8, 67,   6,  -3, 9, 29.0,③④③
10,13,Ｈリバｰスプライト, 39,渡辺薫, 2.5, 37,   3, -41, 2,  7.8,④③③,10, 9, ゴｰジャスディナｰ,,西谷誠, 4.1,,,, 1,  2.3,⑩⑧⑧,10, 7,Ｌメイショウブルドｰ, 52,北村友, 1.9, 43,  -9,  -4,13, 71.7,②④④, 9,12,Ｎイブキレボルシオン, 66,幸英明, 0.8, 71,   3,  13, 8, 22.8,⑭⑮⑬
11, 4,Ｂナムラガリレオ, 48,中村将, 2.7, 32,  -1, -42, 5, 17.1,①⑥⑨,11,13, ラストパｰトナｰ,,矢原洋, 4.4,,,,14,280.6,⑬⑬⑫,11, 1,Ｇウイングビｰト, 58,川田将, 2.5, 41, -12,  -3, 4,  6.6,③⑥⑧,10, 7,Ｐホワイトドラゴン, 57,中村将, 1.1, 61,   0,   4,16,191.0,⑫⑬⑯
12, 2,Ｅロｰドノアｰル, 43,北村友, 2.8, 31,   1, -48,10, 99.3,③③③,12, 4, ユキノアメｰジング,,穂苅寿, 5.0,,,, 2,  4.1,①③⑥,12, 5,Ｈバンブｰトヨタ, 57,幸英明, 2.7, 41, -16,   4, 8, 13.5,⑬⑯⑫,11, 4,Ｍテイエムサッカｰ, 68,中舘英, 1.2, 66,   7,  -3, 2,  4.9,⑦⑨⑨
13, 8,Ｊクリノサンシャイン, 30,小牧太, 2.9, 34,  -1, -38,11,135.5,④⑩⑪,13, 6, シップスラッシュ,,柴田大, 9.0,,,,12, 88.3,④⑪⑬,13, 9,Ｎスカイルミエｰル, 46,小林徹, 3.7, 34, -11, -14,15,206.2,③⑥⑧,12,11,Ｏマルタカドリｰム, 58,川原正, 1.3, 61,   5,  -8,15,127.0,④⑦⑨
,,,,,,,,,,,,14,12, エイシンアサヒオｰ,,蓑島靖,11.9,,,,10, 62.5,⑭⑭⑭,14,16,Ｂウインザタロｰ, 62,川原正, 3.8, 36, -13, -11, 9, 17.3,⑧⑪⑮,13, 3,Ｈイブキトレッキング, 72,石橋守, 1.3, 62,   5,  -5,14, 60.6,⑨⑨⑫
,,,,,,,,,,,,,,,,,,,,,,,,15, 2,Ｐメイショウヨシヒサ, 43,池添謙, 5.0,  3, -15, -19, 2,  5.5,⑦⑭⑯,15,10,Ｌモニュメンタル, 71,鮫島良, 1.5, 56,*  5, -19,13, 52.9,①①②
,,,,,,,,,,,,,,,,,,,,,,,,16, 3,Ｃカゼノアルペジオ, 61,田中克, 5.2,-51,* -9, -37,12, 62.2,①③④,16,16,Ｋアルキオｰネ, 71,和田竜, 1.6, 58,*  7, -17,11, 36.8,⑪③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-3),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+21 馬場:良(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-3),,,,,,,,,,,
"単勝:2,040円 複勝:07=330円 03=110円 09=320円 枠連:390円",,,,,,,,,,,,"単勝:5,640円 複勝:01=1,070円 10=260円 03=710円 枠連:4,480円",,,,,,,,,,,,"単勝:1,100円 複勝:10=320円 11=280円 08=850円 枠連:1,170円",,,,,,,,,,,,"単勝:680円 複勝:15=270円 02=890円 13=300円 枠連:1,070円",,,,,,,,,,,
"馬連:940円 ワイド:03-07=460円 07-09=2,450円 03-09=480円",,,,,,,,,,,,"馬連:13,330円 ワイド:01-10=3,500円 01-03=6,300円 03-10=2,610円",,,,,,,,,,,,"馬連:3,030円 ワイド:10-11=1,140円 08-10=4,580円 08-11=3,720円",,,,,,,,,,,,"馬連:11,220円 ワイド:02-15=3,840円 13-15=1,390円 02-13=5,350円",,,,,,,,,,,
"馬単:3,800円 3連複:3,660円",,,,,,,,,,,,"馬単:35,260円 3連複:101,580円",,,,,,,,,,,,"馬単:5,480円 3連複:42,200円",,,,,,,,,,,,"馬単:14,840円 3連複:43,050円 3連単:270,170円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.1,,,,,■ 5R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.2,,,,,■ 8R  芝2000m 4歳上500万(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0.9,,,,,■11R  芝1200m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,飛騨ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂヒシカツフォレスト, 50,角田晃,, 56,  -8,*  4, 6,  9.8,⑩⑨⑧, 1, 8,Ｂオルガス, 62,ボス  ,, 67,*  4,   3, 2,  4.4, ①①, 1,11,Ｄマイハッピｰクロス, 67,角田晃,, 75,   7,*  7, 2,  4.6,⑱⑧⑥, 1,13,Ｎシルクヴェルリッツ, 73,生野賢,, 90,  -3,* 26, 7, 12.0, ⑮⑭
 2,13,Ｆコパノフロスティ, 44,小牧太, 0.1, 53,* -3,  -6, 4,  8.5,②①①, 2, 9,Ｉタマモハクライ, 48,中舘英, 0.3, 73, -14,* 18, 5, 10.5, ⑭⑬, 2, 3,Ａフルヴィクトリｰ, 79,赤木高, 0.2, 72,   4,* 11, 1,  1.7,⑩⑭⑩, 2,17,Ｈヤマノサンデｰズ, 77,柴原央, 0.1, 80,   2,* 16,14, 97.3, ⑨⑦
 3, 3,Ｋキョウコマチ, 37,小原義, 0.4, 53,  -8,*  1,15,337.8,⑬⑨⑩, 3, 6,Ｎワンダｰポテンシア, 39,小池隆, 0.4, 64,  -2,   6,16,207.5, ⑨⑧, 3,10,Ｉグランドパルファン, 64,和田竜, 0.2, 72,*  8,   1,11, 66.8,⑮⑤④, 3, 1,Ｊミスティックエイジ, 76,中舘英, 0.3, 80,   7,  15, 3,  5.2, ⑧⑦
 4, 2,Ｎフェｰデ, 26,赤木高, 0.5, 50,* -3,  -9, 7, 10.9,①②②, 4,16,Ｅキラｰスマイル, 55,鮫島良, 0.6, 54,*  4,  -6, 7, 16.3, ②②, 4, 7,Ｂブレッザ, 77,中村将, 0.6, 62,   3,*  0, 4, 12.0,⑰⑩⑦, 4,16,Ｏトｰセンザオｰ, 73,角田晃, 0.3, 81,   1,* 18, 6, 10.7, ⑪⑨
 5, 8,Ｃタバスコムスメ, 49,武幸四, 0.8, 51, -12,*  3, 3,  8.0,⑮⑭⑫, 5,14,Ｆクリノゴｰルド, 53,北村浩, 0.6, 57,*  6,  -5,13, 81.3, ②②, 5, 1,Ｍマｰシャルアｰト, 60,川田将, 0.6, 67,*  9,  -9, 8, 45.6,①②②, 5,14,Ａフサイチホクトセイ, 85,ボス  , 0.4, 77,* 16,   7, 2,  4.6, ②②
 6,16,Ｈカズノプリンセス, 42,ボス  , 0.8, 49,  -7,  -6, 5,  8.9,⑧⑧⑥, 6, 3,Ｑゼットフラッシュ, 23,田中克, 0.6, 54,   0,  -4, 3,  6.2, ④④, 6,13,Ｃジｰンハンタｰ, 73,鮫島良, 0.7, 64,*  9, -13, 3,  5.8,⑥②①, 6,10,Ｇツルマルオトメ, 77,川原正, 0.5, 76,   1,  16, 8, 18.5, ⑪⑪
 7,10,Ａパティオパｰティｰ, 54,鮫島良, 0.9, 46,  -7,  -8, 2,  3.5,⑤⑥⑧, 7, 1,Ａベレッツァ, 74,田島裕, 0.8, 54,   2,  -5, 1,  3.2, ④④, 7,15,Ｎキャンベラシチｰ, 59,秋山真, 0.8, 65,* 10, -13,13,116.7,⑫①③, 7, 2,Ｃマルカジｰク, 81,池添謙, 0.5, 79,   3,  17, 1,  4.4, ⑪⑪
 8, 6, スズカワンダｰ,---,柴原央, 1.0, 47,* -4, -12, 1,  3.4,③③③, 8,12,Ｈインナｰヴィジョン, 48,秋山真, 1.0, 52,  -4,  -2, 8, 21.9, ⑨⑫, 8, 5,Ｇアグネスヘルメス, 66,長谷川, 1.0, 63,   7,  -8, 5, 27.0,④⑧⑦, 8, 6,Ｂナリタシｰクレット, 82,幸英明, 0.5, 70,* 15,   1, 5, 10.0, ①①
 9,12,Ｄエタｰナルサｰガ, 46,幸英明, 1.2, 45,  -6, -11,10, 47.1,⑤⑥⑥, 9, 4,Ｃマッキｰバクシン, 56,野元昭, 1.2, 47,   1,  -9,12, 75.0, ④④, 9, 9,Ｌカネマサスピｰディ, 61,田中克, 1.0, 58,   3,  -7, 9, 60.6,⑦⑩⑫, 9,15,Ｋヨイチサウス, 74,本田優, 0.6, 70,   7,   8,13, 86.6, ⑥⑤
10,11,Ｌセラフ, 34,西田雄, 1.3, 44,  -5, -13,13,191.8,⑦⑤④,10, 7,Ｇシｰワンダフル, 51,中村将, 1.2, 45,  -9,  -4, 4,  6.4, ⑫⑪,10, 8,Ｊロングヘラクレス, 63,田嶋翔, 1.1, 61,   2,*  3,10, 61.4,⑫⑰⑯,10,18,Ｅクリノワｰルド, 79,秋山真, 0.7, 70,* 12,   4,10, 32.1, ③③
