06年 9月 9日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 9月 9日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1500m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.6,,,,,■ 4R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.6,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.7,,,,,■10R  芝1800m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:6.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｺｽﾓｽ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｂニシノプライド, 48,四位洋,, 51,*-16,*  6, 1,  1.5,①①①, 1, 4,Ｄグラスサンダｰ, 49,安藤勝,, 53,*  1, -12, 2,  4.0,①①①, 1, 1,Ｃタバスコムスメ, 64,四位洋,, 60, -15,  18, 4,  6.2,③③③, 1, 4,Ａナムラマｰス, 77,藤岡佑,, 71,   7,*  3, 3,  6.0,④③③
 2, 3,Ｇマスタｰカフェ, 39,小島太, 0.6, 37, -20,   0, 5, 27.0,②④②, 2, 5,Ｃバンダムトレジャｰ, 50,梶晃啓, 0.0, 53,*  0, -11, 6, 24.7,②②②, 2,11,Ｊホッカイラブリｰ, 55,北村宏, 0.0, 68, -16,* 23, 5, 16.4,⑩⑧⑥, 2,10,Ｃロｰブデコルテ, 69,安藤勝, 0.6, 66,   6,*  0, 6, 13.0,⑩⑥④
 3, 9,Ｅラフィナｰル, 43,藤田伸, 0.7, 37,*-18,  -2, 2,  4.7,④②②, 3,12,Ｈカシノモムチャン, 46,鈴来直, 0.2, 51,  -2,* -8, 9,137.3,⑩⑦③, 3, 7,Ｉアｰリｰオｰタム, 55,須貝尚, 0.1, 57,*-12,  15, 6, 20.6,②②②, 3, 1,Ｄインパｰフェクト, 65,山口竜, 0.7, 65,* 11, -15, 2,  4.0,②①①
 4,11,Ｃメイショウハピネス, 47,武幸四, 0.8, 39, -19,   1, 4,  8.3,⑥⑤④, 4,10,Ｉキラメキパスワｰド, 45,斉藤正, 0.3, 49,  -3,* -8,10,151.1,⑧⑧⑦, 4, 3,Ｅオレンジアロマ, 63,藤田伸, 0.3, 59, -15,  18, 1,  2.6,⑥⑤④, 4,12,Ｅジャングルテクノ, 59,四位洋, 1.0, 58,   3,  -5, 4,  7.0,⑫⑧⑥
 5,12,Ｈグロリアスウェザｰ, 38,五十嵐, 1.0, 40, -23,   4, 6, 48.4,⑨⑦⑥, 5,11,Ｂアグネススピリッツ, 52,四位洋, 0.9, 45,  -1, -17, 3,  6.1,⑤④③, 5, 4,Ｇヤマニンエマイユ, 58,塚田祥, 0.5, 47,*-14,   9, 2,  4.3,①①①, 5, 2,Ｂミスティックベル, 71,北村宏, 1.1, 59,* 10, -20, 1,  2.1,③②②
 6, 2,Ｉシンワスタｰコウジ, 28,藤岡佑, 1.2, 40, -29,*  7, 9, 98.1,⑫⑫⑩, 6, 3,Ｆマルタｰズグレｰド, 47,五十嵐, 1.0, 43,  -6, -10, 4,  9.0,⑬⑪⑧, 6, 8,Ｂライトモｰション, 65,黛弘人, 0.5, 57, -19,  18, 9, 37.9,⑩⑪⑨, 6, 8, メルシｰゴｰルド,---,宮崎光, 1.5, 52,   0,  -6,11,323.5,⑩⑩⑧
 7,10,Ａスマｰトフォルム, 51,柴山雄, 1.5, 32,*-16, -14, 3,  7.9,③②⑤, 7, 8,Ａシベリアンスパｰズ, 61,藤田伸, 1.1, 43,  -2, -18, 1,  1.8,⑤④⑤, 7, 6,Ａステレオタイプ, 69,的場勇, 0.9, 46, -16,  11, 3,  4.4,⑥⑤⑤, 7, 5,Ｈハギノルチェｰレ, 48,武幸四, 1.6, 55,   7, -19, 7, 46.8,④④④
 8, 5,Ｊアクアレイジア, 24,津村明, 1.6, 24, -26,  -5,10,146.2,⑦⑨⑨, 8,13,Ｌロスオリボス, 38,的場勇, 1.2, 39,  -7, -14,13,525.2,⑪⑪⑧, 8, 5,Ｈキョウエイハツラツ, 56,藤岡佑, 1.0, 51, -17,  14,10, 41.3,⑧⑨⑦, 8, 9, ティンスクヴィル,---,斉藤正, 1.7, 51,   5, -19,12,329.8,⑧⑥⑥
