06年11月11日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年11月11日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.0,,,,,■ 4R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.5,,,,,■ 7R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.8,,,,,■10R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高湯温泉特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｍアルナスライン, 21,柴山雄,, 80,   0,* 22, 9, 27.6,⑦⑤⑤, 1, 3,Ｃロングベネフィット, 67,福永祐,, 72,  -1,* 12, 2,  4.4,⑬⑩⑥, 1, 4,Ａドクタｰグリム, 75,津村明,, 79, -15,* 30, 2,  4.1,⑪⑬⑥, 1, 8,Ｈシゲルシンキガイ, 66,佐藤哲,, 65,   7,  -4,11, 30.2,⑤⑤⑤
 2,14,Ａバンブｰソクラテス, 55,佐藤哲, 0.4, 72,*  3,  12, 2,  4.6,③③③, 2, 9,Ａアグネスネクタル, 74,鮫島良, 0.0, 69,  -1,* 10, 1,  2.3,⑪⑧⑬, 2, 6,Ｂシルクメガヒット, 70,塚田祥, 0.0, 56,* -9,  15, 1,  3.8,①①①, 2,12,Ｉサントニｰビン, 66,難波剛, 0.0, 65,   7,  -3, 4,  8.7,⑧⑤⑪
 3, 4,Ｂプライドイズハｰト, 49,福永祐, 0.7, 67,*  3,   7, 4,  6.8,③③③, 3,15,Ｈカブキメｰク, 60,武士沢, 0.1, 64,*  3,   4, 8, 34.0,③②①, 3, 9,Ｎオハコ, 56,江田照, 0.2, 67, -13,* 23,13, 75.5,⑬⑧④, 3,11,Ａニホンピロビャクヤ, 74,藤岡佑, 0.1, 66,   5,*  1,10, 29.2,⑩⑫⑤
 4, 3,Ｉリキアイアチｰブ, 36,西田雄, 0.7, 71,  -1,  15,11, 56.5,⑦⑧⑤, 4,11,Ｆゲイルホｰク, 63,赤木高, 0.1, 67,   1,   7, 6, 19.6,⑥④③, 4,11,Ｉロｰレルナイト, 61,柴山雄, 0.3, 54,*-10,  15, 9, 25.9,③②②, 4,13,Ｃカンペキ, 71,石橋脩, 0.1, 64,   6,* -2, 1,  2.7,⑩⑦⑤
 5, 5,Ｃマイネルグラナｰテ, 47,スボリ, 0.8, 69,  -1,  13, 1,  3.2,⑦⑧⑦, 5, 6,Ｇベルモントアｰサｰ, 62,吉田隼, 0.3, 63,   1,   4,10, 39.7,④④④, 5,15,Ｊマイネルスパｰダ, 60,長谷川, 0.4, 56, -12,  18, 7, 19.3,⑧④③, 5, 7,Ｇピｰタｰキャット, 66,小林久, 0.2, 61,   4,* -1,13, 89.9,⑭⑫⑨
 6, 7,Ｇエドノダンス, 40,石橋脩, 1.0, 67,  -2,  12, 8, 27.3,⑩⑩⑨, 6, 2,Ｌスズカイｰグル, 51,伊藤直, 0.6, 59,*  3,  -1, 9, 35.5,①①②, 6,10,Ｍトｰセンバサラ, 56,福永祐, 0.4, 64, -14,* 23, 8, 23.2,⑦⑪⑩, 6, 9,Ｊダイワフォルゴｰレ, 65,木幡初, 0.8, 56,*  8, -17,12, 32.4,③②②
 7,11,Ｆグラントリアノン, 43,藤岡佑, 1.3, 65,  -5,  13, 3,  5.7,⑫⑫⑨, 7,10,Ｉエイワンタッチ, 60,藤岡佑, 0.7, 61,   0,   4, 7, 26.2,⑭⑧⑥, 7,16,Ｇホッカイルオｰ, 63,石橋脩, 0.5, 58, -13,  19,12, 47.5,⑪⑧⑦, 7, 4,Ｆシベリアンヒｰト, 67,吉田隼, 0.8, 56,*  9, -18, 5, 10.9,②②①
 8, 2,Ｊクリノオンディｰヌ, 35,武士沢, 2.0, 50,*  4, -15, 7, 12.8,②②②, 8, 5,Ｊレオアライブ, 59,津村明, 0.8, 63,  -3,   6,12, 64.9,⑮⑬⑨, 8, 7,Ｃダンツサクラ, 68,大西直, 0.6, 61, -14,  22, 4,  6.3,⑯⑬⑫, 8, 6,Ｅノｰブルフォｰス, 68,福永祐, 0.9, 55,   5, -11, 2,  5.5,⑬⑫⑨
 9, 1,Ｈチアズジョイ, 38,中舘英, 2.3, 48,*  5, -21, 5,  9.5,①①①, 9, 7,Ｅパレストップガン, 64,黛弘人, 0.8, 60,  -3,   4, 4, 10.7,⑨⑬⑨, 9,14,Ｈオｰスミタキオン, 63,松田大, 0.8, 48, -12,  12,10, 27.7,⑧④④, 9, 3,Ｂマイネルパシオン, 72,柄崎将, 1.1, 53,*  8, -21, 6, 12.3,④②④
10, 8,Ｌタイセイディｰバ, 22,鮫島良, 2.6, 44,   0, -17,13,115.7,⑤⑤⑦,10,12,Ｂニッシンテｰスト, 74,塚田祥, 0.9, 56,   0,  -1, 3,  4.7,⑥④④,10, 5,Ｋヤマニンアジャスト, 59,村田一, 1.6, 42, -16,  11,11, 35.7,⑬⑮⑭,10, 5,Ｌコアレスウィｰク, 60,赤木高, 1.2, 53,* 10, -27, 9, 26.7,①①②
