06年 6月18日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 6月18日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.0,,,,,■ 4R  芝2910m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.4,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大山崎特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｊヘイロｰフジ, 40,飯田祐,, 57,  -3,* -1, 7, 18.2, ⑥⑤, 1, 2, トラストディアｰ,,金子光,,,,, 4,  7.3,⑤③③, 1, 1,Ｂイズミデヒア, 68,赤木高,, 68,   3,*  2, 6,  9.2,⑦⑦⑦, 1, 5,Ｆアインカチヌキ, 75,佐藤哲,, 83,* 10,  10, 9, 28.0, ①①
 2, 7,Ｆヘンメイレン, 47,船曳文, 0.2, 52,  -5,* -3,12,300.0, ⑧⑦, 2,14, ニシノニシｰノ,,植野貴, 0.9,,,, 2,  3.7,②①①, 2, 7,Ｊベルフリｰ, 59,武豊  , 0.1, 65,   0,*  4, 1,  3.7,⑮⑩⑦, 2, 4,Ｉナリタダンディ, 69,河北通, 0.2, 88,  -2,* 20, 7, 16.5, ⑪⑨
 3, 1, フレンチミステリｰ,---,福永祐, 0.2, 57,   1,  -7, 4,  7.6, ③③, 3, 3, オジャマシマス,,中村将, 1.0,,,, 1,  2.7,③②②, 3, 6,Ｆユメノシルシ, 64,吉田豊, 0.1, 67,   4,   0, 2,  4.8,⑥④⑤, 3, 1,Ｂナトゥｰア, 81,幸英明, 0.4, 79,   8,   9, 4,  8.2, ③④
 4, 4,Ｄサンキンレタｰ, 50,武豊  , 0.5, 50,  -8,*  1, 2,  3.8, ⑫⑪, 4, 8, キタサンブシドウ,,熊沢重, 2.6,,,, 5,  8.5,③④④, 4, 8,Ｇバンブｰワｰルド, 62,岩田康, 0.2, 65,*  4,  -5, 3,  5.1,①①①, 4,15,Ｇポライトストｰン, 74,吉田豊, 0.4, 81,   4,* 13, 3,  4.5, ⑧⑧
 5, 3,Ｅシックスポケット, 50,幸英明, 1.0, 51,*  3, -18, 6, 13.9, ①①, 5,10, ラダマンテス,,出津孝, 2.6,,,, 3,  6.0,⑤⑤⑥, 5,12,Ｃメイショウゴジラ, 65,佐藤哲, 0.3, 65,   2,   0, 7, 13.6,⑦⑦⑦, 5, 9,Ｊホシシャトル, 67,四位洋, 1.0, 69,   6,   3,10, 33.5, ⑥⑤
 6,10,Ｇブライティアスカイ, 45,岩田康, 1.1, 45,  -6,  -8, 5, 10.6, ⑧⑧, 6, 9, スカイコンコルド,,北沢伸, 3.8,,,, 7, 39.5,⑦⑥⑤, 6,16,Ａトラベルシチｰ, 69,安部幸, 0.6, 60,*  3,  -8, 4,  8.1,③③③, 6, 3,Ｃウイングシチｰ, 80,内田浩, 1.1, 68,*  9,   1, 2,  3.8, ②②
 7,16,Ｌユウタｰジェンヌ, 36,中村将, 1.1, 42,  -9,  -7,14,322.1, ⑪⑩, 7, 7, スリｰプレアデス,,高野容, 4.0,,,, 6, 12.7,⑬⑧⑧, 7, 4,Ｏシルクプロフェット, 36,小牧太, 1.0, 60,   4, -10,12, 82.8,③④③, 7,16,Ｄパレスエｰス, 79,田嶋翔, 1.2, 66,*  9,   0, 6, 13.7, ③②
 8,13,Ｃコパノフロスティ, 50,小牧太, 1.5, 45,   1, -20, 1,  2.5, ③③, 8, 1, ダイシンツウィギｰ,,沢昭典, 4.3,,,,10, 58.0,⑪⑪⑨, 8,11,Ｌセイザンコズウェイ, 55,和田竜, 1.1, 60,*  5, -13,11, 77.2,②②②, 8, 8,Ｌタケイチマサル, 65,上村洋, 1.3, 71,  -5,  12,11,120.8, ⑬⑬
 9,15,Ｉミスフェイスフル, 40,渡辺薫, 1.6, 43,   0, -20,10,109.0, ⑤⑤, 9,11, マイティｰステップ,,内田浩, 4.5,,,,13,168.5,①⑥⑦, 9,10,Ｄスマｰティコジｰン, 65,吉田隼, 1.2, 55,  -1,  -4,10, 50.1,⑭⑬⑪, 9, 7,Ｍタムロイｰネｰ, 64,酒井学, 1.4, 68,  -3,   9,13,237.8, ⑪⑫
10, 9,Ｂフラワｰパレｰド, 51,池添謙, 1.7, 40, -10,  -8, 8, 27.7, ⑭⑭,10, 5, ラストパｰトナｰ,,横山義, 5.6,,,,14,242.2,⑧⑨⑨,10, 2,Ｍホッカイアムレット, 55,池添謙, 1.3, 55,  -2,  -2,14,184.8,⑮⑯⑭,10, 6,Ｈバレンソｰル, 71,鮫島良, 1.5, 65,   1,   5, 8, 16.8, ⑩⑨
11,14,Ｍハリケンフェアｰ, 28,橋本美, 1.9, 42, -21,*  3,16,576.6, ⑯⑯,11,13, シロキタスピｰド,,今村康, 5.7,,,,11, 84.4,⑩⑪⑪,11, 3,Ｈアグネスライフ, 62,四位洋, 1.8, 53,   1, -12, 5,  8.1,⑪⑩⑩,11,10,Ａノｰザンキッズ, 82,岩田康, 1.7, 61,   6,  -2, 1,  3.5, ⑥⑤
12, 8,Ｈクリスタルタイム, 45,鮫島良, 2.1, 35, -11, -14, 9, 46.5, ⑬⑬,12,12, カネトシパワフル,,小坂忠, 6.0,,,, 9, 45.8,⑪⑬⑭,12,15,Ｉケｰジｰエリシオ, 61,内田浩, 2.0, 50,   0, -12, 9, 43.3,⑪⑬⑭,12,11,Ｎカシノコｰルミｰ, 63,西原玲, 1.7, 64,  -5,   8,12,199.7, ⑬⑭
13, 5,Ｋニホンピロアリエル, 38,熊沢重, 2.2, 39,*  2, -29,11,130.1, ②②,13, 6, インファイトシチｰ,,浜野谷, 6.5,,,,12,155.5,⑭⑬⑬,13,14,Ｋホウライテイオｰ, 56,南井大, 2.2, 50,   1, -16,13,116.0,⑩⑩⑬,13, 2,Ｅマルトク, 75,安部幸, 2.3, 54,   2,  -4, 5, 13.6, ⑨⑨
14,12,Ｎフェアリｰアスカ, 23,和田竜, 2.5, 35, -13, -13,13,304.7, ⑮⑮,14, 4, プレミアシチｰ,,佐久間, 6.9,,,, 8, 45.2,⑧⑩⑫,14,13,Ｅベネディクタス, 64,高野容, 2.4, 48,   4, -24,15,318.1,⑤④⑤,14,12,Ｏニシノハｰロック, 58,小池隆, 2.9, 51, -16,   7,15,331.0, ⑯⑯
