06年 5月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 5月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.7,,,,,■ 4R  芝3000m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1600m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.0,,,,,■10R  ダ2100m 4歳上1000万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-4.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,是政特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｃディスイズザライフ, 50,藤田伸,, 58,*  3, -10, 8, 23.4, ①①, 1, 9, マイネルスピニッチ,,大庭和,,,,, 1,  2.2,⑨③③, 1, 5,Ｃショウナンラノビア, 64,吉田豊,, 72,   3,*  8, 4,  9.9, ⑪⑩, 1, 8,Ｄチｰフシャトｰ, 72,佐藤哲,, 81,* 13,*  2, 7, 20.9,④③②
 2, 2,Ｈラフィｰク, 44,武豊  , 0.3, 55,*  1, -10, 3,  7.2, ②②, 2, 1, シャフツベリｰ,,柴田大, 0.2,,,, 3,  5.0,①①①, 2, 4,Ｎブラックランナｰ, 46,佐藤哲, 0.1, 71,   6,*  3, 9, 34.9, ⑥⑥, 2, 3,Ｅイエス, 72,柴田善, 0.5, 76,  12,  -1, 3,  7.4,⑧⑤⑤
 3, 6,Ｇカナハラグレｰス, 45,小野次, 0.6, 53,  -2,  -8, 7, 22.3, ⑨⑧, 3, 6, シルバｰデュｰク,,江田勇, 1.0,,,, 5, 13.6,②②②, 3, 1,Ｂエッセイスト, 66,蛯名正, 0.5, 68,*  8,  -4, 1,  2.0, ②②, 3, 6,Ｆミッキｰシャｰマン, 70,御神本, 0.6, 77,  10,*  3,11, 71.4,⑬⑪⑨
 4, 3,Ａトｰセンレジェンド, 52,横山典, 0.7, 50,  -3,* -7, 1,  1.7, ⑥⑨, 4, 2, レオスタｰライト,,浜野谷, 1.1,,,, 2,  4.4,⑥⑥⑦, 4,10,Ｄルックアミリオン, 63,藤田伸, 0.8, 65,   6,  -5, 5, 10.2, ③④, 4, 1,Ｂダブルブラザｰ, 73,小林淳, 1.0, 74,  10,  -1,10, 43.6,⑩⑩⑨
 5, 7,Ｂデザｰトバｰド, 52,柴田善, 0.9, 51,   0, -13, 2,  5.3, ⑥⑤, 5,12, オｰスチンボンド,,高野和, 1.8,,,,10, 56.2,②⑥⑤, 5, 8,Ｊダノンスイショウ, 57,内田博, 1.1, 62,   2,   0, 8, 34.5, ⑬⑬, 5, 7,Ｋオｰスミダンスイン, 68,小野次, 1.2, 73,  11,  -5, 8, 36.0,⑧⑦⑥
 6, 4, ミラクルワウ,---,柴山雄, 1.2, 48,  -3, -11, 6, 20.5, ⑩⑩, 6,10, ヤクモラヴ,,平沢健, 2.2,,,,12,178.9,⑫⑨⑦, 6, 3,Ｉシャドウビｰチ, 57,武豊  , 1.1, 62,   6,  -8, 7, 21.9, ③④, 6, 4,Ｈデイフラッシュ, 69,藤田伸, 1.4, 72,* 12, -11, 4, 12.0,⑥④②
 7,13,Ｋビュｰティジュン, 36,勝浦正, 1.2, 47,  -8,* -4,15,373.7, ⑭⑭, 7, 5, ユｰワキングストン,,白坂聡, 2.2,,,, 7, 23.6,⑨⑨⑩, 7, 9,Ｌダイワフォルゴｰレ, 51,柴田善, 1.1, 63,   5,  -6,14,210.1, ⑥⑥, 7,12,Ａグラスリアルパワｰ, 77,四位洋, 1.4, 71,   8,   0, 6, 18.6,⑯⑬⑬
 8,12, エビスハルカ,---,後藤浩, 1.3, 46,  -7,* -6,13,226.1, ⑭⑭, 8, 7, オンワｰドワンダｰ,,沢昭典, 2.9,,,, 4,  9.3,②③④, 8,14,Ｅマイネルメロス, 62,石神深, 1.2, 63,   3,  -3,11,107.7, ⑬⑩, 8,10,Ｉワンダｰゼネラス, 68,柴山雄, 1.6, 70,   9,  -4,13,135.9,⑮⑬⑫
