06年 6月18日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 6月18日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.2,,,,,■ 4R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.6,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.2,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,漁火特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａモモノカオリ, 53,本田優,, 52,* -5,  -6, 1,  1.6,①①①, 1, 2,Ｅマイネルシュバルツ, 49,木幡初,, 66,*  1,*  2, 6, 23.2,③②②, 1,12,Ｅアンダンテシチｰ, 64,塚田祥,, 68,   6,   2, 6, 32.1, ③③, 1, 7,Ｄトウカイハッスル, 70,菊沢隆,, 76,  -9,* 24, 4, 10.5,⑥⑥④
 2, 1,Ｄグッドバニラ, 44,横山典, 0.1, 51, -13,*  7, 2,  4.6,⑬⑬④, 2, 1,Ｂエメラルドシティ, 57,柴山雄, 0.5, 60,*  3,  -8, 2,  4.9,①①①, 2, 1,Ｃチャレンジシチｰ, 66,藤岡佑, 0.0, 69,* 17,  -2, 3,  7.6, ①①, 2, 6,Ｇマイネルレジオ, 67,木幡初, 0.0, 68,* -6,  18, 6, 31.1,②②②
 3, 4,Ｈハトル, 35,柴山雄, 1.0, 42, -11,  -6, 9, 52.9,⑪⑨⑧, 3,12,Ａレインボｰジャック, 58,横山典, 0.5, 60,  -2,*  2, 1,  1.8,⑩⑨⑤, 3, 2,Ｂアｰマメント, 74,柴山雄, 0.1, 70,   3,   6, 1,  1.6, ④④, 3, 2,Ｃモエレフェニックス, 75,柴山雄, 0.0, 65,* -4,  15, 2,  3.1,①①①
 4, 6,Ｃディｰズサンスｰシ, 45,木幡初, 1.1, 42,  -9,  -9, 6, 32.0,⑧⑥④, 4, 6,Ｌラブシェンフォン, 42,塚田祥, 0.7, 53,  -4,  -4,11, 58.7,⑤⑧⑤, 4,11,Ａハナパック, 80,藤田伸, 0.2, 65,* 16,  -5, 2,  3.3, ②②, 4, 1,Ａセイコｰアカデミｰ, 78,横山典, 0.1, 69,  -7,  19, 1,  1.7,⑤③④
 5, 7,Ｌスペシャルイヤｰ, 32,小林徹, 1.4, 41,* -6, -17, 5, 30.8,②②②, 5,10,Ｃヒシワンスモア, 56,武幸四, 0.9, 55,*  1, -11, 4, 10.6,⑤②②, 5, 8,Ｇシルクエレメント, 58,木幡初, 0.3, 67,  -3,*  8, 4, 18.6, ⑥⑤, 5, 5,Ｅエアサンタムｰル, 70,藤田伸, 0.3, 63,  -7,  16, 3,  6.8,④③③
 6, 9,Ｅハルカッコ, 42,千田輝, 1.5, 39,  -8, -15, 7, 36.1,⑤④③, 6,11,Ｉロｰレルナイト, 43,菊沢隆, 1.1, 52,  -6,*  1,15,225.1,⑭⑬⑨, 6,10,Ｉミヨノドリｰム, 55,郷原洋, 0.4, 66,  -5,*  8, 9,141.3, ⑧⑦, 6, 4,Ｂタヤスレノックス, 75,藤岡佑, 0.8, 53,  -7,   9, 5, 21.6,③③④
 7,10,Ｆプリンセススピカ, 39,津村明, 2.2, 32, -10, -19, 8, 50.7,⑤⑥⑨, 7, 3,Ｇクチベニ, 49,郷原洋, 1.2, 50,  -5,  -4, 9, 44.6,⑬⑪⑨, 7, 9,Ｋランバイルビｰ, 52,菊沢隆, 0.4, 66,  -5,*  8,12,456.4, ⑧⑦,,,,,,,,,,,,
 8, 2,Ｂカズサハｰト, 48,菊沢隆, 2.4, 33,* -7, -25, 4, 11.1,②③④, 8, 8,Ｊマイネルジュネス, 43,長谷川, 1.2, 49,  -8,*  4,10, 54.2,⑮⑮⑭, 8, 4,Ｆフジノヘイロｰ, 61,山口竜, 0.6, 62,  -3,   5, 8, 82.9, ⑥⑦,,,,,,,,,,,,
 9, 5, トリックショット,---,秋山真, 2.5, 31, -11, -19, 3,  6.6,⑩⑪⑫, 9,15,Ｎリワｰドプレザン, 23,小野次, 1.5, 47,  -2, -12,13,177.9,⑩⑨⑨, 9, 7,Ｌジパングエンジェル, 52,古川吉, 0.7, 62, -11,*  9,10,202.5, ⑪⑪,,,,,,,,,,,,
10, 8,Ｊゲイルハｰモニｰ, 34,松田大, 2.7, 30, -11, -22,12,193.9,⑨⑨⑩,10, 4,Ｍマチカネコチョウ, 41,北村友, 1.6, 42,  -6, -13,14,192.0,⑦⑪⑨,10, 5,Ｈスリｰスピリット, 57,小林徹, 0.8, 60,  -8,   6, 7, 43.3, ⑩⑩,,,,,,,,,,,,
11,12,Ｋフォックストレル, 32,古川吉, 2.9, 28, -12, -21,13,230.3,⑪⑫⑫,11, 9,Ｆストロングアサクサ, 49,藤田伸, 1.7, 45,  -1, -18, 5, 12.1,⑦⑥⑤,11, 3,Ｄペイルロｰズ, 66,津村明, 1.1, 55, -13,   5, 5, 19.9, ⑫⑫,,,,,,,,,,,,
12,13,Ｇイイデタイセイ, 37,藤岡佑, 3.3, 26,  -8, -32,11,105.2,④④④,12, 5,Ｄパインクｰル, 50,本田優, 2.2, 40,*  1, -30, 3,  8.3,②②④,12, 6,Ｊヨシブリザｰド, 52,鈴来直, 1.1, 54,   0,  -2,11,347.4, ⑤⑤,,,,,,,,,,,,
13, 3,Ｉノｰスアタッカｰ, 34,武幸四, 3.7, 23,  -9, -34,10, 77.2,⑤⑥⑩,13,14,Ｋザトライアンフ, 43,秋山真, 2.2, 40,  -1, -26, 7, 28.3,⑦⑥⑨,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14,13,Ｏヘンリｰズフォｰク, 21,津村明, 2.4, 36,  -8, -18,12,115.0,⑫⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15, 7,Ｈブｰケティアラ, 46,藤岡佑, 3.0, 32,*  1, -42, 8, 35.9,③②⑤,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+12 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-1),,,,,,,,,,,
単勝:160円 複勝:11=110円 01=130円 04=680円 枠連:360円,,,,,,,,,,,,"単勝:2,320円 複勝:02=380円 01=150円 12=110円 枠連:2,710円",,,,,,,,,,,,"単勝:3,210円 複勝:12=560円 01=220円 02=110円 枠連:740円",,,,,,,,,,,,"単勝:1,050円 複勝:07=470円 06=850円 枠連:0円",,,,,,,,,,,
"馬連:360円 ワイド:01-11=170円 04-11=950円 01-04=1,690円",,,,,,,,,,,,"馬連:5,190円 ワイド:01-02=1,480円 02-12=820円 01-12=220円",,,,,,,,,,,,"馬連:11,290円 ワイド:01-12=1,930円 02-12=820円 01-02=290円",,,,,,,,,,,,"馬連:4,650円 ワイド:06-07=940円 02-07=470円 02-06=720円",,,,,,,,,,,
"馬単:500円 3連複:2,630円",,,,,,,,,,,,"馬単:11,680円 3連複:2,720円",,,,,,,,,,,,"馬単:28,930円 3連複:5,180円",,,,,,,,,,,,"馬単:9,070円 3連複:4,140円 3連単:33,310円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.0,,,,,■ 5R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.3,,,,,■11R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,奥尻特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｃメイショウダンケン, 47,藤岡佑,, 62, -13,* 11, 6, 17.4, ⑨⑧, 1, 4, エｰシンダｰムスン,---,秋山真,, 77,   6,*  8, 3, 10.8, ③③, 1,10,Ｈグロｰリｰサン, 59,長谷川,, 64,*  8,  -9, 6, 10.2,③①①, 1, 4,Ｅシュフルｰル, 69,津村明,, 77,*  6,  13, 5, 11.6,②②②
 2, 5,Ｂシングフォアジョイ, 48,塚田祥, 0.3, 60,*  6,  -7, 5, 14.1, ①①, 2, 6, アンソロジｰ,---,長谷川, 0.5, 64,* 11,  -4, 5, 26.8, ①①, 2, 7,Ｆニシノガルｰダ, 60,柴山雄, 0.3, 61,*  6, -10, 3,  7.3,④③②, 2, 9,Ｂフィｰルドベアｰ, 72,秋山真, 0.1, 83,   0,* 21, 3,  4.5,⑩⑩⑦
 3, 2,Ｄプルｰフオブキング, 46,本田優, 0.7, 56,  -2,  -3, 1,  2.5, ⑦⑥, 3, 5, コンゴウダイオｰ,---,藤田伸, 0.6, 62,*  9,  -4, 1,  1.1, ②②, 3, 6,Ｃバンダムロッシ, 65,小野次, 0.6, 58,   5, -10, 5,  9.6,④⑤⑥, 3, 5,Ｇミュｰジックホｰク, 64,柴山雄, 0.1, 78,   3,  15, 7, 18.4,⑤⑤④
 4, 7,Ａシャｰディｰペｰジ, 51,横山典, 0.8, 56,*  5,  -9, 2,  3.4, ②②, 4, 1, マイニングゴｰルド,---,小野次, 0.6, 70,  -8,* 12, 4, 16.2, ⑥⑤, 4, 3,Ｄエリモアスリｰト, 64,北村友, 0.7, 53,   2, -10, 9, 36.8,⑪⑨⑥, 4, 6,Ｄブレｰヴハｰト, 70,藤田伸, 0.1, 76,*  5,  13, 2,  3.7,③③②
 5, 9,Ｈマイネルアビルテ, 38,山口竜, 0.9, 53,  -9,  -1, 9, 69.1, ⑧⑧, 5, 2, ナムラマｰス,---,本田優, 1.6, 46,   4, -15, 8, 76.7, ④③, 5, 5,Ａマイネルピエｰル, 67,津村明, 0.9, 54,   5, -14, 2,  4.2,④⑤④, 5, 7,Ｊピｰタｰキャット, 60,木幡初, 0.5, 69,   2,  10, 9, 58.0,⑦⑧⑦
 6, 8,Ｇタマモヘヴン, 41,藤田伸, 1.0, 53,  -1,  -7, 3,  4.2, ⑤⑤, 6, 9, ケイアイハイタイド,---,柴山雄, 2.1, 39,  -4, -15, 2,  9.8, ⑤⑥, 6,12,Ｋシルクプロシｰド, 51,塚田祥, 1.1, 49,  -4,* -4,11, 95.4,⑫⑫⑫, 6, 1,Ｋハヤテドリｰム, 55,本田優, 0.5, 69,   3,  10, 6, 18.0,④⑤④
