06年 2月19日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 2月19日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,,,,,,■ 4R  芝1400m 3 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(混) 別定,,,,,,,,,,,,■10R  芝1800m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｱﾒｼﾞｽﾄｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｇモンヴェｰル, 45,柴田善,, 64,* -7,*  9, 2,  5.4,②②②, 1, 1,Ｃレイザストレングス, 51,藤田  ,, 62,* -2,   2, 3,  4.5,①①①, 1, 7,Ｄケイアイハクスイ, 65,内田博,, 79,*  9,*  8, 3, 10.1,③②②, 1, 4,Ｇマチカネオｰラ, 82,藤田  ,, 82,   4,  20, 1,  3.4,⑤⑥⑧
 2, 6,Ａキストゥヘヴン, 63,吉田豊, 0.1, 65,  -9,* 11, 1,  1.5,④⑦④, 2,13,Ｈエクレｰルヴィオレ, 36,柴田善, 0.0, 64,  -5,*  7, 5, 10.2,⑥⑦④, 2, 5,Ａチョウカイキセキ, 72,バルジ, 0.1, 79,*  9,*  7, 1,  1.6,④④②, 2, 6,Ｂタガノデンジャラス, 86,安藤勝, 0.2, 84,  -2,* 29, 2,  3.6,⑭⑭⑮
 3, 9,Ｄコアレスボニｰタ, 55,丹内  , 1.1, 50,* -7,  -4, 6, 29.4,①①①, 3,12,Ｉスイｰトロｰレライ, 36,内田博, 0.2, 62, -12,* 13, 6, 10.6,⑫⑬⑪, 3, 8,Ｊキラウエアシチｰ, 57,高山太, 1.4, 62,  -4,*  9,14,222.1,⑫⑬⑭, 2,11,Ｎマイネルデュプレ, 75,柴山  , 0.2, 83,   0,* 25, 8, 20.1,⑯⑭⑬
 4, 7,Ｃクリノビスケット, 55,江田照, 1.2, 51,  -9,   0, 5, 24.0,③④④, 4, 3,Ｄトミケンカイドウ, 50,ルメｰ, 0.4, 57,* -3,  -3, 1,  3.3,①②②, 4,10,Ｅホクセツコマチ, 65,小野  , 1.4, 64,   1,   4, 6, 20.7,⑦⑨⑨, 4, 9,Ｐフレンチクルｰラｰ, 73,勝浦  , 0.2, 76,*  7,   9,12, 47.7,②②②
 5, 8,Ｈミンナシアワセ, 42,小林淳, 1.3, 53, -16,*  7, 8, 71.5,⑫⑪⑩, 5, 4,Ｆネヴァベｰカリｰ, 38,福永  , 0.8, 52,  -8,  -1, 8, 26.6,⑦⑦⑧, 5, 4,Ｇブルｰアドミラル, 61,大庭  , 1.5, 64,   6,  -5,12,114.4,⑥⑥⑤, 5,12,Ｉホッコｰパドゥシャ, 79,上村  , 0.3, 79,   1,  18,10, 28.2,⑬⑫⑨
 6,10,Ｂゴックン, 57,吉田隼, 1.5, 45, -11,  -3, 3,  6.5,④⑤⑦, 6, 6,Ａエプソムメサイア, 54,吉田隼, 0.8, 47,  -7,  -8, 7, 21.5,③③④, 6, 1,Ｂホシノペンタゴン, 69,藤田  , 1.6, 64,* 10, -11, 4, 14.9,①①①, 6, 1,Ｍコスモテナシャス, 76,津村  , 0.3, 74,*  8,   4, 7, 18.2,①①①
 7,16,Ｉワンダフルライフ, 42,柴山  , 2.0, 42,* -8,  -9, 7, 45.2,④②③, 7,10,Ｂロｰドフィｰバｰ, 52,バルジ, 0.8, 51,* -4,  -7, 2,  4.2,⑤③③, 7,11,Ｆアンジェロファニｰ, 64,武豊  , 1.7, 62,   6,  -6, 2,  4.8,⑤④⑤, 7, 2,Ｈマチカネリュウセイ, 81,木幡  , 0.4, 76,   5,  11,11, 30.5,③④③
 8, 2,Ｆラブミｰスマイル, 46,南田  , 2.1, 40, -13,  -7,13,292.1,⑦⑧⑧, 8,11,Ｅマイネルパラシオ, 45,安藤勝, 1.0, 49, -13,   2, 4,  5.9,⑩⑩⑬, 8,15,Ｌウエスタンマックス, 51,石橋脩, 1.7, 63,   5,  -4, 8, 25.8,⑦⑦⑦, 8,10,Ｃコスモインペリアル, 84,ルメｰ, 0.6, 76,   0,  18, 3,  7.0,⑩⑫⑬
