06年 3月25日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 3月25日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.2,,,,,■ 4R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.0,,,,,■ 7R  ダ1800m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1.7,,,,,■10R  芝1200m 4歳上1000万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,千葉日報杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4, キングフォｰティ,---,柴田善,, 57, -13,*  8, 7, 21.5,⑦⑦⑥, 1,13,Ｄアクロスザヘイブン, 53,小野次,, 55,*-23,* 17, 3, 10.6,②②②, 1, 9,Ｂテンガロンハット, 71,藤田伸,, 72,* -3,* 15, 1,  2.5,②②②, 1, 9,Ｅテンイムホウ, 72,柄崎将,, 72,  -3,  14, 7, 19.7, ④④
 2, 7,Ｉブレｰブソルジャｰ, 46,蛯名正, 0.3, 54, -14,*  7, 9, 41.8,⑩⑩⑩, 2, 3,Ａメジロアレグレット, 60,吉田豊, 0.2, 51, -24,* 15, 2,  3.2,②③③, 2,10,Ｄマイネルレオン, 68,岩部純, 0.1, 70,* -4,* 15, 6, 11.2,③②③, 2, 1,Ｈエイワショウグン, 67,横山典, 0.0, 71,   0,  11, 1,  3.5, ③③
 3,12,Ｄスマｰトビジョン, 50,五十嵐, 0.4, 49, -12,   3, 8, 33.6,④④④, 3,17,Ｂエアマグダラ, 59,横山典, 0.4, 48, -25,  14, 1,  1.9,④④③, 3, 6,Ｆマイネルギルト, 65,蛯名正, 0.4, 68,  -5,* 14, 4,  7.6,⑤④④, 3, 2,Ｆフルブラスト, 70,五十嵐, 0.0, 69,*  6,   5, 6, 19.3, ①①
 4, 9,Ａアポロコマンダｰ, 57,横山典, 0.5, 48,*-11,   0, 1,  2.0,③②①, 4, 1,Ｑジョウノエリザベス,  8,北村宏, 1.0, 48, -30,* 17, 7, 26.7,⑮⑭⑭, 4, 4,Ｇマイピッカリン, 64,後藤浩, 1.2, 60,  -5,   7, 2,  3.5,⑦⑥⑥, 4, 3,Ｃカラメルアｰト, 76,藤田伸, 0.0, 72,  -8,  19, 2,  3.6, ⑦⑥
 5, 8,Ｈフジヤマホｰク, 47,デムｰ, 0.7, 52, -16,*  7, 6, 19.5,⑫⑫⑪, 5, 8,Ｏスマｰトルｰチェ, 31,柴田善, 1.2, 25,*-22,  -4,11,259.5,①①①, 5, 2,Ｋグリｰンカイザｰ, 53,鈴木啓, 1.3, 57,* -2,   1,13,343.0,①①①, 5, 6,Ｂオｰヴェｰル, 77,蛯名正, 0.1, 72, -16,* 25, 4,  6.4, ⑩⑩
 6,10,Ｆグレｰトアドミラル, 49,勝浦正, 0.9, 45, -13,   0, 5, 11.5,⑨⑦⑥, 6,16,Ｈダンスオｰルナイト, 44,デムｰ, 1.2, 38, -29,  11, 5, 14.8,⑪⑬⑭, 6,11,Ａオンワｰドウシワカ, 73,北村宏, 1.3, 63,  -9,  13, 5, 10.9,⑬⑫⑩, 6, 4,Ｊトウショウアタック, 64,郷原洋, 0.2, 69,  -6,  15, 8, 28.9, ⑥⑤
 7, 6,Ｋコウジンクラマ, 40,小野次, 0.9, 45, -13,   0,10, 73.2,⑩⑦⑥, 7, 7,Ｉマイネエリス, 40,鈴木啓, 1.4, 26, -25,   0, 9,187.8,⑥⑥⑤, 7, 5,Ｅリトルプリンス, 65,大西直, 1.7, 55,  -6,   4, 3,  7.3,⑨⑦⑦, 7, 5,Ｉストロベリｰドｰル, 65,菊沢隆, 0.4, 66, -20,* 23,10, 38.4, ⑫⑫
 8,13,Ｅインザリピｰト, 49,菊沢隆, 1.1, 41,*-10,  -8, 2,  5.5,①①①, 8,11,Ｇシｰユｰサンデｰ, 45,田中勝, 1.5, 26, -27,   3, 4, 11.6,⑭⑩⑪, 8, 3,Ｈヴィオラポンポｰサ, 64,的場文, 1.8, 57,  -8,   7, 9, 37.9,⑫⑫⑩, 8, 7,Ａタケショウレジｰナ, 83,後藤浩, 0.4, 64,  -8,  13, 3,  4.2, ⑦⑧
 9, 3,Ｇジェネラスボｰイ, 47,松岡正, 1.2, 40, -12,  -4, 3,  6.5,④⑥⑨, 9, 5,Ｃタｰキｰ, 55,後藤浩, 1.7, 22, -28,   2, 6, 17.7,⑪⑩⑫, 9,13,Ｉヨシリマｰカブル, 64,五十嵐, 1.8, 55,  -6,   4,10,160.0,⑨⑦⑦, 9,13,Ｋベルモントボｰジｰ, 63,松岡正, 0.4, 62,*  7,  -1, 9, 33.6, ①①
