06年 9月 2日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 9月 2日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.0,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.1,,,,,■10R  芝1500m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小樽特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂプレｰザヒｰロｰ, 53,松田大,, 65,*  8, -10, 2,  3.1, ①①, 1, 8, マイネルビジュｰ,---,津村明,, 49,* -5,  -8,12, 56.7,②②①, 1, 2,Ｆスイフトバイオ, 61,武幸四,, 77,   7,*  8, 3,  5.0, ②②, 1, 2,Ｂライトニングボｰル, 72,藤岡佑,, 70,  -2,* 10, 3,  5.3,⑥⑥⑦
 2, 1,Ａキャッスルトン, 62,岩田康, 0.3, 53,  -5,*  1, 1,  1.7, ⑥④, 2, 2, ヒラボクロイヤル,---,武幸四, 0.0, 53,  -9,*  2,11, 40.0,⑧⑦⑥, 2, 3,Ａケンコウヘイロｰ, 70,藤田伸, 0.0, 76,   4,* 10, 1,  2.8, ⑦③, 2,10,Ｉリブレメンテ, 60,津村明, 0.1, 63,*  4,  -1, 9, 59.9,①①①
 3, 5,Ｅクリップフェアリｰ, 37,川島信, 0.9, 46,   2, -14,10,103.4, ③②, 3, 4, アドマイヤマジン,---,岩田康, 0.2, 48,* -6,  -9, 1,  2.7,③③②, 3,10,Ｇキクノアロｰ, 59,小林徹, 0.4, 66,  -1,*  7, 6, 16.5, ⑧⑥, 3, 9,Ｃダノンウイングス, 71,本田優, 0.2, 69,  -6,* 10, 4, 10.7,⑫⑫③
 4, 2,Ｇヤマノブルｰグラス, 35,服部剛, 0.9, 42,  -3, -13, 6, 55.1, ④④, 4, 9, ミッキｰラブ,---,藤田伸, 0.2, 50,  -9,  -3, 6, 11.3,⑧⑦⑧, 4,12,Ｄエスケｰワシントン, 64,黛弘人, 0.9, 67,* 10,  -6, 5,  7.6, ①①, 4, 5,Ａコパノスイジン, 74,安藤勝, 0.3, 61,   1,   1, 1,  2.0,③③③
 5, 3,Ｄメジロミランダ, 44,藤岡佑, 1.0, 43, -11,* -4, 5, 23.3, ⑨⑨, 5, 7, ブランニュｰデイズ,---,安藤勝, 0.2, 51, -11,*  2, 2,  5.3,⑩⑪⑫, 5, 4,Ｈエプソムメサイア, 58,菊沢隆, 1.2, 60,   4,  -4, 7, 27.8, ②③, 5, 7,Ｇアグネスドｰン, 62,武幸四, 0.4, 62,  -2,   4, 7, 25.7,⑥⑥⑦
 6, 7,Ｈレパティヌｰル, 34,菊沢隆, 1.1, 41,  -3, -13, 8, 81.4, ④④, 6,10, シャドウブルｰス,---,秋山真, 0.6, 46, -11,  -4, 7, 13.9,⑩⑪⑧, 6, 9,Ｅルルドウォｰタｰ, 64,柴山雄, 1.2, 56,  -4,   1, 4,  6.6, ⑨⑨, 6, 3, ヤマノジャスティス,---,宮崎光, 0.4, 61,  -5,   6,12,123.2,⑨⑨⑩
 7, 6,Ｆシｰリｰコｰト, 37,藤田伸, 1.3, 38,  -6, -13, 3,  7.9, ⑥⑦, 7,14, マイサンシャイン,---,柴山雄, 0.6, 48, -15,*  3, 9, 23.7,⑬⑭⑬, 7, 6,Ｋバｰニングキャット, 51,津村明, 1.3, 61,   6,  -5,12,237.6, ②⑤, 7, 4,Ｅライクシモｰヌ, 64,北村宏, 0.4, 59,   1,  -1, 8, 40.1,③③③
 8, 8,Ｃアジアンホｰプ, 44,小林徹, 1.4, 37,  -6, -14, 4,  9.5, ⑥⑦, 8,11, マコトスパルビエロ,---,四位洋, 0.7, 42,* -6, -15, 4,  9.2,③③②, 8,11,Ｉスミノバンビｰナ, 56,千葉直, 1.4, 51, -11,   3, 8, 32.6, ⑪⑪, 8,12,Ｄゲイル, 67,岩田康, 0.7, 53,  -3,  -2, 2,  4.2,⑤⑥⑦
