06年 9月23日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 9月23日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9.9,,,,,■ 4R  芝3210m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.4,,,,,■10R  芝2000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,富里特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｂアプロｰズヒｰロｰ, 41,小林淳,, 54,  -7,*  0, 6, 25.1,⑧⑤④, 1,10, ブロｰドキャスタｰ,,西谷誠,,,,, 1,  3.6,④②①, 1,17,Ａキャッチｰタイトル, 65,後藤浩,, 65,*  3,*  1, 1,  2.6,④③②, 1, 8,Ｂホッカイショコラ, 73,イネス,, 72,*  8,   1, 3,  5.3,⑥④③
 2,13,Ａホットマニュｰバｰ, 62,松岡正, 0.2, 54,* -5,* -4, 2,  3.7,②②②, 2, 8, ユｰワキングストン,,横山義, 1.6,,,, 4,  5.6,⑨⑧⑧, 2, 1,Ｂスウィｰトネス, 60,横山典, 0.3, 61,   1,* -1, 2,  3.2,⑧⑦④, 2, 3,Ｋヤマニンアロンディ, 62,勝浦正, 0.0, 72,   1,* 16,13, 46.9,⑯⑰⑬
 3,14,Ｇケイアイフェザｰ, 32,後藤浩, 1.7, 42,* -6, -17, 1,  2.3,⑤④③, 3, 7, ユキノサンロイヤル,,穂苅寿, 1.8,,,, 3,  5.2,②①②, 3,14,Ｃマイスタｰキング, 59,吉田豊, 0.3, 61,   1,*  1, 3,  4.2,⑩⑨⑥, 3,16,Ｌミココロ, 62,土谷智, 0.3, 68,   3,*  7,17,403.6,⑯⑮⑬
 4, 8,Ｅキャプテンドリｰム, 35,木幡初, 2.4, 36,  -7, -21,15, 83.1,⑤⑦⑤, 4, 1, ジェイケイテイオｰ,,平沢健, 2.2,,,,10, 51.5,⑩⑥⑥, 4, 3,Ｉヨシウォｰリア, 50,柴田善, 1.1, 52,  -2,  -4, 8, 60.1,⑭⑬⑪, 4, 2,Ｅタイニｰモデル, 69,北村宏, 0.3, 68,   6,  -1, 5,  9.3,⑩⑦⑥
 5, 3,Ｆキングタキオン, 34,郷原洋, 2.4, 35,  -9, -18, 5, 19.4,⑪⑨⑨, 5,12, サンダｰロｰル,,田中剛, 2.3,,,, 5,  7.4,⑥⑤④, 5,13,Ｈロｰテロｰゼ, 50,松岡正, 1.2, 53,  -1,  -8, 6, 18.5,⑬⑫⑦, 5, 5,Ａマイネルｰシッド, 77,石神深, 0.4, 67,*  7,  -4, 4,  8.9,⑩⑦⑥
 6, 2,Ｍミヤビツヨシオｰ, 18,柴田善, 2.4, 35, -11, -13, 8, 33.3,⑫⑯⑬, 6, 5, テンザンダンディｰ,,出津孝, 2.6,,,, 6, 12.7,③②③, 6, 7,Ｆアインマｰル, 52,勝浦正, 1.3, 50,  -2,  -7,11, 75.3,⑮⑬⑪, 6,17,Ｄシルキｰステラ, 72,吉田豊, 0.4, 67,   5,   1, 1,  3.4,⑫⑫⑩
 7, 4,Ｊサンベルナｰル, 25,石神深, 2.8, 34,* -5, -29, 7, 25.6,①①①, 7, 2, マルブツトップ,,五十嵐, 2.8,,,, 2,  4.2,⑦⑥⑥, 7,12,Ｄウェルカムフラワｰ, 55,蛯名正, 1.3, 50,   2, -18, 4, 10.5,⑧⑤④, 7,15,Ｆアンサｰフォｰユｰ, 67,後藤浩, 0.8, 60,   4,  -5, 6, 17.8,⑫⑬⑩
 8,10,Ｎテンジンカズトヨ, 17,江田照, 3.0, 31,  -9, -24,16,145.0,⑮⑨⑦, 8, 9, カゲトラオｰ,,山本康, 2.9,,,, 7, 15.3,⑦⑨⑨, 8, 6,Ｍヤマノルｰジュ, 36,小林淳, 1.5, 48,  -1, -14,16,415.0,⑩⑩⑦, 8, 4,Ｉクチベニ, 63,郷原洋, 0.9, 60,*  6, -12,15,112.5,⑨⑦⑩
 9,16,Ｐナンヨｰアｰス,-16,イネス, 3.4, 29, -10, -24,13, 65.2,⑫⑭⑪, 9, 4, フラップジャック,,浜野谷, 3.0,,,, 8, 35.6,①④⑤, 9, 9,Ｏカシマワンダｰ, 32,イネス, 1.8, 45,   2, -25,10, 72.9,④⑤⑦, 9,13,Ｊユキノマｰメイド, 62,西田雄, 0.9, 60,*  8, -17,10, 27.9,②②①
