06年 8月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 8月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5.7,,,,,■ 4R  芝2600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.2,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.0,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐世保ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａインディゴラヴ, 60,内田浩,, 58,   1,* -3, 1,  2.5, ④②, 1, 5,Ｅアフェランドラ, 43,福永祐,, 48,*-19,  17, 4, 10.2,①②①, 1, 6,Ｂテイエムノブシオｰ, 66,小牧太,, 66,   4,   2, 1,  1.8, ③③, 1, 8,Ａモンロｰブロンド, 92,武豊  ,, 94,   7,* 26, 2,  4.5, ④②
 2,10,Ｂケイウンファミリｰ, 59,角田晃, 1.1, 54,*  8, -18, 2,  4.3, ①①, 2, 3,Ｄビッグベアシチｰ, 50,中村将, 0.0, 61, -23,* 22, 7, 34.6,⑥⑧③, 2,11,Ｃセトモモチャン, 65,武豊  , 0.0, 70,*  8,   1, 2,  3.8, ②②, 2,11,Ｃフサイチホクトセイ, 83,小牧太, 0.2, 87,* 12,  19, 5, 12.9, ①①
 3, 3,Ｃテイエムカゲムシャ, 59,中村将, 1.1, 40,  -2, -15, 3,  4.9, ④④, 3, 2,Ａシンゲキ, 57,小牧太, 0.1, 59, -21,* 23, 2,  3.9,⑥⑧⑤, 3, 5,Ｄメイショウオオヒメ, 63,川田将, 0.2, 64,   2,   1, 6, 21.6, ③⑤, 3, 4,Ｈスピニングノアｰル, 76,上村洋, 0.4, 91,  -5,* 31, 9, 47.4, ⑫⑩
 4, 5,Ｄナムライシス, 57,小牧太, 1.4, 39, -12,* -9, 7, 15.3, ⑨⑩, 4, 9,Ｃアグネスコメット, 52,上村洋, 0.3, 44,*-20,  15, 3,  4.2,③③②, 4,10,Ｈトレノラピド, 57,幸英明, 0.4, 63,  -5,*  5,10,183.7, ⑥⑥, 4, 9,Ｊディｰプサマｰ, 74,熊沢重, 0.5, 80,* 10,  15, 6, 18.9, ③②
 5, 7,Ｊツカサラッキｰ, 26,熊沢重, 1.4, 36,  -5, -15,10,156.2, ⑥④, 5, 4,Ｇタガノグロｰリｰ, 41,和田竜, 1.1, 29, -20,   4, 5, 13.3,⑩③③, 5, 8,Ｆインテリアワｰド, 62,北村友, 0.7, 56,   1,  -5, 4, 10.8, ③④, 5, 3,Ｄヒュｰマ, 80,川田将, 0.5, 83,   3,  22, 4,  7.9, ⑥⑥
 6, 2,Ｇミヤジニキｰタ, 35,和田竜, 1.5, 36,  -5, -14, 5, 11.2, ⑥⑥, 6,10,Ｈリｰガルマインド, 38,北村友, 1.3, 25, -23,   1, 8, 70.9,③⑦⑥, 6, 3,Ｇチキリサンボｰイ, 60,太宰啓, 0.7, 59,  -8,*  4, 3,  6.7, ⑨⑧, 6, 6,Ｂマルカジｰク, 90,福永祐, 0.5, 85,   0,  25, 1,  2.0, ⑩⑧
 7, 9,Ｆエイシンイッパツ, 41,福永祐, 1.6, 40,*  2, -21, 6, 12.3, ②③, 7, 8,Ｉサダムスカイミロク, 37,酒井学, 1.7, 28, -20,  -5, 6, 24.8,③③⑥, 7, 9,Ｅメイショウヨウザン, 63,鮫島良, 0.7, 60,*  9,  -8, 7, 22.4, ①①, 7,10,Ｅマイネルアルビオン, 79,和田竜, 0.7, 78,   5,  17, 3,  6.4, ⑥⑥
 8,11,Ｌメイショウサルト,-20,川田将, 1.7, 35, -14, -12, 9, 93.6, ⑩⑩, 8, 1,Ｆシゲルキングマン, 43,橋本美, 1.8, 27, -22,  -2, 9, 79.4,⑧⑩⑨, 8, 4,Ｉスワヤマダンディ, 52,赤木高, 0.8, 58,  -9,*  4, 8, 44.4, ⑨⑧, 8, 2,Ｆストｰンブリッジ, 78,太宰啓, 0.7, 79,   3,  19, 7, 20.7, ⑥⑨
