06年12月23日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年12月23日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(抽) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.6,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  芝2400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,江坂特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａトムトップ, 57,秋山真,, 55,  -4,* -2, 3,  5.9,⑩⑩⑥, 1, 3, スリｰオペレｰタｰ,,菊地昇,,,,, 2,  3.6,③②②, 1, 5, ケｰプポルト,---,ペリエ,, 67,* -2,   8, 3,  4.8,①①①, 1, 4,Ａオｰルピュｰル, 84,ペリエ,, 84,   8,* 17, 8, 11.2,⑧⑧⑧
 2, 4,Ｉヒシヴェンチャｰ, 36,武幸四, 0.0, 53,  -4,* -3, 6, 12.2,⑧⑨⑨, 2,14, リバｰスプライト,,北沢伸, 0.2,,,, 6, 17.0,⑤③③, 2, 7, アグネスタラリア,---,四位洋, 0.3, 65,  -4,   8, 2,  4.6,④③②, 2, 7,Ｃチョウカイサンデｰ, 82,小牧太, 0.3, 79,   6,* 14, 2,  6.0,⑩⑫⑪
 3, 3,Ｇスマｰトトリック, 43,上野翔, 0.3, 49,  -2, -13, 9, 63.8,④④④, 3, 4, ポジションワン,,黒岩悠, 1.7,,,, 7, 31.8,①①①, 3,11, ハギノアスラン,---,武豊  , 0.4, 69,  -7,* 13, 4,  6.8,⑤⑤⑤, 3, 1,Ｎインスパイア, 49,四位洋, 0.6, 75,*  9,  -1, 9, 22.4,①①①
 4, 5,Ｍナイスドトウ, 23,本田優, 1.1, 45,  -5, -11,12,164.2,⑫⑪⑪, 4,13, カノヤバトルスタｰ,,植野貴, 2.7,,,, 1,  2.4,⑥④④, 4, 6, オメガバリュｰ,---,秋山真, 1.1, 57,  -9,   7, 6, 14.4,⑥⑥⑥, 4, 6,Ｉセレスステｰラｰ, 72,岩田康, 0.6, 75,   8,   2, 5,  9.0,②③④
 5, 6,Ｅゴｰストライタｰ, 48,小牧太, 1.3, 45,*  1, -24, 7, 14.9,②①①, 5, 2, カネトシパワフル,,小林慎, 4.2,,,, 5, 13.3,⑧⑧⑥, 5,10, エイシンイチバン,---,ルメｰ, 1.3, 62, -12,* 13, 9, 35.7,⑫⑬⑫, 5,13,Ｈリキアイサイレンス, 74,秋山真, 0.6, 77,* 10,   1, 6,  9.3,③③②
 6, 9,Ｊスナｰクハｰバｰ, 35,幸英明, 1.6, 41,  -6, -15,10,109.3,⑫⑪⑨, 6, 9, タｰボフラッシュ,,柴田未, 4.3,,,, 8, 32.9,⑨⑧⑥, 6, 8, トップオブハワイキ,---,池添謙, 1.5, 49,  -9,   1, 7, 28.1,⑥⑥⑥, 6,12,Ｇクリスタルルｰジュ, 77,藤岡佑, 0.7, 74,   8,   2,10, 34.7,⑤⑥④
 7,11,Ｃアドマイヤデュｰク, 51,武豊  , 1.6, 42,  -3, -20, 1,  3.1,⑧⑥⑤, 7, 5, デイトレｰダｰ,,鈴木慶, 4.7,,,,12, 97.4,⑬⑫⑨, 7, 3, アｰルヌｰヴォｰ,---,安藤勝, 1.9, 45, -11,  -1, 1,  2.7,⑬⑪⑪, 7,10,Ｅグッドネイバｰ, 79,ルメｰ, 0.7, 76,   8,   6, 4,  8.0,⑩⑨⑧
 8, 8,Ｆマｰブルジｰン, 45,藤岡佑, 2.2, 38,*  1, -33, 5,  8.1,②②②, 8, 6, ジャイアンツエｰル,,白浜雄, 4.7,,,, 4, 11.1,⑦⑦⑧, 8, 4, ゼンノアコンカグア,---,武幸四, 2.0, 43, -10,  -4,12, 95.0,⑧⑧⑧, 8, 9,Ｄミツワスカイハイ, 80,武豊  , 0.8, 75,   6,  11, 7,  9.4,⑬⑬⑬
 9,13,Ｄテイエムテムジン, 50,岩田康, 2.8, 34,  -2, -33, 2,  3.9,④⑤⑥, 9, 8, エリモマキシム,,仲田雅, 5.0,,,, 3,  5.3,⑩⑩⑨, 9,12, クリノラブダンス,---,小牧太, 2.2, 40,  -9,  -9, 5, 10.7,⑩⑧⑧, 9,11,Ｂマイネルポライト, 83,本田優, 0.9, 72,   8,  -1, 1,  3.6,⑦⑥④
10, 7,Ｈマイネルデネブ, 36,四位洋, 3.0, 33,  -2, -35, 8, 26.1,⑥⑥⑥,10,12, ジョッシュ,,宗像徹, 5.1,,,, 9, 34.5,③⑤⑤,10, 9, スラｰジ,---,岩田康, 2.3, 40, -10,  -8,11, 62.7,⑧⑧⑩,10, 8,Ｊワイアットアｰプ, 70,武幸四, 1.2, 71,   5,   6,12, 94.3,⑭⑬⑬
11, 1,Ｋマイネルピッキオ, 34,モンテ, 3.0, 33,  -3, -33,11,119.6,⑥⑥⑪,11,11, マイネルレジオ,,柴田大, 6.4,,,,10, 40.9,⑩⑪⑪,11, 1, ジョｰリゴラス,---,本田優, 2.3, 40, -12,  -4,10, 40.4,⑪⑪⑫,11, 3,Ｋワンダｰゼネラス, 69,岩崎祐, 1.4, 70,   9, -10,13,334.4,⑧⑨④
12, 2,Ｂアイファｰチヨオｰ, 52,ルメｰ, 3.3, 31,*  1, -44, 4,  6.5,①②②,12, 7, エプソムフォルテ,,菊池憲, 7.9,,,,13,212.0,⑭⑬⑫,12, 2, ヒシインペリアル,---,石橋守, 3.3,  6,  -4, -38, 8, 31.5,③③②,12,14,Ｍレガシｰエンプレス, 59,太宰啓, 1.4, 69,   7,  -2,14,375.1,⑫⑪⑪
13,10,Ｌサンタキング, 30,船曳文, 4.4, 24, -11, -35,13,170.4,⑩⑬⑬,13, 1, ジンデンバリュｰ,,沢昭典,10.0,,,,14,235.9,⑫⑭⑬,13,13, フィｰルドルｰチェ,---,幸英明, 3.4, -4,* -3, -41,13,129.7,②②②,13, 5,Ｌマイネルアンセム, 65,幸英明, 1.4, 69,   8,  -5,11, 47.0,⑤⑤⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 2,Ｆグランロワイヤル, 78,安藤勝, 2.2, 61,* 10, -25, 3,  6.1,③②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-4),,,,,,,,,,,
"単勝:590円 複勝:12=260円 04=440円 03=1,260円 枠連:2,450円",,,,,,,,,,,,単勝:360円 複勝:03=150円 14=430円 04=620円 枠連:310円,,,,,,,,,,,,単勝:480円 複勝:05=170円 07=190円 11=230円 枠連:850円,,,,,,,,,,,,"単勝:1,120円 複勝:04=420円 07=230円 01=800円 枠連:3,140円",,,,,,,,,,,
"馬連:4,540円 ワイド:04-12=1,690円 03-12=2,390円 03-04=6,780円",,,,,,,,,,,,"馬連:2,590円 ワイド:03-14=840円 03-04=1,510円 04-14=2,820円",,,,,,,,,,,,"馬連:1,300円 ワイド:05-07=490円 05-11=730円 07-11=620円",,,,,,,,,,,,"馬連:3,060円 ワイド:04-07=1,230円 01-04=4,260円 01-07=2,980円",,,,,,,,,,,
"馬単:9,350円 3連複:48,860円",,,,,,,,,,,,"馬単:3,710円 3連複:16,500円",,,,,,,,,,,,"馬単:2,410円 3連複:2,750円",,,,,,,,,,,,"馬単:4,920円 3連複:33,730円 3連単:216,220円",,,,,,,,,,,
■ 2R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6.2,,,,,■ 5R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.3,,,,,■ 8R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.1,,,,,■11R  芝2000m 2 歳ｵｰﾌﾟﾝ(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾗｼﾞｵNIKKEI杯 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｃアクロスザスタｰ, 59,岩田康,, 56,   3,  -9, 1,  2.2, ④④, 1,11,Ａタガノグラマラス, 60,岩田康,, 62,* -4,   5, 1,  1.9, ②②, 1, 4,Ｌエイティフロｰ, 55,ペリエ,, 74,   0,* 11, 2,  4.5,④④④, 1, 3,Ｈフサイチホウオｰ, 61,安藤勝,, 73, -13,* 23, 1,  1.8,⑤⑥⑥
 2,16,Ｊブラックマジック, 43,畑端省, 0.0, 52,  -3,* -3,11,205.1, ⑩⑧, 2, 3,Ｒファンドリウェｰブ, 20,柴原央, 0.3, 60,  -7,   7,17,288.9, ⑥⑤, 2, 6,Ａテｰオｰキング, 71,武豊  , 0.4, 70,*  1,   5, 1,  1.8,②②①, 2,11,Ｋヴィクトリｰ, 54,武豊  , 0.0, 58,* -8,  13, 3,  5.6,②②②
 3, 5,Ｆマルタｰズストｰム, 51,安藤勝, 0.1, 51,  -9,*  1, 3,  5.1, ⑭⑪, 3, 2,Ｈソルヴィエント, 43,ペリエ, 0.3, 58,* -6,   4, 2,  3.7, ③③, 3,13,Ｈプレシャスピクセル, 60,小牧太, 1.1, 65,  -1,   3,10, 35.3,⑨⑦⑦, 3, 7,Ｂナムラマｰス, 77,ペリエ, 0.2, 56, -10,  13, 2,  4.8,④④③
 4, 1,Ｄセクシｰザムライ, 57,ルメｰ, 0.3, 58,*  8, -16, 4,  6.9, ②②, 4, 7,Ｊオｰトドラゴン, 38,武幸四, 0.4, 65, -12,* 13,11, 65.1, ⑬⑫, 4, 2,Ｂナムラシｰザｰ, 70,池添謙, 1.2, 67,  -5,* 10, 7, 31.2,⑯⑮⑫, 4, 8,Ｆマイネルソリスト, 63,岩田康, 0.2, 56, -10,  13, 6, 24.9,②③③
 5, 8,Ｅカシノダンク, 52,藤岡佑, 0.5, 49,   0, -10, 7, 37.2, ⑤⑤, 5, 1,Ｑテイエムフッカツ, 24,小牧太, 0.6, 56,  -9,   5,13,100.1, ⑨⑨, 5,12,Ｆメイショウチョイス, 61,太宰啓, 1.5, 62,  -1,  -1, 4, 15.5,⑦⑦④, 5, 4,Ａアサクサキングス, 79,四位洋, 0.4, 53, -10,  11, 4,  8.0,⑦④③
