06年 4月 9日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 4月 9日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.4,,,,,■ 4R  芝2880m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0.6,,,,,■10R  芝1200m 4歳上1000万 ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,勝浦特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｆワンダフルライフ, 43,武士沢,, 56,  -3,* -2,10, 48.3, ⑤④, 1, 7, マイネルメッセｰジ,,浜野谷,,,,, 1,  4.1,②②①, 1,11,Ａドリｰムソニック, 70,北村宏,, 78,*  4,* 12, 1,  2.0, ③③, 1, 9,Ｂエネルマオｰ, 77,吉田隼,, 80,  13,   6, 4,  8.7, ⑤⑤
 2, 8,Ａバクシンキｰタ, 54,高山太, 0.1, 56,*  0,* -6, 1,  2.1, ②①, 2, 9, マイネルスピニッチ,,大庭和, 0.5,,,, 2,  4.2,⑥④④, 2,13,Ｄケンコウヘイロｰ, 68,小林淳, 0.2, 77,*  5,* 10, 2,  4.0, ①①, 2, 5,Ｄオｰヴェｰル, 76,武幸四, 0.0, 75,  -1,* 20, 3,  5.5, ⑨⑪
 3, 7,Ｂシャｰディｰペｰジ, 51,津村明, 0.2, 54,*  0,  -9, 3,  6.7, ①①, 3, 6, トウショウドラマ,,植野貴, 1.3,,,, 4,  6.5,③③③, 3, 6,Ｂメルボルンシチｰ, 70,吉田隼, 0.9, 65,  -4,*  8, 4,  9.3, ⑧⑧, 3, 2,Ｍストロベリｰドｰル, 69,菊沢隆, 0.1, 71,  -6,* 20, 9, 31.2, ⑫⑪
 4, 3,Ｅクｰルダンサｰ, 46,北村宏, 0.6, 49,  -3,  -8, 2,  5.9, ⑤⑥, 4, 8, メジャｰカフェ,,西谷誠, 1.6,,,, 3,  4.9,⑧⑦⑤, 4, 5,Ｅハリアｰズリベンジ, 65,武幸四, 1.7, 61,   3,  -3, 3,  6.3, ④④, 4,12,Ｊトウショウアタック, 71,郷原洋, 0.1, 75,   9,   6, 6, 14.1, ⑥⑥
 5, 6,Ｃコパノフロスティ, 49,菊沢隆, 1.1, 44,  -7, -10, 6, 10.7, ⑦⑦, 5,14, ワイズタイクｰン,,平沢健, 1.7,,,,11, 60.3,⑧⑤⑤, 5,12,Ｃグロｰリｰブラッド, 68,後藤浩, 1.7, 62,   2,  -2, 5, 12.4, ⑥④, 5,10,Ｅケイアイボイジャｰ, 75,吉田豊, 0.2, 73,   2,  13, 7, 19.7, ⑧⑦
 6,10, ゴｰルデンメドウ,---,千葉直, 1.1, 41,  -8, -11, 5,  8.3, ⑦⑦, 6,11, テルミドｰル,,伊藤直, 2.2,,,, 7, 11.3,⑩⑤⑦, 6, 2,Ｊゴｰルドザボｰガｰ, 57,吉田豊, 2.0, 56,  -7,   3, 7, 41.1, ⑩⑩, 6, 4,Ｋレッドビｰムシチｰ, 70,津村明, 0.2, 69,   3,   8, 8, 23.5, ⑦⑦
 7, 4,Ｈシｰイズザワン, 42,吉田隼, 1.2, 42,  -4, -16, 9, 47.2, ④④, 7,10, ダイワネバダ,,菊池憲, 2.3,,,, 8, 25.8,①①②, 7,10,Ｆグランドブルｰ, 62,大野拓, 2.1, 53,   1,  -9,11,156.4, ④⑥, 7,14,Ｃポイントセブン, 77,小野次, 0.3, 77,* 21,  -7, 5, 10.3, ①①
 8, 9,Ｉホクセイダリア, 41,勝浦正, 1.3, 41, -10,  -9, 8, 32.2, ⑩⑨, 8, 2, マイハマムスメ,,五十嵐, 3.2,,,, 9, 36.4,⑪⑫⑪, 8, 4,Ｇフサイチアシュラ, 60,小野次, 2.2, 58,*  6, -11, 6, 16.0, ①①, 8,13,Ｇケイビイスパイダｰ, 72,大野拓, 0.5, 70,  15,  -7,11, 57.8, ③③
