06年 1月29日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 1月29日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,,,,,,■ 4R  芝2930m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 3 歳500万(混) 馬齢,,,,,,,,,,,,■10R  芝2400m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松籟ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
11, 9,Ｆウインザアコ, 45,四位  , 4.1, 17, -18, -22, 5, 18.3,⑨⑩⑬,11, 4, サｰボライアン,,金折  , 4.0,,,, 7, 27.7,⑪⑫⑫,,,,,,,,,,,,,11, 6,Ｇエリモファイナル, 78,長谷川, 1.8, 65,   6, -10,10, 86.2,⑤⑤④
12,13,Ｍロｰプスキッピング,  1,川島信, 4.3, 16, -19, -23,13,496.0,⑬⑬⑫,12,12, グランツスワン,,白浜  , 4.4,,,, 5, 11.8,⑪⑩⑩,,,,,,,,,,,,,,,,,,,,,,,,
13, 2,Ｌロｰズエッセンス, 22,上野翔, 5.9, -2,  -9, -51,12,477.4,②⑤⑨,13, 2, スリｰインディ,,高井  ,14.2,,,,14,153.1,⑭⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14, 3, アロハスピリッツ,,柴田未,14.5,,,,12, 75.0,⑬⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-4),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-2),,,,,,,,,,,
"単勝:170円 複勝:04=110円 06=920円 05=1,380円 枠連:1,210円",,,,,,,,,,,,単勝:360円 複勝:05=180円 07=150円 01=510円 枠連:410円,,,,,,,,,,,,単勝:490円 複勝:02=130円 04=110円 08=110円 枠連:700円,,,,,,,,,,,,単勝:240円 複勝:08=120円 07=120円 04=140円 枠連:330円,,,,,,,,,,,
"馬連:4,190円 ワイド:04-06=1,230円 04-05=2,240円 05-06=16,290円",,,,,,,,,,,,"馬連:740円 ワイド:05-07=260円 01-05=1,790円 01-07=1,130円",,,,,,,,,,,,馬連:730円 ワイド:02-04=210円 02-08=220円 04-08=140円,,,,,,,,,,,,馬連:380円 ワイド:07-08=160円 04-08=260円 04-07=220円,,,,,,,,,,,
"馬単:6,250円 3連複:48,310円",,,,,,,,,,,,"馬単:1,660円 3連複:5,120円",,,,,,,,,,,,"馬単:1,600円 3連複:420円",,,,,,,,,,,,"馬単:650円 3連複:510円 3連単:1,860円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,,,,,,■ 5R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 8R  芝2200m 4歳上500万(混) 別定,,,,,,,,,,,,■11R  芝1600m 4歳上ｵｰﾌﾟﾝ(牝) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,京都牝馬ｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｄベルフリｰ, 53,武豊  ,, 54,*-11,   4, 1,  1.7,⑥②③, 1, 2,Ｃステラマドレｰド, 57,四位  ,, 67,*  5,*  0, 5, 11.7,③③③, 1,10,Ａプリティプリンセス, 71,秋山  ,, 73,   2,  10, 1,  2.6,⑧⑦⑧, 1,12,Ｂマイネサマンサ, 96,岩田  ,, 84,*  4,  22, 4,  6.8,①①①
 2,11,Ｈエプソムシｰザｰ, 48,藤田  , 0.1, 52,*-11,   2, 2,  6.5,①①①, 2,11,Ａゲイル, 63,岩田  , 0.0, 71,  -2,* 10, 1,  2.3,⑭⑪⑥, 2, 4,Ｃガッサングリｰン, 65,幸    , 0.0, 73,   2,   9, 4,  7.7,⑦⑦⑥, 2, 4,Ｅチアフルスマイル, 84,藤田  , 0.0, 94,  -3,* 32, 5, 11.3,⑬⑫⑧
 3,13,Ｂサｰユウジｰン, 58,幸    , 0.4, 48,*-11,  -1, 8, 50.7,②②②, 3,13,Ｇゴッドスマイルユｰ, 41,武豊  , 1.2, 54,   3, -16, 4,  7.5,⑦⑥⑤, 3, 7,Ｋトウショウアスロン, 50,池添  , 0.2, 70,   3,   3,10, 50.0,⑥④③, 2,13,Ｏメイショウオスカル, 71,松永  , 0.0, 89,*  3,  26, 9, 33.4,④③③
