06年 4月15日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 4月15日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.5,,,,,■ 4R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.2,,,,,■ 7R  ダ1200m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-0.7,,,,,■10R  ダ1200m 4歳上ｵｰﾌﾟﾝ 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,京葉ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａジェイケイボストン, 62,北村宏,, 68,   2,*  3, 1,  1.8, ②①, 1,10,Ｂアポロキングダム, 54,横山典,, 67,*-11,* 14, 1,  2.2,①②①, 1, 1,Ｉシャンドラヴェリテ, 62,柴田善,, 65,   1,*  4, 3,  5.7, ⑨⑨, 1, 7,Ａニシノコンサフォス, 93,和田竜,, 92,* 13,  16, 1,  2.5, ①①
 2, 4,Ｂヒカルラブハｰト, 57,横山典, 0.7, 59,  -1,   0, 2,  1.9, ③③, 2, 8,Ｄマイネルランプロス, 51,藤田伸, 1.0, 52,*-11,   4, 5, 10.1,①①①, 2,13,Ａサキノリュウオｰ, 69,江田照, 0.0, 69,* 12,  -5, 9, 24.4, ①①, 2, 2,Ｅサイモンセッズ, 85,北村宏, 0.4, 86,   4,* 20, 6, 24.0, ⑥⑥
 3, 5,Ｃヒミノクリミナル, 40,津村明, 1.1, 53,  -2,  -5, 4, 27.5, ③③, 3, 5,Ｃトｰセンジュビリｰ, 52,吉田豊, 1.9, 44, -12,  -2, 3,  7.0,③④④, 3, 8,Ｂドリｰムスペクタｰ, 67,田中勝, 0.1, 66,   8,  -3, 2,  4.2, ②③, 3, 3,Ｃミリオンベル, 89,柴田善, 0.4, 87,   7,* 18, 3,  4.2, ⑤④
 4, 3,Ｇアルファリゲル, 34,田中勝, 1.4, 51,  -6,  -3, 3, 22.5, ⑤⑤, 4, 6,Ａフレｰミングライフ, 59,北村宏, 2.2, 40,*-12,  -6, 2,  3.1,⑤③③, 4,10,Ｋハセノダンディ, 60,藤田伸, 0.2, 65,   8,  -4, 7, 15.7, ②③, 4,10,Ｊメイショウムネノリ, 64,吉田豊, 0.8, 83,  10,  11, 8, 47.2, ③③
 5, 8,Ｆカシノウッディ, 35,黛弘人, 1.5, 50,*  3, -15, 6, 55.7, ①①, 5, 7,Ｅエフテｰクリニック, 47,松岡正, 2.5, 38, -13,  -7, 6, 21.3,④④④, 5, 4,Ｇシルクエレメント, 63,佐藤哲, 0.3, 62,   0,*  2,10, 31.5, ⑩⑨, 5, 5,Ｄオフィサｰ, 85,横山典, 1.0, 78,   4,  16, 5,  9.5, ⑦⑩
 6, 7,Ｄボブキャット, 38,勝浦正, 2.4, 40,  -7, -12, 7, 87.9, ⑥⑥, 6, 9,Ｈオリオンザピラテス, 41,田中博, 2.5, 38, -17,  -4, 7, 26.8,⑧⑧⑥, 6,11,Ｃピサノヘネシｰ, 66,勝浦正, 0.5, 61,   5,  -4, 1,  3.2, ⑥⑦, 6, 8,Ｆホｰマンテキｰラ, 85,藤田伸, 1.1, 81,* 13,   7, 4,  8.6, ①②
 7, 2,Ｅカワキタイグアス, 37,江田照, 2.5, 39,  -7, -13, 5, 35.2, ⑥⑥, 7, 4,Ｆマイネルバウンサｰ, 46,勝浦正, 2.9, 33, -12, -12, 4,  7.6,⑦④⑥, 7, 3,Ｄアイノクエスト, 66,吉田豊, 0.7, 60,   5,  -6, 4,  9.4, ⑥⑤, 7, 6,Ｂコパノフウジン, 93,佐藤哲, 1.2, 79,  10,   9, 2,  3.4, ③④
 8, 1,Ｈマルタカタイセイ, 28,小島太, 4.1, 19, -10, -29, 8,122.7, ⑧⑧, 8, 1,Ｇジンデンバリュｰ, 44,津村明, 3.0, 32, -15, -10,10,256.8,⑥⑦⑧, 8, 6,Ｈセンスオブアｰト, 62,松岡正, 0.7, 61,*  9, -10, 8, 18.7, ②②, 8, 1,Ｉテンケイ, 77,松岡正, 1.4, 75,   1,  13,10,176.3, ⑧⑦
