06年 8月 6日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 8月 6日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8.4,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.9,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.1,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,五稜郭特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａフリｰダムエアｰ, 72,本田優,, 69,* -4,*  8, 1,  1.7, ①①, 1, 6,Ｂシルクワンダｰ, 57,藤岡佑,, 61, -11,*  9, 1,  1.8,④④③, 1, 8,Ｄセルフリスペクト, 66,四位洋,, 73,* -7,* 19, 2,  3.3,③②②, 1,12,Ｃコスモマｰベラス, 77,長谷川,, 79,   5,  16, 2,  4.6,③②②
 2, 9,Ｂナムラマｰス, 66,安藤勝, 0.8, 51,* -7,  -1, 2,  2.9, ②②, 2,11,Ａサンライズヴァトｰ, 57,秋山真, 0.6, 47,* -8,  -2, 2,  3.5,②①②, 2,12,Ａレフォルマ, 70,藤田伸, 0.6, 62,* -7,  13, 1,  2.5,①①①, 2, 2,Ｂソリッドスライダｰ, 77,藤田伸, 0.0, 78,   6,  14, 1,  2.3,②②②
 3, 7,Ｉキｰランナｰ, 30,小林徹, 1.5, 40, -17,  -2, 9, 62.4, ⑥⑤, 3,12,Ｃメルシｰブロッコ, 51,小林徹, 0.8, 47, -10,   0, 5, 23.7,②③③, 3, 5,Ｆノｰスベアハｰト, 63,藤岡佑, 0.8, 66, -13,* 18, 5, 14.9,⑫⑨⑧, 3, 9,Ｆフェラｰリファイブ, 74,岩田康, 0.2, 76,   0,* 17, 3,  5.4,⑨⑧⑦
 4,10,Ｆユキノマｰガレット, 47,須貝尚, 1.5, 41,  -9,  -7, 5, 24.1, ③②, 4, 5,Ｄアフリｰトバッハ, 45,安藤勝, 0.8, 45,* -8,  -3, 4, 13.6,⑦②①, 4,11,Ｂアドマイヤレオン, 69,安藤勝, 1.0, 61, -10,  13, 4,  6.3,⑦⑥⑥, 4, 1,Ｇスズカロｰラン, 73,芹沢純, 0.2, 87,  -1,* 25, 8, 43.5,⑩⑩⑨
 5, 4,Ｃラブカｰナ, 54,菊沢隆, 1.5, 45, -20,   4, 8, 32.1, ⑧⑦, 5, 8,Ｌゴｰルデンロックス, 22,柴山雄, 1.1, 50, -15,*  5, 8, 71.4,⑨⑧⑥, 5, 4,Ｉニシノワカガシラ, 56,芹沢純, 1.2, 57,  -9,  11,12,129.3,⑤④④, 5, 5,Ｊヤクモアクティヴ, 72,秋山真, 0.5, 70,   4,  10, 9, 45.1,④⑤④
 6, 6,Ｇサンレイサイレンス, 47,秋山真, 1.9, 36, -28,   2, 6, 25.1, ⑩⑩, 6, 4,Ｇオｰシャンビュｰ, 40,岩田康, 1.2, 46, -13,   2, 3,  5.8,⑦⑥⑤, 6,13,Ｅティラノサウルス, 66,黛弘人, 1.4, 53, -12,   9, 8, 46.8,⑨⑦⑥, 6,10,Ｄタガノサイクロン, 74,古川吉, 0.6, 68,  -1,  12, 5, 10.9,⑪⑧⑨
 7, 1,Ｄエルゴスム, 51,長谷川, 2.0, 34, -11, -16, 4, 20.5, ③②, 7, 9,Ｉブラックプｰル, 38,北村宏, 1.3, 49, -16,*  5, 7, 40.4,⑪⑪⑧, 7, 6,Ｌサンレイコマンド, 55,松田大, 1.5, 48,* -9,   3, 9, 61.6,②②③, 7, 7,Ｌトｰホウファイタｰ, 68,柴山雄, 0.7, 67,   4,   8,11, 78.8,⑥⑦④
 8, 2,Ｅメジロミランダ, 50,北村宏, 2.2, 34, -11, -16, 7, 30.7, ⑤⑤, 8, 2,Ｅトｰアキンボシ, 44,菊沢隆, 1.4, 45, -15,   3, 6, 26.2,⑨⑧⑧, 8, 9,Ｊゼンノソルジャｰ, 55,的場勇, 1.8, 47, -14,   6,10, 80.5,⑤⑨⑩, 8, 6,Ｋスルｰレｰト, 70,藤岡佑, 0.8, 65,* 10,  -6, 6, 13.9,①①①
 9, 3,Ｈヤマニンブルｰザｰ, 35,岩田康, 2.6, 26, -18, -17, 3, 10.1, ⑦⑧, 9, 1,Ｊセイカバｰバリアン, 36,津村明, 3.3, 31, -16, -15,10,205.8,⑫⑪⑩, 9, 3,Ｋリネンメイン, 55,郷原洋, 1.9, 51, -12,   9,13,255.5,⑨⑨⑩, 9,11,Ａマジックアワｰ, 79,四位洋, 1.1, 57,   3,  -3, 4,  7.9,④②④
10, 5,Ｊデルマエドワｰド,-56,的場勇, 3.2,-13, -21, -26,10,249.3, ⑧⑧,10,10,Ｆヴァリアントソウル, 41,的場勇, 3.3, 29, -18, -14,12,218.5,⑫⑬⑩,10,10,Ｃテンジンダイカグラ, 69,岩田康, 2.0, 47, -13,   6, 3,  5.5,⑨⑨⑫,10, 4,Ｉセイントリｰプレア, 72,松田大, 1.1, 70,  -3,  16,10, 52.4,⑫⑫⑫
,,,,,,,,,,,,11, 7,Ｋホッコｰリシェス, 28,山口竜, 4.1,  1, -12, -28, 9,156.2,④⑤⑥,11, 1,Ｈディスパｰロ, 58,柴山雄, 2.1, 44, -10,   0, 6, 26.5,③④④,11, 8,Ｅノンスタンダｰド, 74,山口竜, 1.4, 60,   0,   5,12, 97.8,⑥⑩⑪
,,,,,,,,,,,,12, 3,Ｈメジャｰタイトル, 38,柴原央, 5.3,-38, -14, -36,13,220.7,④⑧⑫,12, 2,Ｇナムラバビロン, 60,小林徹, 2.3, 43, -12,   1, 7, 28.0,⑦⑦⑧,12, 3,Ｈデイフラッシュ, 73,安藤勝, 1.7, 58,   4,  -8, 7, 25.2,⑧⑤⑦
,,,,,,,,,,,,13,13,Ｍスリｰクリプト,  0,武英智, 5.9,-62, -13, -44,11,216.8,①⑥⑫,13, 7,Ｍサファリバンブｰ, 50,山口竜, 2.3, 45, -15,   6,11,114.9,⑬⑬⑫,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+21 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-1),,,,,,,,,,,
単勝:170円 複勝:08=110円 09=110円 07=490円 枠連:150円,,,,,,,,,,,,単勝:180円 複勝:06=100円 11=110円 12=320円 枠連:230円,,,,,,,,,,,,単勝:330円 複勝:08=120円 12=120円 05=260円 枠連:320円,,,,,,,,,,,,単勝:460円 複勝:12=130円 02=110円 09=160円 枠連:270円,,,,,,,,,,,
"馬連:180円 ワイド:08-09=120円 07-08=1,310円 07-09=1,230円",,,,,,,,,,,,馬連:240円 ワイド:06-11=140円 06-12=580円 11-12=610円,,,,,,,,,,,,馬連:310円 ワイド:08-12=160円 05-08=400円 05-12=450円,,,,,,,,,,,,馬連:440円 ワイド:02-12=180円 09-12=570円 02-09=280円,,,,,,,,,,,
"馬単:320円 3連複:1,890円",,,,,,,,,,,,"馬単:340円 3連複:1,370円",,,,,,,,,,,,馬単:700円 3連複:940円,,,,,,,,,,,,"馬単:1,150円 3連複:920円 3連単:5,090円",,,,,,,,,,,
