06年12月17日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年12月17日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.0,,,,,■ 4R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.6,,,,,■ 7R  ダ2300m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.2,,,,,■10R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,犬山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｃマコトスパルビエロ, 49,鮫島良,, 75,*  0,* 16, 3,  8.8,③②②, 1,15,Ｊタスカｰタソルテ, 30,中舘英,, 80,  -8,* 25, 1,  3.0,⑧⑤④, 1, 1,Ａダｰクメッセｰジ, 69,鮫島良,, 82,* -1,* 17, 2,  3.4,⑦④③, 1, 2,Ｆアドマイヤタイトル, 66,菊沢隆,, 82,  -4,* 22, 9, 26.9,⑭⑨⑧
 2, 6,Ａワｰルドハンタｰ, 55,塚田祥, 0.7, 69,*  1,*  6, 1,  1.4,①①①, 2, 9,Ａマイネルヴルメリオ, 59,石橋脩, 0.3, 64,* -6,  14, 2,  3.1,④②②, 2, 3,Ｇクリスタルバッハ, 60,石橋脩, 1.1, 64,*  1,   5, 4,  6.8,③①①, 2,11,Ｍエテルノ, 58,生野賢, 0.3, 68,  -1,  11, 6, 10.5,④⑤③
 3, 9,Ｊトウショウサウンド, 39,郷原洋, 2.8, 52,  -2,  -7, 5, 15.3,⑦⑤③, 3,13,Ｈホｰマングラッパ, 42,塚田祥, 0.9, 61, -11,  15, 8, 23.4,⑪⑩⑥, 3, 8,Ｐファントムオペラ, 44,芹沢純, 1.2, 66,*  0,   7, 6, 19.7,⑤④③, 3, 7,Ｋパッショナルダンス, 60,松田大, 0.5, 74,  -6,* 19, 8, 21.3,⑭⑬⑪
 4, 4,Ｂエイワベンケイ, 52,中舘英, 3.0, 51,  -1, -10, 4, 10.5,⑥③③, 4, 7,Ｆガラン, 44,梶晃啓, 1.4, 52, -12,  11, 7, 22.8,⑪⑪⑪, 4,12,Ｅペガサスファイト, 61,塚田祥, 1.3, 62,*  0,   3, 5, 16.1,⑤②②, 4,14,Ｅタイニｰモデル, 66,中舘英, 0.5, 61,*  1,   5, 5,  6.3,③②②
 5, 5,Ｈエプソムアｰロン, 40,松田大, 3.1, 49,  -6,  -2, 8, 45.5,⑨⑨⑨, 5, 4,Ｇスズカストロング, 42,生野賢, 1.5, 47, -10,   5, 4, 11.3,⑥⑧⑩, 5, 7,Ｄボビン, 64,菊沢隆, 1.7, 61,  -1,   4, 1,  3.2,⑬⑦⑥, 5,13,Ｂカンペキ, 69,石橋脩, 0.8, 57,*  0,   2, 2,  5.1,⑧②③
 6,15,Ｇマｰルロッソ, 42,加藤士, 3.2, 48,  -5,  -6,11,131.1,⑨⑧⑦, 6,11,Ｌヒシカツリｰダｰ, 26,田嶋翔, 1.6, 46,* -6,  -6, 9, 24.1,②②①, 6,10,Ｂベルベットボクサｰ, 66,石神深, 1.8, 62,  -2,   6, 7, 20.1,⑭⑫⑪, 6, 3,Ｉセタガヤフラッグ, 62,橋本美, 0.9, 60,  -4,   8, 7, 16.0,⑧⑨⑧
 7,10,Ｍクウェストルｰジュ, 36,田辺裕, 3.7, 44,  -7,  -6,15,277.8,⑪⑪⑩, 7,12,Ｎマイネルアクシオン, 24,菊沢隆, 1.7, 59, -17,* 18,10, 68.5,⑯⑭⑭, 7, 4,Ｊプリモレディ, 58,古川吉, 1.9, 60,  -1,   3,11, 64.5,⑨⑦⑧, 7, 5,Ｌスイｰトゴｰルド, 59,柴原央, 0.9, 64,  -6,  12,12, 68.7,⑧⑬⑮
 8, 3,Ｆナムライシス, 44,橋本美, 3.9, 43,  -4, -14, 2,  8.5,⑧⑥⑥, 8, 3,Ｂオｰスミプランドル, 49,橋本美, 1.9, 47, -14,   9, 6, 16.5,⑪⑬⑪, 8,15,Ｃグランドタイガｰ, 65,中舘英, 2.0, 57,  -1,   2, 8, 20.2,⑩⑦⑧, 8,15,Ｃヒシワンスモア, 68,鮫島良, 1.1, 55,  -2,   2, 3,  5.2,⑦⑧⑧
 9,13,Ｄエネルマリン, 47,川島信, 4.0, 43,  -1, -19, 6, 36.3,②③⑤, 9, 8,Ｏハイパｰビｰト, 22,古川吉, 1.9, 43,  -8,  -4,12, 87.2,④⑤⑥, 9,14,Ｋハロウィンシチｰ, 56,嘉藤貴, 2.2, 54,  -1,  -2,12, 64.7,⑧④⑥, 9, 9,Ａブレイズワン, 72,芹沢純, 1.1, 54,  -1,  -1, 1,  4.6,④⑤⑤
10, 7,Ｉゴｰルデンバウアｰ, 39,石橋脩, 4.4, 39,  -8, -12,14,260.7,⑬⑫⑪,10, 6,Ｐウィッシングデュｰ, 22,芹沢純, 2.0, 46,* -6, -12,16,290.5,②②⑤,10, 9,Ｈロフティソル, 59,北村友, 2.3, 56,  -4,   3, 3,  5.7,⑭⑮⑭,10, 4,Ｎライクシモｰヌ, 58,川島信, 1.1, 54,  -1,  -1,14,126.4,⑪⑤⑤
11,14,Ｌシャｰロックシチｰ, 37,佐久間, 4.6, 38,  -4, -21, 9, 78.8,③⑥⑦,11,14,Ｋプレインセイリング, 29,鮫島良, 2.1, 45, -17,  10, 5, 13.9,⑭⑭⑭,11,11,Ｎアルゲニブ, 49,田辺裕, 2.4, 56,  -3,   2,13,205.8,⑫⑬⑫,11,12,Ｄヘラクレスバイオ, 67,塚田祥, 1.2, 53,*  1,  -6, 4,  6.1,②①①
12,11,Ｋゴｰルデンビッグ, 38,小島太, 4.7, 34, -10, -14,10,116.2,⑫⑬⑭,12,10,Ｉサダムカアナパリ, 39,川島信, 2.2, 42, -10,  -6, 3,  5.6,⑧⑧⑧,12, 2,Ｉアドマイヤロマネ, 59,柴原央, 2.4, 54,  -1,  -2, 9, 23.4,③⑦⑧,12, 8,Ｈドッグソウレインボ, 63,嘉藤貴, 1.3, 55,  -6,   6,13, 76.7,⑪⑬⑪
13, 2,Ｎヤマショウグロリア, 30,佐藤聖, 5.2, 31, -11, -18,16,284.9,⑮⑭⑬,13, 2,Ｄユキノシクラメン, 45,小島太, 2.5, 25,* -7, -23,11, 73.2,①①②,13, 5,Ｌリネンメイン, 53,川島信, 2.7, 52,*  1,  -9,14,323.7,②③⑤,13,16,Ｇイブキレボルシオン, 64,高橋亮, 1.4, 52,  -4,   2,11, 46.5,⑪⑫⑪
