06年10月22日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年10月22日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9.4,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.5,,,,,■10R  芝1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,渡月橋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｂピンクバンサｰ, 43,イネス,, 62,*-10,*  9, 3,  4.8,①①①, 1, 2, ヒカルオオゾラ,---,藤岡佑,, 52, -18,* 11, 4,  7.5, ③④, 1, 8,Ｅエアデルソｰル, 62,武豊  ,, 67,*  0,   6, 5,  7.3,①①①, 1,13,Ｃホッコｰソレソレｰ, 86,安藤勝,, 85,   5,* 23, 1,  4.3, ⑩⑩
 2, 7,Ｏヒラボクオウショｰ,-14,武幸四, 0.2, 60,*-11,*  9, 6, 12.8,②②②, 2,10, コンティネント,---,横山典, 0.3, 40, -17,   3, 1,  2.0, ②②, 2, 3,Ｄアドマイヤミラクル, 62,横山典, 0.4, 62,* -1,   4, 6, 10.2,②②②, 2, 1,Ｄフェイトトリックス, 84,福永祐, 0.2, 82,   5,* 20, 4,  6.8, ⑩⑩
 3,16,Ｊマイネルクルｰガｰ, 30,吉田豊, 0.8, 60, -14,* 10, 9, 63.6,⑪⑨④, 3, 3, サムライタイガｰス,---,岩田康, 0.5, 41, -20,   6, 2,  3.7, ⑤④, 3, 2,Ａトウカイフラッグ, 68,幸英明, 0.5, 65,  -3,   7, 1,  3.9,⑤⑦⑤, 3,11,Ｈインマイアイズ, 78,秋山真, 0.3, 82,   4,* 23, 7, 13.0, ⑬⑩
 4, 6,Ｅヤマノブルｰグラス, 39,秋山真, 1.0, 48,*-11,   2, 5, 10.8,③③③, 4, 4, フェザｰケｰプ,---,安藤勝, 0.6, 49, -24,* 12, 6, 18.1, ⑨⑨, 4,13,Ｂホウシュウムサシ, 64,岩田康, 0.6, 67,  -5,* 10, 2,  4.6,⑨⑩⑪, 4,12,Ａアドマイヤドレス, 87,岩田康, 0.3, 80,   8,  11, 9, 26.2, ⑦⑦
 5, 1,Ｄクリｰン, 39,本田優, 1.3, 49, -14,   5, 4,  9.5,⑦⑦⑧, 5, 1, カネトシリベルテ,---,和田竜, 0.8, 41, -24,   8, 7, 32.5, ⑩⑨, 5, 9,Ｌウォｰタｰクルｰズ, 53,本田優, 0.7, 67,  -6,* 10,13,105.9,⑪⑫⑫, 5, 6,Ｉフォルテベリｰニ, 78,池添謙, 0.4, 82,* 13,   5, 3,  6.0, ④②
 6,10,Ｎカイテキセレブ, 23,上村洋, 1.4, 44, -13,   0,15,163.2,⑤⑤⑤, 6, 6, メイショウラッシｰ,---,石橋守, 1.0, 35,*-15, -13, 5, 15.5, ①①, 6, 6,Ｋナリタブラック, 53,安部幸, 0.8, 62,  -4,   6,10, 44.3,⑨⑨⑧, 6, 2,Ｌマッハジュウクン, 76,本田優, 0.6, 79,* 13,  -1, 6, 11.7, ②②
 7, 4,Ａマイネルビスタ, 49,佐藤哲, 1.4, 46, -13,   2, 1,  2.5,⑥⑤⑦, 7, 5, リｰガルプリンセス,---,柴原央, 1.4, 27, -21,  -7,10,120.9, ⑤⑦, 7,10,Ｉチョウカイファイト, 54,小牧太, 1.0, 56,  -2,   0, 4,  7.0,③③③, 7,14,Ｊシゲルドントイケ, 77,安部幸, 0.6, 76,   6,  10,13, 97.4, ⑨⑨
 8, 8,Ｋパｰプルジェット, 28,安部幸, 1.8, 44, -16,   3,13,135.5,⑬⑪⑧, 8, 9, ゴｰストライタｰ,---,武豊  , 1.4, 31, -18, -13, 3,  7.3, ③③, 8,11,Ｃツルマルロｰレル, 63,安藤勝, 1.2, 57,  -4,   2, 3,  5.3,⑧⑧⑧, 8, 9,Ｆサンヴィクトワｰル, 81,横山典, 0.7, 77,   9,   6, 5,  8.5, ⑦⑦
 9,15,Ｇテイエムデンセツ, 36,小牧太, 2.1, 42, -17,   2,11, 95.7,⑨⑫⑫, 9, 8, ファインコマンダｰ,---,幸英明, 1.8, 26, -22, -10, 9, 56.4, ⑧⑧, 9,12,Ｇグッドフロマｰジュ, 57,北村友, 1.5, 49,  -4,  -4, 9, 32.5,⑤⑤⑤, 9, 5,Ｅキョウワスプレンダ, 82,佐藤哲, 0.9, 74,   3,  15,11, 27.1, ⑬⑬
10, 2,Ｉトップオブオナｰ, 30,岩田康, 2.3, 36, -14,  -5, 2,  4.1,⑦⑦⑩,10, 7, ワイルドキャット,---,池添謙, 2.0, 12, -20, -18, 8, 35.5, ⑤④,10, 1,Ｆフレアキャスケｰド, 58,河北通, 1.5, 59,  -8,   7,11, 61.6,⑬⑬⑫,10, 7,Ｂガブリン, 87,武豊  , 1.1, 77,* 17, -10, 2,  4.3, ①①
